,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"PA' ROMPERLA","Bad Bunny",2306710,https://open.spotify.com/track/5XqCz18k96K8tx6DAYM97i
2,PAM,"Justin Quiles",2196878,https://open.spotify.com/track/0eeKDrQxjqNl5bX5VCHDcn
3,"Nunca Estoy","C. Tangana",2155031,https://open.spotify.com/track/6f4LYJwICqxoAILj82kwB0
4,Favorito,Camilo,1973530,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
5,"Sola & Vacía","Casper Magico",1870572,https://open.spotify.com/track/46V4kseB66GjFGklCgynGX
6,"La Jeepeta - Remix","Nio Garcia",1809091,https://open.spotify.com/track/1mohfLaTJtB2RplHLQVM70
7,"MÁS DE UNA CITA","Bad Bunny",1806435,https://open.spotify.com/track/4EJHKSnHENfjOxXWryyNtL
8,"Mil Tequilas","Chema Rivas",1753902,https://open.spotify.com/track/0qvfIq8RsH3sOZk9JIuUhn
9,PORFA,Feid,1745514,https://open.spotify.com/track/4TOmcZvw0gHa7GiXRbcYAW
10,Amarillo,"J Balvin",1688241,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
11,"BAD CON NICKY","Bad Bunny",1620883,https://open.spotify.com/track/5bmSver2b3ZXyuyLKtgnFI
12,"Dime Bbsita",Robledo,1565893,https://open.spotify.com/track/5mBWQ675Eb4j4fn6iuNnOe
13,Enemigos,Aitana,1508173,https://open.spotify.com/track/5XUtUnUsJ1PAkLZIiCfUD5
14,"Hola, Nena (feat. Omar Montes)","Nyno Vargas",1471361,https://open.spotify.com/track/2EAwcFW9NeuhnZ0q5aYhFL
15,Tusa,"KAROL G",1469840,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
16,Safaera,"Bad Bunny",1460593,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
17,"4 besos","Lola Indigo",1434524,https://open.spotify.com/track/49QwoSLuV69Fd8bwTqdZvs
18,"Yo Perreo Sola","Bad Bunny",1379836,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
19,Rojo,"J Balvin",1370766,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
20,Loco,Beéle,1300580,https://open.spotify.com/track/2J9B63FawlTaPdg4eH5X03
21,"Una Mala (Remix)","El Completo Rd",1281290,https://open.spotify.com/track/2maGaB3fNqQnyrG3FDiaW3
22,"CÓMO SE SIENTE - Remix","Jhay Cortez",1243819,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
23,Relación,Sech,1199595,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
24,Tattoo,"Rauw Alejandro",1164681,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
25,"Se iluminaba","Fred De Palma",1163374,https://open.spotify.com/track/3VPOZWtj8mM89IiRNygxgS
26,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",1137476,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
27,"Tak Tiki Tak","Harry Nach",1133336,https://open.spotify.com/track/0aCTSZQTlmnjQucALTF00s
28,"BYE ME FUI","Bad Bunny",1068526,https://open.spotify.com/track/0FktnzDqjClqU6iqOZVEs2
29,Diosa,"Myke Towers",1035442,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
30,"El Efecto","Rauw Alejandro",1028252,https://open.spotify.com/track/4SJHHpKhcuXwDsCsPqshXj
31,Atrévete,"Yago Roche",1024295,https://open.spotify.com/track/07Lxxln9lZ8m0hT6EySTCe
32,"Tu Eres Un Bom Bom - Remix","Kafu Banton",1006688,https://open.spotify.com/track/2635EEV2Oi6wg6GV2TPYVx
33,"Roses - Imanbek Remix","SAINt JHN",1001396,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
34,"Blinding Lights","The Weeknd",979470,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
35,Morado,"J Balvin",977806,https://open.spotify.com/track/35KmOEIUqAGn02t7n4qaIr
36,"La Difícil","Bad Bunny",970420,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
37,"Si Tú La Quieres","David Bisbal",968726,https://open.spotify.com/track/35qwAQ3oZeKAMhR3hCV9IM
38,"La Cama - Remix",Lunay,938497,https://open.spotify.com/track/2tGENA8xef0wABdHvyXwv9
39,"CANCIÓN CON YANDEL",Yandel,926491,https://open.spotify.com/track/3pm4XtcsRIFFtH2UErk62R
40,BENDICIONES,"Bad Bunny",902277,https://open.spotify.com/track/2CoMYp2uIKsT09nreEZnZn
41,"Pegamos Tela",Lérica,893330,https://open.spotify.com/track/4punHldq7Jfx0Plu7SdjQ0
42,Follow,"KAROL G",886334,https://open.spotify.com/track/2w1rq80FIrbxeJy9WYURxw
43,"Fantasias - Remix","Rauw Alejandro",883681,https://open.spotify.com/track/0A37XY67wSdGqkGjtfW6aV
44,"Dance Monkey","Tones And I",845003,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
45,"Ponte Pa' Mi","Rauw Alejandro",837201,https://open.spotify.com/track/10u2iOS0r6plfb9GknD7g4
46,Gris,"J Balvin",827482,https://open.spotify.com/track/1syf62zw48zu4FrPwMtDHk
47,"Prendio (Remix)",Rvfv,808623,https://open.spotify.com/track/17VsiwLi1ovKYdVUqDieGC
48,"Alocao (With Bad Gyal)","Omar Montes",774539,https://open.spotify.com/track/6RyuoOJXNzlVWpfC5xQyeI
49,+,Aitana,774391,https://open.spotify.com/track/5Cbo7oz78gqkzV3EAM63VA
50,"Sur y Norte","Ñengo Flow",751320,https://open.spotify.com/track/2uy5wXDZQcdd89PvDBSfyy
51,Locura,"Cali Y El Dandee",721280,https://open.spotify.com/track/5379uuUPHodsdVhy8pIAAr
52,"Quédate conmigo",Pole.,713550,https://open.spotify.com/track/5tzOL69W6lCp4gAomIXMnJ
53,Azul,"J Balvin",706121,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
54,"death bed (coffee for your head)",Powfu,682828,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
55,Keii,"Anuel AA",673925,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
56,"El Efecto - Remix","Rauw Alejandro",664994,https://open.spotify.com/track/74j34STf8L6uADnTN69ohv
57,"Don't Start Now","Dua Lipa",663236,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
58,China,"Anuel AA",660881,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
59,"Sigues Con El - Remix",Arcangel,659098,https://open.spotify.com/track/4Pu0a2TuHOYtI4CCE3HEXI
60,Ignorantes,"Bad Bunny",655700,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
61,Muévelo,"Nicky Jam",636138,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
62,"Rueda - Remix",Chimbala,634678,https://open.spotify.com/track/3EWxpqOSP0KWgUmRiklqGy
63,"Bien:( (feat. Rusowsky)","C. Tangana",631658,https://open.spotify.com/track/6HlWtggWotj9bUNcPGEeLS
64,"RONCA FREESTYLE","Bad Bunny",619295,https://open.spotify.com/track/3XZeOzJ9tqnu58YP6cqApI
65,"Si por mi fuera",Beret,607143,https://open.spotify.com/track/3W87IIdSOE63W0Qyhy7r2b
66,MAMACITA,"Black Eyed Peas",599467,https://open.spotify.com/track/14wf185UxfNbSy8dwt4r4q
67,"SI ELLA SALE","Bad Bunny",595360,https://open.spotify.com/track/1zaDh3qaGSeSmulNyWlUxm
68,"Stuck with U (with Justin Bieber)","Ariana Grande",589583,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
69,Inolvidable,"Ovy On The Drums",580276,https://open.spotify.com/track/0OTtnwUO8natNWSwdZvXVF
70,"RITMO (Bad Boys For Life)","Black Eyed Peas",578318,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
71,Bobo,Morad,570432,https://open.spotify.com/track/4zQIamp851N57SyWqAYcZR
72,DOSIS,Dvicio,564119,https://open.spotify.com/track/0AJKRuWjsVn6B43gm5HfjV
73,Medusa,"Jhay Cortez",560443,https://open.spotify.com/track/3qM0vBxIe4VUbK0Z0smuVP
74,"La Bebe - Remix","Anuel AA",549401,https://open.spotify.com/track/3DyiAk1BzIF8rq9rimypG4
75,"Me Gusta",Shakira,543719,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
76,"Loco - Remix",Farruko,537894,https://open.spotify.com/track/6nGM44ZP7vSo0istUW2MOq
77,"Indios y Vaqueros",Sinsinati,534180,https://open.spotify.com/track/3u5GmyJP2MU3tEJgyiAG2T
78,Blanco,"J Balvin",529766,https://open.spotify.com/track/5pXy29xzxR3aTB0SYRI590
79,TBT,"Sebastian Yatra",527106,https://open.spotify.com/track/4s45VgkknMFkdiGoUcjxQU
80,"Sueño (con Pablo Alborán)",Beret,523710,https://open.spotify.com/track/71M1szVbVYZM5M6QlIm6aC
81,4K,"El Alfa",520376,https://open.spotify.com/track/4xI3U4sDj1TPmO9Iz5TkYp
82,"Si Veo a Tu Mamá","Bad Bunny",509450,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
83,"Cuando Éramos Dos",Sinsinati,506605,https://open.spotify.com/track/1sPw28uimhBPPvxpwmfljV
84,Indeciso,Reik,502527,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
85,goosebumps,"Travis Scott",477733,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
86,"No Me Ame",Rvssian,473233,https://open.spotify.com/track/2AuWgceaQyfMoI3EGavwGb
87,"De Tranquilote","Danny Romero",463960,https://open.spotify.com/track/1IDFcb3cjkj2dhv3UaxX9b
88,Physical,"Dua Lipa",461122,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
89,"Bando Boyz Free","Kidd Keo",459624,https://open.spotify.com/track/6xX1coEqiOl3EhKCjNgxvr
90,Bailemos,"Dani Fernández",451950,https://open.spotify.com/track/5EnaxC9amhXY55ezw87SL8
91,"THE SCOTTS","THE SCOTTS",451047,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
92,Rutina,"Myke Towers",448160,https://open.spotify.com/track/3YntiCUU0Xqq0B68FM3YAt
93,"No Me Conoce - Remix","Jhay Cortez",446479,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
94,"La Santa","Bad Bunny",444528,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
95,"Contando Lunares (feat. Cruz Cafuné)","Don Patricio",443032,https://open.spotify.com/track/6uW0PIRcyZLvkoonm763xD
96,"Hola - Remix",Dalex,442412,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
97,"Qué Bonito Es Querer","Manuel Carrasco",440167,https://open.spotify.com/track/6uzGmmQ4CuG9HvZktEy0LF
98,"A Dónde Vamos",Morat,435456,https://open.spotify.com/track/671sG3ETDxC3L6qcGIrHRM
99,"Soldadito de Hierro","Nil Moliner",431173,https://open.spotify.com/track/1wWSi1N5mBif8926JR78Ju
100,"Suave - Remix","Jey Blessing",427176,https://open.spotify.com/track/6K7V47wFpfam2aeE893rbL
101,Negro,"J Balvin",425292,https://open.spotify.com/track/2hsA9YWuF3C9Gosi4dpjJN
102,"Fuera De Mi Mente",Lérica,425116,https://open.spotify.com/track/7bsqRe39lKOYX45FZpzP9o
103,"Toosie Slide",Drake,421186,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
104,GOOBA,6ix9ine,417509,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
105,"Una Foto en Blanco y Negro","David Otero",417374,https://open.spotify.com/track/4BNqM0h2wukiQkAUKZjurV
106,Callaita,"Bad Bunny",408339,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
107,Presiento,Morat,407838,https://open.spotify.com/track/2V4hc5gplg7EXlrRUvD4rp
108,"Yo x Ti, Tu x Mi",ROSALÍA,407177,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
109,Definitivamente,"Daddy Yankee",406655,https://open.spotify.com/track/113PlnpZbHd3WIqeYjhZWv
110,"EN CASITA","Bad Bunny",406403,https://open.spotify.com/track/2DhNdoHxavs7Qtf5MnhZD0
111,"Whine Up","Nicky Jam",402901,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
112,"Ahora Dice Que Me Ama",Bandaga,400585,https://open.spotify.com/track/2Z3RqW9jfl62il0R4q8wQy
113,"SICKO MODE","Travis Scott",396693,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
114,Fantasias,"Rauw Alejandro",395696,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
115,"Malibú con Piña","Funzo & Baby Loud",392664,https://open.spotify.com/track/4T7SpjqFNSpfdAsN66DkiE
116,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,391820,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
117,Rueda,Chimbala,386590,https://open.spotify.com/track/4NDHYPVJ5zLnR8yYZsMDsu
118,Colocao,"Nicki Nicole",384624,https://open.spotify.com/track/7MCFjPDImfjQv7GynHgVrR
119,"Guille Asesino","C. Tangana",382919,https://open.spotify.com/track/7jx4MkfAR6y1lGAqhqJtlP
120,Vete,"Bad Bunny",381872,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
121,"Before You Go","Lewis Capaldi",381150,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
122,WOW,"Bryant Myers",379910,https://open.spotify.com/track/56aKqvLJGEsJgCXvczNv0i
123,"Easy - Remix","Jhay Cortez",372598,https://open.spotify.com/track/1NmQc6rwLv7g0UHL1AFOa9
124,"ily (i love you baby) (feat. Emilee)","Surf Mesa",372111,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
125,"Me Equivocaré","Antonio José",369590,https://open.spotify.com/track/5zsvrbPy4w9nz067ViWprz
126,"LA CANCIÓN","J Balvin",364345,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
127,adelante_ruffdemo2016,"C. Tangana",362360,https://open.spotify.com/track/2y8OoVv7mMEsYlHkKTBbyw
128,Tutu,Camilo,361862,https://open.spotify.com/track/1Ol5LmdNDNpFu1oNwfgkux
129,"La Rubia - Remix 2","La Nueva Escuela",361800,https://open.spotify.com/track/7KKTnv81z6DmfPIGsZWjOW
130,Zorra,"Bad Gyal",360265,https://open.spotify.com/track/0OP1RzrglC008kj79Httv3
131,"Quiéreme Mientras Se Pueda","Manuel Turizo",359066,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
132,"Si Me Dices Que Sí",Reik,357308,https://open.spotify.com/track/56Ta1O7Jxxpjnc6cWdDKUo
133,Muchacha,"Gente De Zona",356833,https://open.spotify.com/track/2vI4SxtYqAQD5h1nSrqfKM
134,Señorita,"Shawn Mendes",356565,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
135,"A Tu Merced","Bad Bunny",355651,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
136,Flamenkito,Lérica,350894,https://open.spotify.com/track/4fsj5oMLYrCUlTDs4P9qw5
137,"Sigues Con El","Dímelo Flow",349114,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
138,Memories,"Maroon 5",342529,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
139,Tabú,"Pablo Alborán",340469,https://open.spotify.com/track/471HeGJPKw07MObixON0Um
140,"Say So","Doja Cat",337632,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
141,ADMV,Maluma,336932,https://open.spotify.com/track/3eJMSq78dDaFb7VvhNFnq6
142,"Break My Heart","Dua Lipa",336677,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
143,"¿Qué Ha Pasao'?","Abraham Mateo",335933,https://open.spotify.com/track/2zkVH2daHyjS51g7PRJFDn
144,Rosa,"J Balvin",335020,https://open.spotify.com/track/464uJVLmr0fDJGXOnciaDe
