,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Nunca Estoy","C. Tangana",2211348,https://open.spotify.com/track/6f4LYJwICqxoAILj82kwB0
2,"Dime Bbsita",Robledo,1998569,https://open.spotify.com/track/5mBWQ675Eb4j4fn6iuNnOe
3,Safaera,"Bad Bunny",1993602,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
4,"Mil Tequilas","Chema Rivas",1876538,https://open.spotify.com/track/4QPLtCSQh10inI5iwUoG2p
5,Amarillo,"J Balvin",1849941,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
6,PORFA,Feid,1688407,https://open.spotify.com/track/4TOmcZvw0gHa7GiXRbcYAW
7,Tusa,"KAROL G",1682812,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
8,"Yo Perreo Sola","Bad Bunny",1621412,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
9,"4 besos","Lola Indigo",1600874,https://open.spotify.com/track/49QwoSLuV69Fd8bwTqdZvs
10,"Sola & Vacía","Casper Magico",1545797,https://open.spotify.com/track/46V4kseB66GjFGklCgynGX
11,Tattoo,"Rauw Alejandro",1466060,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
12,Rojo,"J Balvin",1431610,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
13,"Una Mala (Remix)","El Completo Rd",1378692,https://open.spotify.com/track/2maGaB3fNqQnyrG3FDiaW3
14,Favorito,Camilo,1343920,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
15,Loco,Beéle,1272961,https://open.spotify.com/track/2J9B63FawlTaPdg4eH5X03
16,"La Difícil","Bad Bunny",1192867,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
17,"Tu Eres Un Bom Bom - Remix","Kafu Banton",1167159,https://open.spotify.com/track/2635EEV2Oi6wg6GV2TPYVx
18,Diosa,"Myke Towers",1125952,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
19,"SICKO MODE","Travis Scott",1099390,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
20,"THE SCOTTS","THE SCOTTS",1097668,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
21,"La Cama - Remix",Lunay,1083440,https://open.spotify.com/track/2tGENA8xef0wABdHvyXwv9
22,Morado,"J Balvin",1079351,https://open.spotify.com/track/35KmOEIUqAGn02t7n4qaIr
23,Follow,"KAROL G",1066648,https://open.spotify.com/track/2w1rq80FIrbxeJy9WYURxw
24,"Se iluminaba","Fred De Palma",1061609,https://open.spotify.com/track/3VPOZWtj8mM89IiRNygxgS
25,"Blinding Lights","The Weeknd",1042434,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
26,"Si Tú La Quieres","David Bisbal",1032647,https://open.spotify.com/track/35qwAQ3oZeKAMhR3hCV9IM
27,"Pegamos Tela",Lérica,941100,https://open.spotify.com/track/4punHldq7Jfx0Plu7SdjQ0
28,Keii,"Anuel AA",931457,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
29,"Roses - Imanbek Remix","SAINt JHN",929864,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
30,Relación,Sech,916901,https://open.spotify.com/track/4lMOQR1rRW5hJgJXOtKraL
31,"Fantasias - Remix","Rauw Alejandro",904165,https://open.spotify.com/track/0A37XY67wSdGqkGjtfW6aV
32,goosebumps,"Travis Scott",887579,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
33,Ignorantes,"Bad Bunny",887435,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
34,Gris,"J Balvin",882932,https://open.spotify.com/track/1syf62zw48zu4FrPwMtDHk
35,"Hola, Nena (feat. Omar Montes)","Nyno Vargas",867111,https://open.spotify.com/track/2EAwcFW9NeuhnZ0q5aYhFL
36,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",864343,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
37,Atrévete,"Yago Roche",863708,https://open.spotify.com/track/07Lxxln9lZ8m0hT6EySTCe
38,"Dance Monkey","Tones And I",862520,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
39,"Prendio (Remix)",Rvfv,825304,https://open.spotify.com/track/17VsiwLi1ovKYdVUqDieGC
40,"Alocao (With Bad Gyal)","Omar Montes",777868,https://open.spotify.com/track/6RyuoOJXNzlVWpfC5xQyeI
41,"Sigues Con El - Remix",Arcangel,777493,https://open.spotify.com/track/4Pu0a2TuHOYtI4CCE3HEXI
42,"Si por mi fuera",Beret,774430,https://open.spotify.com/track/3W87IIdSOE63W0Qyhy7r2b
43,"Quédate conmigo",Pole.,774242,https://open.spotify.com/track/5tzOL69W6lCp4gAomIXMnJ
44,"Si Veo a Tu Mamá","Bad Bunny",771283,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
45,"Don't Start Now","Dua Lipa",770469,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
46,+,Aitana,762806,https://open.spotify.com/track/5Cbo7oz78gqkzV3EAM63VA
47,"Rueda - Remix",Chimbala,749982,https://open.spotify.com/track/3EWxpqOSP0KWgUmRiklqGy
48,Azul,"J Balvin",745189,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
49,"death bed (coffee for your head)",Powfu,734513,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
50,"No Me Ame",Rvssian,719076,https://open.spotify.com/track/2AuWgceaQyfMoI3EGavwGb
51,"Ponte Pa' Mi","Rauw Alejandro",704438,https://open.spotify.com/track/10u2iOS0r6plfb9GknD7g4
52,Muévelo,"Nicky Jam",688759,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
53,China,"Anuel AA",660619,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
54,Medusa,"Jhay Cortez",659378,https://open.spotify.com/track/3qM0vBxIe4VUbK0Z0smuVP
55,"La Jeepeta - Remix","Nio Garcia",656809,https://open.spotify.com/track/1mohfLaTJtB2RplHLQVM70
56,"Me Gusta",Shakira,615739,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
57,TBT,"Sebastian Yatra",605226,https://open.spotify.com/track/4s45VgkknMFkdiGoUcjxQU
58,"HIGHEST IN THE ROOM","Travis Scott",586232,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
59,"RITMO (Bad Boys For Life)","Black Eyed Peas",585740,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
60,Blanco,"J Balvin",568009,https://open.spotify.com/track/5pXy29xzxR3aTB0SYRI590
61,4K,"El Alfa",565338,https://open.spotify.com/track/4xI3U4sDj1TPmO9Iz5TkYp
62,DOSIS,Dvicio,557640,https://open.spotify.com/track/0AJKRuWjsVn6B43gm5HfjV
63,"El Efecto - Remix","Rauw Alejandro",549287,https://open.spotify.com/track/74j34STf8L6uADnTN69ohv
64,Bobo,Morad,529079,https://open.spotify.com/track/4zQIamp851N57SyWqAYcZR
65,ADMV,Maluma,521373,https://open.spotify.com/track/3eJMSq78dDaFb7VvhNFnq6
66,"Hola - Remix",Dalex,511170,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
67,Indeciso,Reik,510294,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
68,MAMACITA,"Black Eyed Peas",507101,https://open.spotify.com/track/14wf185UxfNbSy8dwt4r4q
69,"Indios y Vaqueros",Sinsinati,501281,https://open.spotify.com/track/3u5GmyJP2MU3tEJgyiAG2T
70,"Loco - Remix",Farruko,496158,https://open.spotify.com/track/6nGM44ZP7vSo0istUW2MOq
71,Resistiré,"Resistiré 2020",487232,https://open.spotify.com/track/5Z3eEWd02O1RekV96ohDPx
72,"Toosie Slide",Drake,471980,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y
73,Physical,"Dua Lipa",467605,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
74,"Soldadito de Hierro","Nil Moliner",466921,https://open.spotify.com/track/1wWSi1N5mBif8926JR78Ju
75,"La Santa","Bad Bunny",450559,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
76,"Ahora Dice Que Me Ama",Bandaga,447450,https://open.spotify.com/track/2Z3RqW9jfl62il0R4q8wQy
77,"De Tranquilote","Danny Romero",445394,https://open.spotify.com/track/1IDFcb3cjkj2dhv3UaxX9b
78,Rutina,"Myke Towers",443983,https://open.spotify.com/track/3YntiCUU0Xqq0B68FM3YAt
79,"Contando Lunares (feat. Cruz Cafuné)","Don Patricio",434736,https://open.spotify.com/track/6uW0PIRcyZLvkoonm763xD
80,"Malibú con Piña","Funzo & Baby Loud",433859,https://open.spotify.com/track/4T7SpjqFNSpfdAsN66DkiE
81,"Cuando Éramos Dos",Sinsinati,433641,https://open.spotify.com/track/1sPw28uimhBPPvxpwmfljV
82,"Qué Bonito Es Querer","Manuel Carrasco",425688,https://open.spotify.com/track/6uzGmmQ4CuG9HvZktEy0LF
83,"Yo x Ti, Tu x Mi",ROSALÍA,423005,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
84,Presiento,Morat,412346,https://open.spotify.com/track/2V4hc5gplg7EXlrRUvD4rp
85,Vete,"Bad Bunny",406630,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
86,"Whine Up","Nicky Jam",402564,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
87,Negro,"J Balvin",401665,https://open.spotify.com/track/2hsA9YWuF3C9Gosi4dpjJN
88,"Una Foto en Blanco y Negro","David Otero",400705,https://open.spotify.com/track/4BNqM0h2wukiQkAUKZjurV
89,Fantasias,"Rauw Alejandro",399645,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
90,"A Dónde Vamos",Morat,397548,https://open.spotify.com/track/671sG3ETDxC3L6qcGIrHRM
91,Rueda,Chimbala,396948,https://open.spotify.com/track/4NDHYPVJ5zLnR8yYZsMDsu
92,"Suave - Remix","Jey Blessing",395412,https://open.spotify.com/track/6K7V47wFpfam2aeE893rbL
93,"Fuera De Mi Mente",Lérica,394778,https://open.spotify.com/track/7bsqRe39lKOYX45FZpzP9o
94,Zorra,"Bad Gyal",393373,https://open.spotify.com/track/0OP1RzrglC008kj79Httv3
95,"No Me Conoce - Remix","Jhay Cortez",391006,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
96,"El Efecto","Rauw Alejandro",390515,https://open.spotify.com/track/4SJHHpKhcuXwDsCsPqshXj
97,Bailemos,"Dani Fernández",388720,https://open.spotify.com/track/5EnaxC9amhXY55ezw87SL8
98,"The Box","Roddy Ricch",384276,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
