,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Dura,"Daddy Yankee",1761339,https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc
2,"Lo Malo - Operación Triunfo 2017",Aitana,1582488,https://open.spotify.com/track/0Ur4DvUsF7GedvPygHtaRv
3,"Échame La Culpa","Luis Fonsi",1554870,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
4,"EL BAÑO (feat. Bad Bunny)","Enrique Iglesias",1507752,https://open.spotify.com/track/2vvdTrdryjsl8DmPIMDWZU
5,Corazón,Maluma,1401381,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou
6,Sensualidad,"Bad Bunny",1264670,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw
7,Criminal,"Natti Natasha",1207177,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C
8,Downtown,Anitta,1167074,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
9,"Déjate Llevar","Juan Magán",1118548,https://open.spotify.com/track/3xWEI23MLJrD0dpDcDUTW6
10,Machika,"J Balvin",1048990,https://open.spotify.com/track/6MNGxu8MprKGkchUchkJsy
11,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",1043372,https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l
12,"Tu Canción - Operación Triunfo 2017",Amaia,1042456,https://open.spotify.com/track/4KCGvQuZSg7UFmjvipUtZY
13,"Bum Bum Tam Tam","MC Fioti",992685,https://open.spotify.com/track/4zWO4gvuFtw6EJZC5FFGlr
14,"Síguelo Bailando",Ozuna,937174,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
15,"Se Preparó",Ozuna,880236,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt
16,Mayores,"Becky G",879870,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau
17,"Havana (feat. Young Thug)","Camila Cabello",874837,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
18,Solita,Ozuna,866580,https://open.spotify.com/track/7rwX0O3RlxqqIjQM8evm5E
19,Bella,Wolfine,843493,https://open.spotify.com/track/4R55IUi2x7S5ek2SpebOiE
20,Guerrera,DELLAFUENTE,840190,https://open.spotify.com/track/3Q6zROQvMXRtR9NYfDpNWL
21,"Suena El Dembow","Joey Montana",811876,https://open.spotify.com/track/5TysCiZtv1HnSWcTcUFusI
22,"La Llamada",Leiva,778819,https://open.spotify.com/track/5ZCamgcqvkckdf2FdfYuth
23,"Báilame - Remix",Nacho,775322,https://open.spotify.com/track/3VClLWqNn80Llv0PJOsKgr
