,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Tusa,"KAROL G",3603449,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
2,Tattoo,"Rauw Alejandro",3174226,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
3,"La Difícil","Bad Bunny",3025969,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
4,Diosa,"Myke Towers",2874363,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
5,Ignorantes,"Bad Bunny",2857389,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
6,Rojo,"J Balvin",2475465,https://open.spotify.com/track/4uziEsK1yiqdauKVDPsmVG
7,Morado,"J Balvin",2410631,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
8,Keii,"Anuel AA",2364990,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
9,"La Santa","Bad Bunny",2222094,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
10,Medusa,"Jhay Cortez",1938494,https://open.spotify.com/track/3qM0vBxIe4VUbK0Z0smuVP
11,Vete,"Bad Bunny",1769437,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
12,"Si Veo a Tu Mamá","Bad Bunny",1722303,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
13,"Me Gusta",Shakira,1701120,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
14,"Se iluminaba","Fred De Palma",1539996,https://open.spotify.com/track/3VPOZWtj8mM89IiRNygxgS
15,"Está Cabrón Ser Yo","Bad Bunny",1447539,https://open.spotify.com/track/4saHEjXw7O1NXJOzBkUKKG
16,"Pero Ya No","Bad Bunny",1372424,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy
17,Muévelo,"Nicky Jam",1366720,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
18,+,Aitana,1356358,https://open.spotify.com/track/5Cbo7oz78gqkzV3EAM63VA
19,"Dance Monkey","Tones And I",1335442,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
20,"Prendio (Remix)",Rvfv,1309511,https://open.spotify.com/track/17VsiwLi1ovKYdVUqDieGC
21,"Alocao (With Bad Gyal)","Omar Montes",1274428,https://open.spotify.com/track/6RyuoOJXNzlVWpfC5xQyeI
22,"Hola - Remix",Dalex,1271615,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
23,"Pegamos Tela",Lérica,1208532,https://open.spotify.com/track/4punHldq7Jfx0Plu7SdjQ0
24,"Yo Perreo Sola","Bad Bunny",1204135,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
25,Blanco,"J Balvin",1170874,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
26,Indeciso,Reik,1125371,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
27,"Sigues Con El","Dímelo Flow",1120976,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
28,<3,"Bad Bunny",1087403,https://open.spotify.com/track/4MZSqgwlE71CWZ6qQ3gkKm
29,25/8,"Bad Bunny",1087194,https://open.spotify.com/track/4NqQaovM14WR2hNPMFxgjb
30,Safaera,"Bad Bunny",1080905,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
31,Bichiyal,"Bad Bunny",1059071,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX
32,"Malibú con Piña","Funzo & Baby Loud",1049456,https://open.spotify.com/track/4T7SpjqFNSpfdAsN66DkiE
33,"RITMO (Bad Boys For Life)","Black Eyed Peas",1029349,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
34,"Si por mi fuera",Beret,1029183,https://open.spotify.com/track/3W87IIdSOE63W0Qyhy7r2b
35,"Que Malo","Bad Bunny",1026032,https://open.spotify.com/track/53v2u51nq3CxiKUNphRzP1
36,Soliá,"Bad Bunny",1012161,https://open.spotify.com/track/7sOfmPd18RWp3FoCzpa7Kw
37,René,Residente,1005032,https://open.spotify.com/track/6gm12xlADJwiBbHIKBXzGW
38,"Ahora Dice Que Me Ama",Bandaga,979054,https://open.spotify.com/track/2Z3RqW9jfl62il0R4q8wQy
39,"Whine Up","Nicky Jam",966627,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
40,"La Zona","Bad Bunny",962097,https://open.spotify.com/track/5kqNIqFjijuzvVLhuY9B8j
41,"A Tu Merced","Bad Bunny",960221,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
42,"Blinding Lights","The Weeknd",959084,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
43,"Hablamos Mañana","Bad Bunny",956281,https://open.spotify.com/track/1V8XneTrX6kKeoxYbk4x6h
44,China,"Anuel AA",954700,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
45,"Fuera De Mi Mente",Lérica,942839,https://open.spotify.com/track/7bsqRe39lKOYX45FZpzP9o
46,"Easy - Remix","Jhay Cortez",894709,https://open.spotify.com/track/1NmQc6rwLv7g0UHL1AFOa9
47,Rutina,"Myke Towers",846918,https://open.spotify.com/track/3YntiCUU0Xqq0B68FM3YAt
48,Aventura,Lunay,820312,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
49,"Don't Start Now","Dua Lipa",811603,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
50,"Puesto Pa' Guerrial","Bad Bunny",799880,https://open.spotify.com/track/5gCg2qMPzKkW4jS4dBKdDs
51,"Una Vez","Bad Bunny",796978,https://open.spotify.com/track/5J7teKIJGtqVypgYI6sqXj
52,Girl,"Myke Towers",776477,https://open.spotify.com/track/43NqTeL8pgBxKHPMiJKUP5
53,Zorra,"Bad Gyal",771963,https://open.spotify.com/track/0OP1RzrglC008kj79Httv3
54,"P FKN R","Bad Bunny",757497,https://open.spotify.com/track/0fgsKar6uBO08vzHXkTjWi
55,"Ella No Quiere Rosé",Rvfv,729427,https://open.spotify.com/track/6Aqeqb9rVNA1U6zuuxczQZ
56,Rueda,Chimbala,726352,https://open.spotify.com/track/4NDHYPVJ5zLnR8yYZsMDsu
57,"Perreo en La Luna","Rich Music LTD",706077,https://open.spotify.com/track/0RDgqtvOHLwcI6yz9bjsZV
58,"Dónde Estás",KHEA,697840,https://open.spotify.com/track/16DNJ8y6k97DxuMyV49W7V
59,Definitivamente,"Daddy Yankee",659330,https://open.spotify.com/track/113PlnpZbHd3WIqeYjhZWv
60,"Yo x Ti, Tu x Mi",ROSALÍA,655176,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
