,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Cupido (feat. Quavo)","Sfera Ebbasta",2514144,https://open.spotify.com/track/0dLToDou8YHYJpQltj3Ijy
2,Rockstar,"Sfera Ebbasta",2210463,https://open.spotify.com/track/3js3wKPw8VxBWtcXtwyUnA
3,"Sciroppo (feat. DrefGold)","Sfera Ebbasta",2192929,https://open.spotify.com/track/4VVG3HBGaqSNZqIpmewIA6
4,"Cara Italia",Ghali,1888420,https://open.spotify.com/track/7K8krdGeSIvwDGw1WUqJuK
5,"Ricchi x Sempre","Sfera Ebbasta",1628717,https://open.spotify.com/track/0kHTkvGavvk2MjBTSUtOZx
6,"Non mi avete fatto niente","Ermal Meta",1547822,https://open.spotify.com/track/6d3sJyECf0XccpnosXyxT7
7,"Serpenti A Sonagli","Sfera Ebbasta",1538985,https://open.spotify.com/track/5Z0Mx6SeUAFA2rgZB9t1Nu
8,"Pem Pem","Elettra Lamborghini",1350645,https://open.spotify.com/track/6NprDUe0yiLIVGgcnFGgtq
9,"Il ballo delle incertezze",Ultimo,1298673,https://open.spotify.com/track/0Wq6iAraiUpSbBSPmv4gLu
10,Uber,"Sfera Ebbasta",1208853,https://open.spotify.com/track/4oZhBLWGhtIyBckervj3sb
11,"Una Vita In Vacanza","Lo Stato Sociale",1186443,https://open.spotify.com/track/554Cnj9FKhRGABIxSaGJGG
12,"Serio (feat. Capo Plaza)","Emis Killa",1180488,https://open.spotify.com/track/2Cm9pUNjLYpLo2gjIiTBPa
13,"Centro (feat. Coez)",MadMan,1094591,https://open.spotify.com/track/540qZ2h2nFsuky4w42Quw8
14,"God's Plan",Drake,1029103,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
15,Ipernova,Mr.Rain,1026119,https://open.spotify.com/track/1TaSkLG2bXx84YuKmJvncw
16,"La musica non c'è",Coez,956552,https://open.spotify.com/track/7MMJa7cjMadOSR6CFWvB1x
17,"Il mondo prima di te",Annalisa,947324,https://open.spotify.com/track/0qM6TGkkinhKFllbcRfL8u
18,Bancomat,"Sfera Ebbasta",851724,https://open.spotify.com/track/0AQgJrBY3l12K49HTvnT99
19,"Irraggiungibile (feat. Federica Carta)",Shade,845638,https://open.spotify.com/track/03PDOt4cRKQgpYfA9I9wnC
20,"Tran Tran","Sfera Ebbasta",809074,https://open.spotify.com/track/3cGuiySfwJPXqvE15OiEEg
21,"20 Collane","Sfera Ebbasta",796139,https://open.spotify.com/track/6cj01yz96YqEgsMX15H6FN
