,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Giovane Fuoriclasse","Capo Plaza",1551865,https://open.spotify.com/track/4f7xpneUOcob0RoRyae6ax
2,"La musica non c'è",Coez,1395701,https://open.spotify.com/track/5IKWRPO5NGaeNIXF4rkbfZ
3,rockstar,"Post Malone",859803,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
4,Habibi,Ghali,651995,https://open.spotify.com/track/1lwpe8mLgHhytakM7m6R3W
5,"Me Rehúso","Danny Ocean",638727,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
6,"Dusk Till Dawn - Radio Edit",ZAYN,610647,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
7,"Faccio un casino",Coez,609497,https://open.spotify.com/track/7uVq49zkZEC4hI0v2exJv8
8,"Oro E Argento",Gemitaiz,600082,https://open.spotify.com/track/4k6PNRmrzBRezOB32uvuaC
9,"What Lovers Do (feat. SZA)","Maroon 5",594840,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt
10,"New Rules","Dua Lipa",590235,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
11,"Le luci della città",Coez,583681,https://open.spotify.com/track/7lA4RALtzRl7IrqSVm96AY
12,"More Than You Know","Axwell /\ Ingrosso",572334,https://open.spotify.com/track/3PEgB3fkiojxms35ntsTgs
13,"El Party","Jake La Furia",545728,https://open.spotify.com/track/5xyExId5XWZplBvjmbIuy6
14,"Tran Tran","Sfera Ebbasta",542053,https://open.spotify.com/track/1S2VLr8j9KVbroLn76RF4i
15,Havana,"Camila Cabello",541984,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
16,"Glorious (feat. Skylar Grey)",Macklemore,525296,https://open.spotify.com/track/0CokSRCu5hZgPxcZBaEzVE
17,"What About Us",P!nk,522599,https://open.spotify.com/track/0Qh38w01QRXK6KHIv0e3hb
18,"Senza Pagare VS T-Pain (feat. T-Pain)",J-AX,516374,https://open.spotify.com/track/0YOUE1TlkgSbkNvWkZkEVp
19,Diablo,Lazza,512386,https://open.spotify.com/track/13UT4Loh4cNL2HTNssnQYL
20,"Stavo Pensando A Te","Fabri Fibra",489174,https://open.spotify.com/track/6cjyaU5VscMdHi69q2w5Fo
21,Lamborghini,"Guè Pequeno",488833,https://open.spotify.com/track/7G8g5Zrr5rj2OoKoXGnRb1
22,"Without You (feat. Sandro Cavazza)",Avicii,480103,https://open.spotify.com/track/6WbADFqMvR8N5u0BvtsWQE
23,Perfect,"Ed Sheeran",461622,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
24,"Mi Gente","J Balvin",459147,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
25,"Allenamento #2","Capo Plaza",458505,https://open.spotify.com/track/1FDtcvnTZvbwMFxn5SRFHN
26,"Ti Fa Stare Bene",Caparezza,445190,https://open.spotify.com/track/4nnu4hEwa5oejaEMpizXxY
27,"Friends (with BloodPop®)","Justin Bieber",444918,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
28,"Milano Bachata",Rkomi,440824,https://open.spotify.com/track/0obKdyLE89Hrry8slkX9Ey
29,Thunder,"Imagine Dragons",431849,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
30,"Too Good At Goodbyes - Edit","Sam Smith",428419,https://open.spotify.com/track/0mel2N9Ws9r4yLQn5QE21Y
31,"Bene ma non benissimo",Shade,412261,https://open.spotify.com/track/7AujiK4ndTotwFOaGEjvOu
32,"Voglio ballare con te (feat. Andrés Dvicio)","Baby K",409740,https://open.spotify.com/track/14KKXLz5WHrzGOMUNFV22H
33,"There's Nothing Holdin' Me Back","Shawn Mendes",405107,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
34,"E yo mamma",Coez,396081,https://open.spotify.com/track/4zdfvfCudMSDKY9kjQbhj8
35,"Katchi - Ofenbach vs. Nick Waterhouse",Ofenbach,394287,https://open.spotify.com/track/2NF8A7C6tICScdRaZ0BrEe
36,OK,"Robin Schulz",392298,https://open.spotify.com/track/3bWAqKDWg6u1davspr5IkS
37,Attention,"Charlie Puth",390505,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
38,Riccione,Thegiornalisti,384367,https://open.spotify.com/track/6RiprjTTheMrJ2ypJxz3H4
39,"Allenamento #3","Capo Plaza",382674,https://open.spotify.com/track/3BIwsQMpPhXc2FTzgiUVYn
40,"Something Just Like This","The Chainsmokers",379760,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
