,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Malibu,"Vegas Jones",1881656,https://open.spotify.com/track/08AN0HMXNr3DGGDCOWsTAw
2,"Non cambierò mai","Capo Plaza",1849336,https://open.spotify.com/track/4ocoPwyOg9VRtqsjbDOQKZ
3,X,"Nicky Jam",1313273,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
4,"God's Plan",Drake,1203223,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
5,"Cupido (feat. Quavo)","Sfera Ebbasta",1144238,https://open.spotify.com/track/0dLToDou8YHYJpQltj3Ijy
6,Rockstar,"Sfera Ebbasta",1103267,https://open.spotify.com/track/3js3wKPw8VxBWtcXtwyUnA
7,"Sciroppo (feat. DrefGold)","Sfera Ebbasta",1014078,https://open.spotify.com/track/4VVG3HBGaqSNZqIpmewIA6
8,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,926037,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
9,"Cara Italia",Ghali,923114,https://open.spotify.com/track/7K8krdGeSIvwDGw1WUqJuK
10,IDGAF,"Dua Lipa",902202,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
11,"Pem Pem","Elettra Lamborghini",894754,https://open.spotify.com/track/6NprDUe0yiLIVGgcnFGgtq
12,"Ricchi x Sempre","Sfera Ebbasta",831265,https://open.spotify.com/track/0kHTkvGavvk2MjBTSUtOZx
13,Boss,DrefGold,788314,https://open.spotify.com/track/66eqL56FRz3LJMCWINapai
14,FRIENDS,Marshmello,781460,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
15,"Come Se Fosse Normale","Guè Pequeno",741960,https://open.spotify.com/track/2OX1CiWkAoA7KM5TNpgbel
16,"Serio (feat. Capo Plaza)","Emis Killa",738110,https://open.spotify.com/track/2Cm9pUNjLYpLo2gjIiTBPa
