,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Soldi,Mahmood,8223614,https://open.spotify.com/track/2dxky69jKzbtUfA3Hl8Nuo
2,"I Tuoi Particolari",Ultimo,5902025,https://open.spotify.com/track/524euygKKFWurhvIdSrkg6
3,"La ragazza con il cuore di latta",Irama,4458947,https://open.spotify.com/track/0NmyHZZMfVBiUSOfDmz9Bf
4,"Senza farlo apposta",Shade,2919684,https://open.spotify.com/track/55t2S1tpx1Bj3C5bIEn2BF
5,"Rolls Royce (feat. Boss Doms & Frenetik&Orang3)","Achille Lauro",2848988,https://open.spotify.com/track/68IBz8C8oFUIVC4Xgf0f0g
6,"Per Un Milione",Boomdabash,2456164,https://open.spotify.com/track/5L1HQLXeih82ecmY0tOH7w
7,"È sempre bello",Coez,2216325,https://open.spotify.com/track/18LXrvm337xqvFxpaB9Puj
8,"IL CIELO NELLA STANZA (feat. NSTASIA)",Salmo,2001997,https://open.spotify.com/track/2fkVZYFv9hOejIsLzZy8ad
9,"Sweet but Psycho","Ava Max",1884427,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
10,"Calma - Remix","Pedro Capó",1859418,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
11,"Stamm Fort (feat. Sfera Ebbasta)",Luche,1815457,https://open.spotify.com/track/7iTTQvztpfrDneVSX9IGBD
12,"Baila Baila Baila",Ozuna,1598744,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
13,"Cosa ti aspetti da me","Loredana Bertè",1511973,https://open.spotify.com/track/0zTTbiHlCRzrA5O9F6Vnem
14,"Nonno Hollywood","Enrico Nigiotti",1494517,https://open.spotify.com/track/1hf823Dtg12gHo3d2R6Ne8
15,"Hola (I Say) (feat. Tom Walker)","Marco Mengoni",1486754,https://open.spotify.com/track/42LrSpEHmXHfjEH8NeiQQi
16,Happier,Marshmello,1374406,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
17,"Cascare nei tuoi occhi",Ultimo,1305801,https://open.spotify.com/track/60oJSn5MTG2VNvCJKwd65M
18,"Gang Shit (feat. Capo Plaza)","Dark Polo Gang",1292012,https://open.spotify.com/track/7EkJMf7yOPU7wOK2FcryQg
19,"7 rings","Ariana Grande",1287723,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
20,Pianeti,Ultimo,1131120,https://open.spotify.com/track/2w5wtWq30yTkNSG9YjMFvW
21,"Happy Birthday","Sfera Ebbasta",1129692,https://open.spotify.com/track/7Cw97917dvg5xm6XMAA4Y2
22,"Abbi cura di me","Simone Cristicchi",1065228,https://open.spotify.com/track/5YdEQiynLpBRBk8CLEd9sG
23,R8,MadMan,1064992,https://open.spotify.com/track/1Z5y1PBVbvBdl98UPybxdb
24,"Argentovivo (feat. Rancore & Manuel Agnelli)","Daniele Silvestri",1058473,https://open.spotify.com/track/2Ig3npEMsgVAN2NtRuSyh5
25,"Torna a casa",Måneskin,991424,https://open.spotify.com/track/3590AAEoqH50z4UmhMIY85
26,"Rose viola",Ghemon,966569,https://open.spotify.com/track/4MDRt2vfYMkXCLXAVgnWJk
27,"MIA (feat. Drake)","Bad Bunny",950958,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
28,"Posso (feat. Max Gazzé)","Carl Brave",950386,https://open.spotify.com/track/5N0nmOmc0MqPZTYKw4fVV6
29,90MIN,Salmo,931248,https://open.spotify.com/track/3Ls9yKzshQye18Tx2AvOb6
30,"Cambiare Adesso","Dark Polo Gang",927156,https://open.spotify.com/track/01MJgnPL3AuwmYQ4EbHzD7
31,"Mignolo (feat. Mostro)",MadMan,913967,https://open.spotify.com/track/5xkSyjqdQhVOBTyemRI7BB
32,"Senza Di Me (feat. Venerus & Franco126)",Gemitaiz,908587,https://open.spotify.com/track/3xGD5KhnizETt7KQwxtUAc
33,"Con Calma","Daddy Yankee",902415,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
34,"NI BIEN NI MAL","Bad Bunny",894100,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8
35,24/7,MadMan,889769,https://open.spotify.com/track/30Cste6qnaVsOethYhyoAn
36,"Ti dedico il silenzio",Ultimo,887901,https://open.spotify.com/track/6GLmGfALwjzCaOiHwgfU7g
37,"Fuoco e benzina","Emis Killa",864972,https://open.spotify.com/track/4Fs1sEg9Mwn6vykFD89xvc
38,"Supernova (feat. Emis Killa)",MadMan,858735,https://open.spotify.com/track/65qZmnEjaadebCi68eNLiZ
39,"Poesia senza veli",Ultimo,853737,https://open.spotify.com/track/3f2b204xj4jZdoHjo9wj0W
40,"Adan y Eva","Paulo Londra",847603,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
41,"Solo Una Canzone",Ex-Otago,846991,https://open.spotify.com/track/4cJSsx1nujtFF5uTKsQLJO
42,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",839018,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
43,"oh 9od","tha Supreme",836272,https://open.spotify.com/track/0UuqwLM3UFmwcXSJgfFHvr
44,MALA,6ix9ine,827406,https://open.spotify.com/track/0LQ1J0BCzA2qnAgp9MkkNE
45,"La fine del mondo",Anastasio,823358,https://open.spotify.com/track/3FhWEh7VTAOYK4edZqNWNB
46,"Gioventù Bruciata",Mahmood,810177,https://open.spotify.com/track/2J7SoApufasiuxoa2ogaSi
47,Numeri,MadMan,807411,https://open.spotify.com/track/7mVV2Rb9IpbsklRP9Mfz11
48,"Musica che resta","Il Volo",805856,https://open.spotify.com/track/4bC3PgzOLeqOfluhN3nMpf
49,"High Hopes","Panic! At The Disco",788501,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
50,"Il ballo delle incertezze",Ultimo,777359,https://open.spotify.com/track/0Wq6iAraiUpSbBSPmv4gLu
51,"Mi sento bene",Arisa,774039,https://open.spotify.com/track/1uDzTq2IH2o6FUgeLuxq6B
52,"break up with your girlfriend, i'm bored","Ariana Grande",757940,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
53,"TVTB (feat. Dark Polo Gang)",Fedez,683667,https://open.spotify.com/track/3J1ZGGnDdhfAN3z4qRRonq
54,"Ngopp'A Luna","Rocco Hunt",668112,https://open.spotify.com/track/5290vWQUgvvVu9TtFRSSjw
55,"Stanza Singola (feat. Tommaso Paradiso)",Franco126,649684,https://open.spotify.com/track/23hpOtox5sIuRqVBVVJxsO
56,"Bella e rovinata",Irama,649402,https://open.spotify.com/track/5uPQRVuGquShCnqzuOTq4B
57,Shallow,"Lady Gaga",640580,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
58,"Holding out for You (feat. Zara Larsson)",Fedez,639421,https://open.spotify.com/track/6eiVP1Q0XaevZEZnQFpYEH
59,Ludovico,MadMan,636720,https://open.spotify.com/track/5Ev5WYvReWx5ScH5iYUjem
60,Secreto,"Anuel AA",628539,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
61,"STAI ZITTO (feat. Fabri Fibra)",Salmo,623576,https://open.spotify.com/track/2rgOAX5Cj3pk8JFnaPwJbd
62,"CABRIOLET (feat. Sfera Ebbasta)",Salmo,621455,https://open.spotify.com/track/7wC76LWyNxaP3hjGzbWOcN
