,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
50,"Say So","Doja Cat",305210,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
51,Sakhiyaan,"Maninder Buttar",300556,https://open.spotify.com/track/3sqRODOZ1Z6hR4F2tnFAlg
52,Takeaway,"The Chainsmokers",296151,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw
53,"Someone You Loved","Lewis Capaldi",294295,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
54,"Dus Bahane 2.0 (From ""Baaghi 3"") (feat. K.K., Shaan, Tulsi Kumar)",Vishal,289592,https://open.spotify.com/track/0z9lOAVgQT5bysEKZ6Wwbk
55,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",277336,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
56,Baari,"Bilal Saeed",277093,https://open.spotify.com/track/7cuYb19oTyv1tLTgzH7qpv
57,Manjha,"Vishal Mishra",276855,https://open.spotify.com/track/0UZLaEOSIc5kg0cc7eszqC
58,"lovely (with Khalid)","Billie Eilish",276597,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
59,"8 Parche","Baani Sandhu",275681,https://open.spotify.com/track/42ETKyApzUl8hTtytFAjen
60,"Dance Monkey","Tones And I",275145,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
61,Circles,"Post Malone",274975,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
62,"Sauda Khara Khara","Diljit Dosanjh",270724,https://open.spotify.com/track/1v8H06ctqfMX8IUxU9nCaI
63,"Pachtaoge (From ""Jaani Ve"")","Arijit Singh",266100,https://open.spotify.com/track/5QVHNa0ppJUOoqSd36ovQS
64,"Dance Monkey",Vibe2Vibe,263374,https://open.spotify.com/track/2b9F2d26QVGnzZtkzNU2XJ
65,"Udd Gaye - Bacardi House Party Sessions",Ritviz,262381,https://open.spotify.com/track/6wZJsut8fjiWiMPaccRAOX
