,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Señorita,"Shawn Mendes",1075848,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
2,"O Saki Saki (From ""Batla House"")","Neha Kakkar",819846,https://open.spotify.com/track/4cFwhwH5ydnHgB0Tv3lZsm
3,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh",796172,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU
4,"Bekhayali (From ""Kabir Singh"")","Sachet Tandon",636900,https://open.spotify.com/track/1feANd8EfcDP5UqSvbheM3
5,"Ve Maahi","Arijit Singh",618034,https://open.spotify.com/track/7ltu5scschhmNWp5rp8rVF
6,"Mere Sohneya (From ""Kabir Singh"")","Sachet Tandon",537081,https://open.spotify.com/track/2IoZMG3RqiTmsy7Li3zGFg
7,"Tera Ban Jaunga","Akhil Sachdeva",534145,https://open.spotify.com/track/3oWxFNsXstcancCR1wODR4
8,"Psycho Saiyaan (From ""Saaho"")","Sachet Tandon",517498,https://open.spotify.com/track/3ZjMdVOWxQ53FKrmkgCv95
9,"Duniyaa (From ""Luka Chuppi"")",Akhil,497527,https://open.spotify.com/track/2tjWCe2W7sgvS3C8NHcdtI
10,"The Wakhra Song","Navv Inder",451684,https://open.spotify.com/track/6N6mJlsjYRV0yoMSPS5JiQ
11,"Kaise Hua (From ""Kabir Singh"")","Vishal Mishra",420073,https://open.spotify.com/track/1y1rQTkWmrZdJmjwuK07GC
12,Paagal,Badshah,399650,https://open.spotify.com/track/4gyPGtExOjj1rsByKW33LR
13,"Koka (From ""Khandaani Shafakhana"")","Jasbir Jassi",378410,https://open.spotify.com/track/4H2wyTfSobQHsVnt2JYPMf
14,"Goodbyes (Feat. Young Thug)","Post Malone",367388,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
15,"Hauli Hauli (From ""De De Pyaar De"")","Garry Sandhu",361340,https://open.spotify.com/track/1z0A545pZMaqYRkruladlk
16,"Kalank (Title Track)","Arijit Singh",340434,https://open.spotify.com/track/6vo7Y1iWyZvpjvFbf6BiZ5
17,Vaaste,"Dhvani Bhanushali",329213,https://open.spotify.com/track/0mJTAdmY8olbGQjopDYff3
18,"Bekhayali (Arijit Singh Version) [From ""Kabir Singh""]","Arijit Singh",315499,https://open.spotify.com/track/6aPMWbbdhDhiJHlknZb9Yx
19,Yaari,Nikk,308132,https://open.spotify.com/track/04UzZSWfw8hkK832P27QLq
20,"Sheher Ki Ladki (From ""Khandaani Shafakhana"")",Badshah,301835,https://open.spotify.com/track/24d3IPklAxzBJB2nuWeSpg
21,"boyfriend (with Social House)","Ariana Grande",286719,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
22,"Chale Aana (From ""De De Pyaar De"")","Amaal Mallik",281974,https://open.spotify.com/track/6vuMdb0E8buJeSHArN3dXk
23,"The Hook Up Song",Vishal-Shekhar,278867,https://open.spotify.com/track/1bLNqR3bqpyWkwWKECjVrw
24,"Dheeme Dheeme","Tony Kakkar",272026,https://open.spotify.com/track/4At0CnQes5Kx1ROSnnP4lK
25,"Chashni (From ""Bharat"")","Abhijeet Srivastava",270975,https://open.spotify.com/track/5X5db3FrBOHbibrFKA02MQ
