,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Filhall,"B Praak",1080171,https://open.spotify.com/track/6E7P1uT2afeor2t6wR2y2r
2,"Ghungroo (From ""War"")","Arijit Singh",878843,https://open.spotify.com/track/0WdbnNKO0Jt4BZACSDQh44
3,"Tum Hi Aana (From ""Marjaavaan"")","Payal Dev",830811,https://open.spotify.com/track/6E9UwSfT80age2xknoMS7Y
4,Memories,"Maroon 5",730926,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
5,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh",627562,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU
6,Makhna,"Tanishk Bagchi",613726,https://open.spotify.com/track/0ZHILXmUaVSLEOCWxPQ1ga
7,Señorita,"Shawn Mendes",582928,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
8,"Pal Pal Dil Ke Paas- Title Track","Arijit Singh",567030,https://open.spotify.com/track/7lGhrfren1Zpwh0ds0zuUg
9,"Lose You To Love Me","Selena Gomez",547545,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
10,"Shaitan Ka Saala (From ""Housefull 4"")","Sohail Sen",534957,https://open.spotify.com/track/7IAJzec1UxGYmNvbPTHbxx
11,"Pachtaoge (From ""Jaani Ve"")","Arijit Singh",466724,https://open.spotify.com/track/5QVHNa0ppJUOoqSd36ovQS
12,"Bekhayali (From ""Kabir Singh"")","Sachet Tandon",449384,https://open.spotify.com/track/1feANd8EfcDP5UqSvbheM3
13,"Trampoline (with ZAYN)",SHAED,440489,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k
14,Circles,"Post Malone",423709,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
15,"Tera Ban Jaunga (From ""Kabir Singh"")","Akhil Sachdeva",415888,https://open.spotify.com/track/4OcvkkpF3xmyCGGY5IBlgi
16,"Thodi Jagah (From ""Marjaavaan"")","Arijit Singh",410344,https://open.spotify.com/track/3f0wz6zcA7XkQiGm0qNF5r
17,"Ve Maahi","Arijit Singh",409881,https://open.spotify.com/track/7ltu5scschhmNWp5rp8rVF
18,"Duniyaa (From ""Luka Chuppi"")",Akhil,393074,https://open.spotify.com/track/2tjWCe2W7sgvS3C8NHcdtI
19,"Mere Sohneya (From ""Kabir Singh"")","Sachet Tandon",384968,https://open.spotify.com/track/2IoZMG3RqiTmsy7Li3zGFg
20,"hot girl bummer",blackbear,379861,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
21,"O Saki Saki (From ""Batla House"")","Neha Kakkar",379026,https://open.spotify.com/track/5djZm1zFGcJUSUqbBjrAZH
22,"Jai Jai Shivshankar (From ""War"")","Vishal Dadlani",362844,https://open.spotify.com/track/6lfSsCL894Qw15xbt7cSUy
23,"Chal Bombay",DIVINE,361997,https://open.spotify.com/track/6AooRgSRDzbCYL4NZ4RCjU
