,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Shayad,Pritam,861008,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL
2,Khairiyat,"Arijit Singh",826397,https://open.spotify.com/track/5O932cZmzOZGOGZz9RHx20
3,"Play Date","Melanie Martinez",803571,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
4,"How You Like That",BLACKPINK,753900,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3
5,"Savage Love (Laxed - Siren Beat)","Jawsh 685",734851,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
6,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh",619437,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU
7,"death bed (coffee for your head)",Powfu,612250,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
8,"Roses - Imanbek Remix","SAINt JHN",582148,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
9,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,566274,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
10,Makhna,"Tanishk Bagchi",564053,https://open.spotify.com/track/0ZHILXmUaVSLEOCWxPQ1ga
11,"Genda Phool (feat. Payal Dev)",Badshah,561598,https://open.spotify.com/track/0gzu5mm36VJH2Zqu8sQPTf
12,"ily (i love you baby) (feat. Emilee)","Surf Mesa",560792,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
13,"Blinding Lights","The Weeknd",557892,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
14,"Ghungroo (From ""War"")","Arijit Singh",545506,https://open.spotify.com/track/0WdbnNKO0Jt4BZACSDQh44
15,Falling,"Trevor Daniel",538309,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
16,"Malang (Title Track) [From ""Malang - Unleash The Madness""]","Ved Sharma",521018,https://open.spotify.com/track/25MPTnqXQB1H6OkwSYUXWx
17,Señorita,"Shawn Mendes",466254,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
18,Memories,"Maroon 5",465795,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
19,"Dance Monkey","Tones And I",452713,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
20,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","Rochak Kohli",447740,https://open.spotify.com/track/57jOEZtoLQK4zF2x55bdkp
21,"Haan Main Galat",Pritam,438734,https://open.spotify.com/track/0MLZAgKQKHbPsJ12qHS860
22,"Illegal Weapon 2.0","Jasmine Sandlas",438097,https://open.spotify.com/track/7CY0CmCpSglfUKCBOOiRfw
23,"Kaise Hua (From ""Kabir Singh"")","Vishal Mishra",428768,https://open.spotify.com/track/1y1rQTkWmrZdJmjwuK07GC
24,"Pal Pal Dil Ke Paas- Title Track","Arijit Singh",417589,https://open.spotify.com/track/7lGhrfren1Zpwh0ds0zuUg
25,"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",Badshah,410421,https://open.spotify.com/track/6q9XTgfWilsnyiFofvYrIF
26,"Toosie Slide",Drake,410313,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
27,Liggi,Ritviz,401250,https://open.spotify.com/track/66Nmp3ztIMqX1j8yYtWl1X
28,"Humraah (From ""Malang - Unleash The Madness"")","Sachet Tandon",392206,https://open.spotify.com/track/4xmkpE1Si5JL7NFxWrhV0S
29,"Intentions (feat. Quavo)","Justin Bieber",386958,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
30,"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")","Ayushmann Khurrana",376781,https://open.spotify.com/track/3qrdLVOClRU4yPkcXZ7c5u
31,"Duniyaa (From ""Luka Chuppi"")",Akhil,375704,https://open.spotify.com/track/3s3J70eRpRH2hcYq4mEXTJ
32,"Namo Namo","Amit Trivedi",366251,https://open.spotify.com/track/5QtQFSdyZEl0w4iDxAyv76
33,"Bambiha Bole","Sidhu Moose Wala",364556,https://open.spotify.com/track/60GK6ultL3skUR60O9haSJ
34,"Stay Gold",BTS,362630,https://open.spotify.com/track/0UwQTbq7ZtBJ7v530mpaxP
35,"Agar Tum Saath Ho (From ""Tamasha"")","Alka Yagnik",361337,https://open.spotify.com/track/1fzAokzOONl4XEPUFoammu
36,"Watermelon Sugar","Harry Styles",358558,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
37,Skechers,DripReport,354577,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
38,"Bekhayali (From ""Kabir Singh"")","Sachet Tandon",344574,https://open.spotify.com/track/1feANd8EfcDP5UqSvbheM3
39,"Ve Maahi","Arijit Singh",342563,https://open.spotify.com/track/7ltu5scschhmNWp5rp8rVF
40,Yalgaar,"Ajey Nagar (CarryMinati)",341670,https://open.spotify.com/track/0RGp4KA9wvndxqPIWoKwnD
41,Mehrama,Pritam,337136,https://open.spotify.com/track/6cUOiOY5qh2FpIQWIYAd2h
42,"Tera Ban Jaunga (From ""Kabir Singh"")","Akhil Sachdeva",329715,https://open.spotify.com/track/4OcvkkpF3xmyCGGY5IBlgi
43,Believer,"Imagine Dragons",327166,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
44,"Mere Sohneya (From ""Kabir Singh"")","Sachet Tandon",322389,https://open.spotify.com/track/2IoZMG3RqiTmsy7Li3zGFg
45,"Tum Hi Aana (From ""Marjaavaan"")","Payal Dev",318620,https://open.spotify.com/track/6E9UwSfT80age2xknoMS7Y
46,"Don't Start Now","Dua Lipa",316491,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
47,"lovely (with Khalid)","Billie Eilish",315132,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
48,"Past Life (with Selena Gomez)","Trevor Daniel",314301,https://open.spotify.com/track/4P6IttK2PRBjyr3fm0pP7t
49,Qaafirana,"Arijit Singh",313803,https://open.spotify.com/track/0xkGTPTijMU84dtHr3KQQi
50,"The Box","Roddy Ricch",312121,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
51,"Someone You Loved","Lewis Capaldi",279237,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
52,"Stuck with U (with Justin Bieber)","Ariana Grande",279053,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
53,"Yaad Piya Ki Aane Lagi","Neha Kakkar",278497,https://open.spotify.com/track/0TkquWzzuxcrwbCWlTrKYF
54,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",273664,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
