,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Ghungroo (From ""War"")","Arijit Singh",815286,https://open.spotify.com/track/0WdbnNKO0Jt4BZACSDQh44
2,"Yaad Piya Ki Aane Lagi","Neha Kakkar",752511,https://open.spotify.com/track/0TkquWzzuxcrwbCWlTrKYF
3,Makhna,"Tanishk Bagchi",734550,https://open.spotify.com/track/0ZHILXmUaVSLEOCWxPQ1ga
4,Memories,"Maroon 5",720376,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
5,"Tum Hi Aana (From ""Marjaavaan"")","Payal Dev",692591,https://open.spotify.com/track/6E9UwSfT80age2xknoMS7Y
6,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh",687747,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU
7,Señorita,"Shawn Mendes",656693,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
8,Filhall,"B Praak",601497,https://open.spotify.com/track/6E7P1uT2afeor2t6wR2y2r
9,Falling,"Trevor Daniel",587758,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
10,Circles,"Post Malone",489720,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
11,"Pal Pal Dil Ke Paas- Title Track","Arijit Singh",479865,https://open.spotify.com/track/7lGhrfren1Zpwh0ds0zuUg
12,"Blinding Lights","The Weeknd",477629,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
13,ROXANNE,"Arizona Zervas",470455,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
14,"Bekhayali (From ""Kabir Singh"")","Sachet Tandon",453740,https://open.spotify.com/track/1feANd8EfcDP5UqSvbheM3
15,"O Saki Saki (From ""Batla House"")","Neha Kakkar",449284,https://open.spotify.com/track/5djZm1zFGcJUSUqbBjrAZH
16,"Shaitan Ka Saala (From ""Housefull 4"")","Sohail Sen",435692,https://open.spotify.com/track/7IAJzec1UxGYmNvbPTHbxx
17,"Duniyaa (From ""Luka Chuppi"")",Akhil,433361,https://open.spotify.com/track/2tjWCe2W7sgvS3C8NHcdtI
18,"Ve Maahi","Arijit Singh",420516,https://open.spotify.com/track/7ltu5scschhmNWp5rp8rVF
19,"Tera Ban Jaunga (From ""Kabir Singh"")","Akhil Sachdeva",419798,https://open.spotify.com/track/4OcvkkpF3xmyCGGY5IBlgi
20,"Mere Sohneya (From ""Kabir Singh"")","Sachet Tandon",413282,https://open.spotify.com/track/2IoZMG3RqiTmsy7Li3zGFg
21,"Dheeme Dheeme (From ""Pati Patni Aur Woh"")","Tony Kakkar",401153,https://open.spotify.com/track/7ofWUKeNCUw1P64ArIwG9b
22,"Pachtaoge (From ""Jaani Ve"")","Arijit Singh",397183,https://open.spotify.com/track/5QVHNa0ppJUOoqSd36ovQS
23,Heartless,"The Weeknd",380960,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
24,"Lucid Dreams","Juice WRLD",376310,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
25,"Kaise Hua (From ""Kabir Singh"")","Vishal Mishra",362036,https://open.spotify.com/track/1y1rQTkWmrZdJmjwuK07GC
26,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",345559,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
27,"8 Parche","Baani Sandhu",344252,https://open.spotify.com/track/42ETKyApzUl8hTtytFAjen
28,"everything i wanted","Billie Eilish",337191,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
29,"hot girl bummer",blackbear,334331,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
30,Believer,"Imagine Dragons",331516,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
31,Sakhiyaan,"Maninder Buttar",329806,https://open.spotify.com/track/3sqRODOZ1Z6hR4F2tnFAlg
32,"Chal Bombay",DIVINE,326963,https://open.spotify.com/track/6AooRgSRDzbCYL4NZ4RCjU
33,"On My Way","Alan Walker",325682,https://open.spotify.com/track/7KhHA3mzt7A3LFlOJEAKpI
34,"Ik Tera","Maninder Buttar",318591,https://open.spotify.com/track/57DhVYA7E1CyrE4OKuyLb7
35,"Trampoline (with ZAYN)",SHAED,314758,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k
36,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","Rochak Kohli",310612,https://open.spotify.com/track/57jOEZtoLQK4zF2x55bdkp
37,"Jai Jai Shivshankar (From ""War"")","Vishal Dadlani",307640,https://open.spotify.com/track/6lfSsCL894Qw15xbt7cSUy
38,"Lose You To Love Me","Selena Gomez",303005,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
39,"bad guy","Billie Eilish",297204,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
40,"Someone You Loved","Lewis Capaldi",295235,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
41,"Adore You","Harry Styles",294183,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
42,"Proper Patola",Badshah,291698,https://open.spotify.com/track/39ujbBjTwwqUFySaCYDMMT
43,"Thodi Jagah (From ""Marjaavaan"")","Arijit Singh",290134,https://open.spotify.com/track/3f0wz6zcA7XkQiGm0qNF5r
44,"Naah Goriye (From ""Bala"")","B Praak",287169,https://open.spotify.com/track/1CM4rFDU9q4EoLy2K44qE6
45,"Kalank (Title Track)","Arijit Singh",286697,https://open.spotify.com/track/6vo7Y1iWyZvpjvFbf6BiZ5
46,Vaaste,"Dhvani Bhanushali",283402,https://open.spotify.com/track/0mJTAdmY8olbGQjopDYff3
47,"Dance Like","Harrdy Sandhu",279778,https://open.spotify.com/track/36EPfDEkfLYQLt8Fvced8x
48,"Don't Be Shy Again (From ""Bala"")",Sachin-Jigar,268089,https://open.spotify.com/track/2TbCdbFzs2xO2nzasn0Qvw
49,"Ik Mulaqaat","Meet Bros.",265041,https://open.spotify.com/track/17uI7afUaul1hCzMTF9txd
50,"Ek Toh Kum Zindagani (From ""Marjaavaan"")","Neha Kakkar",261213,https://open.spotify.com/track/6oDHAjaJJjwwgoAuMIeY9K
51,"Psycho Saiyaan (From ""Saaho"")","Sachet Tandon",261146,https://open.spotify.com/track/3ZjMdVOWxQ53FKrmkgCv95
52,"My Oh My (feat. DaBaby)","Camila Cabello",260450,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
53,"Hauli Hauli (From ""De De Pyaar De"")","Garry Sandhu",252764,https://open.spotify.com/track/1z0A545pZMaqYRkruladlk
54,"Tujhe Kitna Chahein Aur (Film Version)","Jubin Nautiyal",249696,https://open.spotify.com/track/0mHU8dcIvGrGDazLMmQpSg
