,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Shayad,Pritam,1031568,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL
2,"Intentions (feat. Quavo)","Justin Bieber",915613,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
3,Falling,"Trevor Daniel",911100,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
4,"Illegal Weapon 2.0","Jasmine Sandlas",904246,https://open.spotify.com/track/7CY0CmCpSglfUKCBOOiRfw
5,"Malang (Title Track) [From ""Malang - Unleash The Madness""]","Ved Sharma",888462,https://open.spotify.com/track/25MPTnqXQB1H6OkwSYUXWx
6,"Haan Main Galat",Pritam,794895,https://open.spotify.com/track/0MLZAgKQKHbPsJ12qHS860
7,"Ghungroo (From ""War"")","Arijit Singh",774657,https://open.spotify.com/track/0WdbnNKO0Jt4BZACSDQh44
8,"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",Badshah,760934,https://open.spotify.com/track/6q9XTgfWilsnyiFofvYrIF
9,Makhna,"Tanishk Bagchi",735202,https://open.spotify.com/track/0ZHILXmUaVSLEOCWxPQ1ga
10,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","Rochak Kohli",714089,https://open.spotify.com/track/57jOEZtoLQK4zF2x55bdkp
11,"Humraah (From ""Malang - Unleash The Madness"")","Sachet Tandon",645713,https://open.spotify.com/track/4xmkpE1Si5JL7NFxWrhV0S
12,"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")","Ayushmann Khurrana",644716,https://open.spotify.com/track/3qrdLVOClRU4yPkcXZ7c5u
13,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh",635815,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU
14,Yummy,"Justin Bieber",632038,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
15,"Blinding Lights","The Weeknd",622851,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
