,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Atrasadinha - Ao Vivo","Felipe Araújo",5110641,https://open.spotify.com/track/5EKHbW7mXcAR4hCyS3YXjb
2,"Notificação Preferida - Ao Vivo","Zé Neto & Cristiano",4435453,https://open.spotify.com/track/2qkNnJvQvhLiZ63X1L3eFz
3,"Ciumeira - Ao Vivo","Marília Mendonça",4251408,https://open.spotify.com/track/2H1liABu20HXBOmbt5SQz1
4,"Parado no Bailão","MC L da Vinte",4245256,https://open.spotify.com/track/3Hb9kUdm4yf839Fle4RIdT
5,"Quem Me Dera","Márcia Fellipe",3977681,https://open.spotify.com/track/2lAyctg5FocS67eksHoyIg
6,"Só Pra Castigar","Wesley Safadão",3830499,https://open.spotify.com/track/2X8sssaxS5GReg6945B6RW
7,"Agora é Tudo Meu","Dennis DJ",3565032,https://open.spotify.com/track/5yH8pYxNckOU1cxfPsMIaz
8,"Não Fala Não pra Mim","Humberto & Ronaldo",3328443,https://open.spotify.com/track/0PaAB17axL9hn88mHiw8g0
9,"Quem Pegou, Pegou - Ao Vivo","Henrique & Juliano",3229342,https://open.spotify.com/track/0kCqaybZgYcLYxzZymmBoc
10,"Largado Às Traças - Ao Vivo","Zé Neto & Cristiano",2968064,https://open.spotify.com/track/1IJH7QjV5V99eJBtKXqGXE
11,"Medley da Gaiola - Dennis DJ Remix","MC Kevin o Chris",2916361,https://open.spotify.com/track/7rLegaz7zKB6EtDNzcslKE
12,"Saudade Nível Hard","Yasmin Santos",2630076,https://open.spotify.com/track/2dmGj5Nf01FcR6N4HPzAbL
13,"Só Você","Dennis DJ",2556239,https://open.spotify.com/track/4xc6RrWzEOdprPqYn9Cyen
14,"Vingança - Ao Vivo","Luan Santana",2485847,https://open.spotify.com/track/7KdcbYcVF8LkQeQcTYOixJ
15,"O Bebê","MC Kevinho",2481440,https://open.spotify.com/track/51HrDv54pSe1IqynORNXBd
16,Veneno,Anitta,2394285,https://open.spotify.com/track/1KFN3kB4hc6r7ILpifFsqf
17,"Sofazinho - Ao Vivo","Luan Santana",2383322,https://open.spotify.com/track/2PMLdLt5QeOuOgxfAvx1in
18,"Propaganda - Ao Vivo","Jorge & Mateus",2367489,https://open.spotify.com/track/74n5d5M21JnC4WJ6gdkggK
19,"Traí Sim - Ao Vivo","Maiara & Maraisa",2348180,https://open.spotify.com/track/3o67Yt3Ua1qlSNV22zWUAn
20,"Hoje Eu Vou Parar Na Gaiola","Mc Livinho",2269518,https://open.spotify.com/track/0IQCOAw9ZAI6WnXIrl481F
21,Sapequinha,Lexa,2210626,https://open.spotify.com/track/7LPR6AdkOQR9WpEixCGNCk
22,"Sem Sal - Ao Vivo","Marília Mendonça",2184342,https://open.spotify.com/track/0E5S49GCejjIo9Bjmo5Q4z
23,"Zé da Recaída - Ao Vivo","Gusttavo Lima",2171803,https://open.spotify.com/track/7uU04pPMnKELpv8mIJ3yLa
24,"Cidade Vizinha - Ao Vivo","Henrique & Juliano",2131406,https://open.spotify.com/track/6pgoGpBkKUvXrrU95j0khl
25,"Ouvi Dizer",Melim,2082970,https://open.spotify.com/track/1qCLx3nX25NuhfPjM5E1qV
