,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Atrasadinha - Ao Vivo","Felipe Araújo",4340769,https://open.spotify.com/track/5EKHbW7mXcAR4hCyS3YXjb
2,"Ciumeira - Ao Vivo","Marília Mendonça",3392768,https://open.spotify.com/track/2H1liABu20HXBOmbt5SQz1
3,"O Bebê","MC Kevinho",2976017,https://open.spotify.com/track/51HrDv54pSe1IqynORNXBd
4,"Só Pra Castigar","Wesley Safadão",2826053,https://open.spotify.com/track/2X8sssaxS5GReg6945B6RW
5,"Só Você","Dennis DJ",2495000,https://open.spotify.com/track/4xc6RrWzEOdprPqYn9Cyen
6,"Sofazinho - Ao Vivo","Luan Santana",2483064,https://open.spotify.com/track/2PMLdLt5QeOuOgxfAvx1in
7,"Cidade Vizinha - Ao Vivo","Henrique & Juliano",2414784,https://open.spotify.com/track/6pgoGpBkKUvXrrU95j0khl
8,Favela,Alok,2402747,https://open.spotify.com/track/2JVbZEpewmqNlSzmXJTx2E
9,"Saudade Nível Hard","Yasmin Santos",2378294,https://open.spotify.com/track/2dmGj5Nf01FcR6N4HPzAbL
10,"Não Fala Não pra Mim","Humberto & Ronaldo",2370860,https://open.spotify.com/track/0PaAB17axL9hn88mHiw8g0
11,"Largado Às Traças - Ao Vivo","Zé Neto & Cristiano",2360163,https://open.spotify.com/track/1IJH7QjV5V99eJBtKXqGXE
12,"Medley da Gaiola - Dennis DJ Remix","MC Kevin o Chris",2308387,https://open.spotify.com/track/7rLegaz7zKB6EtDNzcslKE
13,"Parado no Bailão","MC L da Vinte",2297597,https://open.spotify.com/track/3Hb9kUdm4yf839Fle4RIdT
14,"Meu Abrigo",Melim,2137099,https://open.spotify.com/track/5U28PY9MekLyCBYtLHGQpe
15,"Ao Vivo E A Cores","Matheus & Kauan",2034806,https://open.spotify.com/track/2Ab1wPTEqulaCGoBak1gUo
16,Sapequinha,Lexa,1937250,https://open.spotify.com/track/7LPR6AdkOQR9WpEixCGNCk
17,"Finalidade Era Ficar em Casa","MC Kevin o Chris",1927783,https://open.spotify.com/track/2Y73798F4zbbbvKT02fbtE
18,"Propaganda - Ao Vivo","Jorge & Mateus",1883954,https://open.spotify.com/track/74n5d5M21JnC4WJ6gdkggK
19,Kikadinha,"Jerry Smith",1856959,https://open.spotify.com/track/5TUYLsiIi3tuvR2fCJjZUy
20,"Notificação Preferida - Ao Vivo","Zé Neto & Cristiano",1845068,https://open.spotify.com/track/2qkNnJvQvhLiZ63X1L3eFz
21,"Pouca Pausa",Clau,1821477,https://open.spotify.com/track/2odzriVVZBwYOiYJEj30tm
22,"thank u, next","Ariana Grande",1821172,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
23,Devagarinho,"Luísa Sonza",1785917,https://open.spotify.com/track/0aZfIiaO3b2HTNxZ3sv1cg
24,"Zé da Recaída - Ao Vivo","Gusttavo Lima",1744435,https://open.spotify.com/track/7uU04pPMnKELpv8mIJ3yLa
25,"O Alvo (feat. Henrique & Juliano) - Ao Vivo","Diego & Victor Hugo",1598966,https://open.spotify.com/track/5Vw6ZLNB6Ko7VZM6vmNIbr
26,"Sem Sal - Ao Vivo","Marília Mendonça",1531139,https://open.spotify.com/track/0E5S49GCejjIo9Bjmo5Q4z
27,"Solteiro Nunca Está Só","MC Kekel",1521786,https://open.spotify.com/track/0qFHLde09T8wwoxQOhGtJQ
28,"Status Que Eu Não Queria - Ao Vivo","Zé Neto & Cristiano",1489281,https://open.spotify.com/track/1fyhyOy6iS9E2NckAzjmTo
29,"A Culpa É Dele - Ao Vivo | Acústico","Marília Mendonça",1448126,https://open.spotify.com/track/6yxYagNp6Gapd7jXmWzgVc
30,"Vingança - Ao Vivo","Luan Santana",1447937,https://open.spotify.com/track/7KdcbYcVF8LkQeQcTYOixJ
31,"Romance Com Safadeza","Wesley Safadão",1444736,https://open.spotify.com/track/0RBOFW5424gCCCZrgECbt6
32,Fuleragem,"MC WM",1433021,https://open.spotify.com/track/6tuzPD1zPPvwMbGiD0TBay
33,Medicina,Anitta,1411519,https://open.spotify.com/track/4R5xvs5X0phd0EYWyGigju
34,"Sou Favela",Ruanzinho,1394473,https://open.spotify.com/track/6VcaTmR9UhOuZD7aNNilOV
35,"Bebida Na Ferida - Ao Vivo","Zé Neto & Cristiano",1382277,https://open.spotify.com/track/3HEb6Y5dv8PgD6JgsIQNac
36,"Disk Me","Pabllo Vittar",1361261,https://open.spotify.com/track/3xgDQRexKiyS4Eq3oAvLaD
37,"Ouvi Dizer",Melim,1353144,https://open.spotify.com/track/1qCLx3nX25NuhfPjM5E1qV
38,Shallow,"Lady Gaga",1351715,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
39,"Quem Pegou, Pegou - Ao Vivo","Henrique & Juliano",1317220,https://open.spotify.com/track/0kCqaybZgYcLYxzZymmBoc
40,"Novinha Você É uma Flor","MCs Thin e Alexandre",1273897,https://open.spotify.com/track/4kiauw5SBqEsu5GuGD09aM
41,"Deixa (feat. Ana Gabriela)",Lagum,1243828,https://open.spotify.com/track/3fLqmaO4vvZpFZSZy52VMp
42,"Pra Inveja É Tchau","Mc Kevin",1228957,https://open.spotify.com/track/4cnNrOojGyU6J3OXqVTPIg
43,"O Sol","Vitor Kley",1211441,https://open.spotify.com/track/4lvGHfDuzfv9uDTHMrRMiH
44,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",1205656,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
45,"É natural (Participação especial de Bruno Cardoso) - Ao vivo",Ferrugem,1202795,https://open.spotify.com/track/0vT797IpZpF5o1XLCnWCUL
46,"Amor de Verdade","MC Kekel",1182708,https://open.spotify.com/track/76KDy62J99FKu6ZsxMJy3j
47,"Posto 24h (feat. Wesley Safadão) - Ao Vivo","Lucas Lucco",1155718,https://open.spotify.com/track/3mNmUjoDHYDYj08IaRPtg0
48,"Pour Over","Vintage Culture",1137207,https://open.spotify.com/track/574kOxVgCcy70oq623rvPE
49,"Sua Mãe Vai Me Amar","Turma do Pagode",1135992,https://open.spotify.com/track/4fMjqKYYsvtT6Fvca8lGFl
50,"Coladinha em Mim - Ao Vivo","Gustavo Mioto",1120626,https://open.spotify.com/track/4JPSfCXQe6kDliMIJTqISW
51,"Siga a Seta (feat. Matheus & Kauan) - Ao Vivo","Marcos & Belutti",1117827,https://open.spotify.com/track/5AQNVgt7BKHKRhrNFFgSPF
52,"Ai, Amor",ANAVITÓRIA,1106041,https://open.spotify.com/track/3bR8wBqLky6b61ROJlaBEF
53,"Cerveja De Garrafa (Fumaça Que Eu Faço) - Ao Vivo","Atitude 67",1103935,https://open.spotify.com/track/2PADJK4rhdklqFLQFa5oMX
54,"Bem Pior Que Eu - Ao Vivo","Marília Mendonça",1094269,https://open.spotify.com/track/4CdMz076UN8RyeWGQCdqFZ
55,"Girls Like You (feat. Cardi B)","Maroon 5",1093351,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
56,"Cada um na Sua - Ao Vivo","Fernando & Sorocaba",1063150,https://open.spotify.com/track/5ReZ4aO1vRnzhxINvPiGJD
57,Cobaia,"Lauana Prado",1059691,https://open.spotify.com/track/1xyVMQx51Kab6eLVtE6twx
58,"Dancin (feat. Luvli) - Krono Remix","Aaron Smith",1043790,https://open.spotify.com/track/6WkJ2OK163XXS2oARUC9JM
59,"Quem Me Dera","Márcia Fellipe",1026519,https://open.spotify.com/track/29dRTbLTxRaSl63DIzbjvl
60,"Bye Bye - Ao Vivo","Marília Mendonça",1021701,https://open.spotify.com/track/0bQWrpOuFcxQlBMiZkfkB2
61,"In My Mind",Dynoro,1014125,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
62,"Juramento do Dedinho","Mano Walter",960984,https://open.spotify.com/track/0lCmp1Mws7I9K4a0OAgces
63,"Ausência - Ao Vivo | Acústico","Marília Mendonça",951192,https://open.spotify.com/track/37erXXnh4mlWE7mdO6EYOp
64,"Terra Sem CEP - Ao Vivo","Jorge & Mateus",948091,https://open.spotify.com/track/2U94QDSo9N4e1iXrjo7KAB
65,"Mulher Maravilha - Ao Vivo","Zé Neto & Cristiano",936804,https://open.spotify.com/track/2cbMXc0P5s271VwZOUk1Gb
66,"Jogo do Amor","MC Bruninho",920705,https://open.spotify.com/track/3MxbRHE1u74SoMNR9iURIZ
67,"Casa da Mãe Joana - Ao Vivo","Marília Mendonça",901476,https://open.spotify.com/track/4y17a6dAJ8P1jeZpd2LCrC
68,"3 Dias Virado","Mc IG",897178,https://open.spotify.com/track/4uD7ypL7pDmOiMiVX6TCCa
69,"Espaçosa Demais - Ao Vivo","Felipe Araújo",892021,https://open.spotify.com/track/4lEw9Id7kLDSJ6KRdaenM9
70,Happier,Marshmello,888275,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
71,"Oi Nego (Não Vai Dar Parte 3)","Jefferson Moraes",887395,https://open.spotify.com/track/5M78WUOq5AjcDfLoj9yi6a
72,"Mundo de Ilusões - Ao Vivo","Gusttavo Lima",885898,https://open.spotify.com/track/3UxbT06Mz8aTJbHYYIxwkI
73,"Bohemian Rhapsody - 2011 Mix",Queen,879123,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
74,"Zé da Recaída","Gusttavo Lima",860425,https://open.spotify.com/track/4iGwWeV7XVIWO9Yy5QExOr
75,"Dentro do Carro","MC Kevin o Chris",858580,https://open.spotify.com/track/6FWMkcaZyKS8I60zR6ro7h
76,"Ta Tum Tum","MC Kevinho",841617,https://open.spotify.com/track/6etab3UBCo5GOTMZqUvRka
77,"Boa Menina","Luísa Sonza",836060,https://open.spotify.com/track/3eCofNVG97J3lRyNhh0zPP
78,Morena,"Vitor Kley",821826,https://open.spotify.com/track/36UiRg8wGUOFC3E0gdyvFA
79,"Tô Com Moral No Céu! - Ao Vivo","Matheus & Kauan",812559,https://open.spotify.com/track/0uwaiApk6k7k9POyFjTKeR
80,"Vou Morrer Sozinho",Jão,812423,https://open.spotify.com/track/1XVN2BVHfKUUcMH0jxSRZ5
