,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Atrasadinha - Ao Vivo","Felipe Araújo",3958971,https://open.spotify.com/track/5EKHbW7mXcAR4hCyS3YXjb
2,"Parado no Bailão","MC L da Vinte",3133812,https://open.spotify.com/track/3Hb9kUdm4yf839Fle4RIdT
3,"Ciumeira - Ao Vivo","Marília Mendonça",3125764,https://open.spotify.com/track/2H1liABu20HXBOmbt5SQz1
4,Veneno,Anitta,3061673,https://open.spotify.com/track/1KFN3kB4hc6r7ILpifFsqf
5,"Não Fala Não pra Mim","Humberto & Ronaldo",2918257,https://open.spotify.com/track/0PaAB17axL9hn88mHiw8g0
6,"Só Pra Castigar","Wesley Safadão",2738491,https://open.spotify.com/track/2X8sssaxS5GReg6945B6RW
7,"Medley da Gaiola - Dennis DJ Remix","MC Kevin o Chris",2698505,https://open.spotify.com/track/7rLegaz7zKB6EtDNzcslKE
8,"O Bebê","MC Kevinho",2678592,https://open.spotify.com/track/51HrDv54pSe1IqynORNXBd
9,"Sofazinho - Ao Vivo","Luan Santana",2379886,https://open.spotify.com/track/2PMLdLt5QeOuOgxfAvx1in
10,"Só Você","Dennis DJ",2320909,https://open.spotify.com/track/4xc6RrWzEOdprPqYn9Cyen
11,"Saudade Nível Hard","Yasmin Santos",2226986,https://open.spotify.com/track/2dmGj5Nf01FcR6N4HPzAbL
12,"Largado Às Traças - Ao Vivo","Zé Neto & Cristiano",2131291,https://open.spotify.com/track/1IJH7QjV5V99eJBtKXqGXE
13,"Cidade Vizinha - Ao Vivo","Henrique & Juliano",2088098,https://open.spotify.com/track/6pgoGpBkKUvXrrU95j0khl
14,"Quem Me Dera","Márcia Fellipe",2042071,https://open.spotify.com/track/29dRTbLTxRaSl63DIzbjvl
15,Sapequinha,Lexa,1881839,https://open.spotify.com/track/7LPR6AdkOQR9WpEixCGNCk
16,"Meu Abrigo",Melim,1872156,https://open.spotify.com/track/5U28PY9MekLyCBYtLHGQpe
17,"Ao Vivo E A Cores","Matheus & Kauan",1828808,https://open.spotify.com/track/2Ab1wPTEqulaCGoBak1gUo
18,"Notificação Preferida - Ao Vivo","Zé Neto & Cristiano",1760695,https://open.spotify.com/track/2qkNnJvQvhLiZ63X1L3eFz
19,"Propaganda - Ao Vivo","Jorge & Mateus",1750567,https://open.spotify.com/track/74n5d5M21JnC4WJ6gdkggK
20,"thank u, next","Ariana Grande",1696625,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
21,Devagarinho,"Luísa Sonza",1655856,https://open.spotify.com/track/0aZfIiaO3b2HTNxZ3sv1cg
22,Kikadinha,"Jerry Smith",1642599,https://open.spotify.com/track/5TUYLsiIi3tuvR2fCJjZUy
23,"Ouvi Dizer",Melim,1607845,https://open.spotify.com/track/1qCLx3nX25NuhfPjM5E1qV
24,"Zé da Recaída - Ao Vivo","Gusttavo Lima",1607039,https://open.spotify.com/track/7uU04pPMnKELpv8mIJ3yLa
25,"Pouca Pausa",Clau,1578491,https://open.spotify.com/track/2odzriVVZBwYOiYJEj30tm
26,"O Alvo (feat. Henrique & Juliano) - Ao Vivo","Diego & Victor Hugo",1564332,https://open.spotify.com/track/5Vw6ZLNB6Ko7VZM6vmNIbr
27,"Vingança - Ao Vivo","Luan Santana",1455382,https://open.spotify.com/track/7KdcbYcVF8LkQeQcTYOixJ
28,Favela,Alok,1439221,https://open.spotify.com/track/2JVbZEpewmqNlSzmXJTx2E
29,"Solteiro Nunca Está Só","MC Kekel",1417067,https://open.spotify.com/track/0qFHLde09T8wwoxQOhGtJQ
30,"Status Que Eu Não Queria - Ao Vivo","Zé Neto & Cristiano",1370220,https://open.spotify.com/track/1fyhyOy6iS9E2NckAzjmTo
31,"Quem Pegou, Pegou - Ao Vivo","Henrique & Juliano",1334326,https://open.spotify.com/track/0kCqaybZgYcLYxzZymmBoc
32,"A Culpa É Dele - Ao Vivo | Acústico","Marília Mendonça",1319913,https://open.spotify.com/track/6yxYagNp6Gapd7jXmWzgVc
33,"Bebida Na Ferida - Ao Vivo","Zé Neto & Cristiano",1313260,https://open.spotify.com/track/3HEb6Y5dv8PgD6JgsIQNac
34,"Finalidade Era Ficar em Casa","MC Kevin o Chris",1296835,https://open.spotify.com/track/2Y73798F4zbbbvKT02fbtE
35,"Deixa (feat. Ana Gabriela)",Lagum,1296013,https://open.spotify.com/track/3fLqmaO4vvZpFZSZy52VMp
36,Fuleragem,"MC WM",1292777,https://open.spotify.com/track/6tuzPD1zPPvwMbGiD0TBay
37,Medicina,Anitta,1290270,https://open.spotify.com/track/4R5xvs5X0phd0EYWyGigju
38,"Sem Sal - Ao Vivo","Marília Mendonça",1285798,https://open.spotify.com/track/0E5S49GCejjIo9Bjmo5Q4z
39,"Posto 24h (feat. Wesley Safadão) - Ao Vivo","Lucas Lucco",1259785,https://open.spotify.com/track/3mNmUjoDHYDYj08IaRPtg0
40,"Romance Com Safadeza","Wesley Safadão",1246151,https://open.spotify.com/track/0RBOFW5424gCCCZrgECbt6
41,"Sou Favela",Ruanzinho,1218479,https://open.spotify.com/track/6VcaTmR9UhOuZD7aNNilOV
42,"Novinha Você É uma Flor","MCs Thin e Alexandre",1212374,https://open.spotify.com/track/4kiauw5SBqEsu5GuGD09aM
43,"Pra Inveja É Tchau","Mc Kevin",1199149,https://open.spotify.com/track/4cnNrOojGyU6J3OXqVTPIg
44,"Não perco meu tempo",Anitta,1185719,https://open.spotify.com/track/5zhnwbZWsbfJFNcrdO3LYB
45,"Siga a Seta (feat. Matheus & Kauan) - Ao Vivo","Marcos & Belutti",1163658,https://open.spotify.com/track/5vbUG4Vo536Lyy6dwdY6Kg
46,"É natural (Participação especial de Bruno Cardoso) - Ao vivo",Ferrugem,1129647,https://open.spotify.com/track/0vT797IpZpF5o1XLCnWCUL
47,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",1126952,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
48,"Hoje Eu Vou Parar Na Gaiola","Mc Livinho",1120398,https://open.spotify.com/track/0IQCOAw9ZAI6WnXIrl481F
49,"Bohemian Rhapsody - 2011 Mix",Queen,1118878,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
50,Shallow,"Lady Gaga",1107666,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
51,"Cerveja De Garrafa (Fumaça Que Eu Faço) - Ao Vivo","Atitude 67",1089658,https://open.spotify.com/track/2PADJK4rhdklqFLQFa5oMX
52,"Coladinha em Mim - Ao Vivo","Gustavo Mioto",1078207,https://open.spotify.com/track/4JPSfCXQe6kDliMIJTqISW
53,"Sua Mãe Vai Me Amar","Turma do Pagode",1077575,https://open.spotify.com/track/4fMjqKYYsvtT6Fvca8lGFl
54,Cobaia,"Lauana Prado",1034444,https://open.spotify.com/track/1xyVMQx51Kab6eLVtE6twx
55,"O Sol","Vitor Kley",1004633,https://open.spotify.com/track/4lvGHfDuzfv9uDTHMrRMiH
56,"Cada um na Sua - Ao Vivo","Fernando & Sorocaba",1001511,https://open.spotify.com/track/5ReZ4aO1vRnzhxINvPiGJD
57,"Bem Pior Que Eu - Ao Vivo","Marília Mendonça",978144,https://open.spotify.com/track/4CdMz076UN8RyeWGQCdqFZ
58,"Disk Me","Pabllo Vittar",976523,https://open.spotify.com/track/3xgDQRexKiyS4Eq3oAvLaD
59,"In My Mind",Dynoro,968227,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
