,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Liberdade Provisória - Ao Vivo","Henrique & Juliano",4936107,https://open.spotify.com/track/3Ghyp3X5Ua9ypHnBIgOObI
2,"A Gente Fez Amor - Ao Vivo","Gusttavo Lima",4108278,https://open.spotify.com/track/3tv697PZNnaQN0Mn2zGhS5
3,"Graveto - Ao Vivo","Marília Mendonça",3577378,https://open.spotify.com/track/3tc8Z4lGzOIwmIVftsxO6o
4,"Litrão - Ao Vivo","Matheus & Kauan",3568727,https://open.spotify.com/track/5W1kqz2l1lDX77DXBMeXZg
5,SENTADÃO,"Pedro Sampaio",3360059,https://open.spotify.com/track/4lKuzrdZrJuCAedbIslF3A
6,"Rave de Favela (feat. BEAM)","Major Lazer",3341558,https://open.spotify.com/track/1K7WzjKDcDdVbKNGrB0gej
7,"Cheirosa - Ao Vivo","Jorge & Mateus",3175056,https://open.spotify.com/track/2PWjKmjyTZeDpmOUa3a5da
8,"Tudo Ok","Thiaguinho MT",3135590,https://open.spotify.com/track/4HUZBG98TYbxSR9V1V2DWS
9,"Dance Monkey","Tones And I",3031837,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
10,"S de Saudade","Luíza & Maurílio",3023912,https://open.spotify.com/track/3J5Pu25BODMex4Jpy4l6FL
11,"Vem Me Satisfazer","MC Ingryd",3020778,https://open.spotify.com/track/63SHcJzckFykS8faA5zojY
12,"Bebi Minha Bicicleta (Coração Falido) - Ao Vivo","Zé Neto & Cristiano",2885771,https://open.spotify.com/track/2Q9TaUXNM4mNSCgJjbmsJe
13,"Com ou Sem Mim - Ao Vivo","Gustavo Mioto",2721412,https://open.spotify.com/track/5L8ZEyIdZ2KE4Wf51SsuOF
14,"Don't Start Now","Dua Lipa",2573920,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
15,"3 Batidas - Ao Vivo","Guilherme & Benuto",2570922,https://open.spotify.com/track/1uryupl9hqVZYurJwH4G9k
16,"Supera - Ao Vivo","Marília Mendonça",2569214,https://open.spotify.com/track/3GmJxfnUDrIs1iCfKUELFz
17,"Combatchy (feat. MC Rebecca)",Anitta,2516686,https://open.spotify.com/track/2bPtwnrpFNEe8N7Q85kLHw
18,"Volta por Baixo - Ao Vivo","Henrique & Juliano",2465469,https://open.spotify.com/track/7o9LwQmTuIDm4LyyHFIWul
19,"Te Prometo","Dennis DJ",2346428,https://open.spotify.com/track/7Ac3BmqTQoLdAt7HtZyfgN
20,"Tijolão - Ao Vivo","Jorge & Mateus",2344942,https://open.spotify.com/track/6QwFUcPc5nhsqZuhXUYtV7
21,"Surtada - Remix Brega Funk","Dadá Boladão",2332161,https://open.spotify.com/track/5F8ffc8KWKNawllr5WsW0r
22,"Aí Eu Bebo - Ao Vivo","Maiara & Maraisa",2224169,https://open.spotify.com/track/6lK3nCiigk34SGqEjpQoqO
23,"menina solta","Giulia Be",2189894,https://open.spotify.com/track/2MOq63fxuFLYQM3CsDcFs1
24,BALANÇA,"WC no Beat",2189538,https://open.spotify.com/track/4p8pEdPYOQLzJUKYrLOacy
25,"Carreira Solo - Ao Vivo","Gusttavo Lima",2064350,https://open.spotify.com/track/1MmS7UIy3J1BTxfGCRvVqN
