,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"A Gente Fez Amor - Ao Vivo","Gusttavo Lima",4325210,https://open.spotify.com/track/3tv697PZNnaQN0Mn2zGhS5
2,"Liberdade Provisória - Ao Vivo","Henrique & Juliano",3391548,https://open.spotify.com/track/3Ghyp3X5Ua9ypHnBIgOObI
3,"Don't Start Now","Dua Lipa",3217604,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
4,BRABA,"Luísa Sonza",2920387,https://open.spotify.com/track/2WlZuBDgLfT7Kc0admhFdg
5,"Graveto - Ao Vivo","Marília Mendonça",2757811,https://open.spotify.com/track/3tc8Z4lGzOIwmIVftsxO6o
6,"Tudo no Sigilo (Vytinho NG e Bianca)","Vytinho NG",2741553,https://open.spotify.com/track/60wF0XnX7A0jVpDNA5v8vi
7,"Litrão - Ao Vivo","Matheus & Kauan",2731414,https://open.spotify.com/track/5W1kqz2l1lDX77DXBMeXZg
8,"Rave de Favela (feat. BEAM)","Major Lazer",2488292,https://open.spotify.com/track/1K7WzjKDcDdVbKNGrB0gej
9,"S de Saudade","Luíza & Maurílio",2477923,https://open.spotify.com/track/3J5Pu25BODMex4Jpy4l6FL
10,Ranking,"Jorge & Mateus",2388394,https://open.spotify.com/track/0RaIjuKU5hudMteEXwr4RS
11,"Roses - Imanbek Remix","SAINt JHN",2305989,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
12,"Te Prometo","Dennis DJ",2147554,https://open.spotify.com/track/7Ac3BmqTQoLdAt7HtZyfgN
13,"Bebi Minha Bicicleta (Coração Falido) - Ao Vivo","Zé Neto & Cristiano",2146585,https://open.spotify.com/track/2Q9TaUXNM4mNSCgJjbmsJe
14,"água com açúcar - ao vivo","Luan Santana",2143761,https://open.spotify.com/track/6nI98wtHOJAYSASq22TCYu
15,"Volta por Baixo - Ao Vivo","Henrique & Juliano",2116158,https://open.spotify.com/track/7o9LwQmTuIDm4LyyHFIWul
16,"Com ou Sem Mim - Ao Vivo","Gustavo Mioto",2044105,https://open.spotify.com/track/5L8ZEyIdZ2KE4Wf51SsuOF
17,"Cheirosa - Ao Vivo","Jorge & Mateus",1983918,https://open.spotify.com/track/2PWjKmjyTZeDpmOUa3a5da
18,"Mentira - Ao Vivo","Felipe Araújo",1880597,https://open.spotify.com/track/146Vb458Y5RbqEa0fYFPzm
19,"death bed (coffee for your head)",Powfu,1863112,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
20,"Dance Monkey","Tones And I",1848734,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
21,"3 Batidas - Ao Vivo","Guilherme & Benuto",1826908,https://open.spotify.com/track/1uryupl9hqVZYurJwH4G9k
22,"Supera - Ao Vivo","Marília Mendonça",1779099,https://open.spotify.com/track/3GmJxfnUDrIs1iCfKUELFz
23,SENTADÃO,"Pedro Sampaio",1770648,https://open.spotify.com/track/4lKuzrdZrJuCAedbIslF3A
24,"Barzinho Aleatório - Ao Vivo","Zé Neto & Cristiano",1720435,https://open.spotify.com/track/3WjSkl7VDWY1prwJw7dSG0
25,"Despedida - Ao Vivo","Wesley Safadão",1678970,https://open.spotify.com/track/5LpLYzpV0HWKI2DlPmNywg
26,"Vem Me Satisfazer","MC Ingryd",1670035,https://open.spotify.com/track/63SHcJzckFykS8faA5zojY
27,"Áudio - Ao Vivo em Brasília","Diego & Victor Hugo",1654948,https://open.spotify.com/track/2PqPSf3gtTED79rWGwVtYg
28,"Vira Homem","Marília Mendonça",1648914,https://open.spotify.com/track/0GrEqRHf5FioT1hOB8PBxZ
29,"Blinding Lights","The Weeknd",1642677,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
30,"Break My Heart","Dua Lipa",1623880,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
31,"Toosie Slide",Drake,1559621,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
32,"Tudo Aconteceu","MC Du Black",1555548,https://open.spotify.com/track/67mqU3FeErlvWwsxnMfvQo
33,"Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix","Maverick Sabre",1528763,https://open.spotify.com/track/5PNvgiKSwMdjBsDsgFCFLX
34,BALANÇA,"WC no Beat",1513977,https://open.spotify.com/track/4p8pEdPYOQLzJUKYrLOacy
35,"menina solta","Giulia Be",1498731,https://open.spotify.com/track/2MOq63fxuFLYQM3CsDcFs1
36,"Aí Eu Bebo - Ao Vivo","Maiara & Maraisa",1496321,https://open.spotify.com/track/2Ou6UYuUbNyqwXxRDSeFRf
37,"Briga Feia - Ao Vivo","Henrique & Juliano",1467813,https://open.spotify.com/track/4j2bK4fnc2s6GyVmhJsJhk
38,"THE SCOTTS","THE SCOTTS",1443505,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
39,"Combatchy (feat. MC Rebecca)",Anitta,1402350,https://open.spotify.com/track/2bPtwnrpFNEe8N7Q85kLHw
40,"Viva Voz - Ao Vivo","Lauana Prado",1386577,https://open.spotify.com/track/08Sd5vVcIH3uKeAiaJdoYj
41,"Tijolão - Ao Vivo","Jorge & Mateus",1330939,https://open.spotify.com/track/6QwFUcPc5nhsqZuhXUYtV7
42,"Serenata - Ao Vivo","Marília Mendonça",1315012,https://open.spotify.com/track/5fY9bVl1Wj4PIM3wnduWop
43,"Ainda Tô Aí - Ao Vivo","Eduardo Costa",1307307,https://open.spotify.com/track/0uaR51nHWtVrVPOFPeGyDq
44,"Lençol Dobrado","João Gustavo e Murilo",1296018,https://open.spotify.com/track/72xB2J9ZeBl0Rzxq2XmzdY
45,"Tudo Ok","Thiaguinho MT",1278093,https://open.spotify.com/track/4HUZBG98TYbxSR9V1V2DWS
46,"Quem Traiu Levou - Ao Vivo","Gusttavo Lima",1277469,https://open.spotify.com/track/17Ryox5vWKp92IDW87C5PI
47,"The Box","Roddy Ricch",1255078,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
48,"Carreira Solo - Ao Vivo","Gusttavo Lima",1247526,https://open.spotify.com/track/1MmS7UIy3J1BTxfGCRvVqN
49,"Quarta Cadeira - Ao Vivo","Matheus & Kauan",1209504,https://open.spotify.com/track/5q0NlM6Pm8Pp3orq7zGiRn
50,"Relógio Parado (Ao Vivo)","Diego & Arnaldo",1140373,https://open.spotify.com/track/5n8Y78Pl5q8lqS7sJP61qw
51,"Amor de Fim de Noite",Orochi,1139565,https://open.spotify.com/track/1Nmcs8zk7LfcvHRgLtTM5J
52,"Saudade em Gotas (feat. Wesley Safadão) - Ao Vivo","Yasmin Santos",1074676,https://open.spotify.com/track/3ZROq16fQ1o2dWEGkHPHkJ
53,"Pipa Voada (feat. Emicida)",Rashid,1071583,https://open.spotify.com/track/3oqC4Ta40ft6NnTJwcUTdi
54,goosebumps,"Travis Scott",1065847,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
55,"Textão - Ao Vivo","Zé Neto & Cristiano",1055117,https://open.spotify.com/track/2uhBCMHwS3SATOHIgM2KPF
56,"Ferida Curada","Zé Neto & Cristiano",1026213,https://open.spotify.com/track/1U3tv41tFRgOfbytpuYQrR
57,"Então Toma - Ao Vivo","Matheus & Kauan",1001738,https://open.spotify.com/track/600Byp0tUwr2aDLm361rG1
58,"Declaração pro Bar - Ao Vivo","Guilherme & Benuto",994335,https://open.spotify.com/track/48CAeajgzcGJaVUSsXd7h0
59,"Eterna Sacanagem","MC JottaPê",984811,https://open.spotify.com/track/1AfNdxHdE4OLcnQUyC6j3i
60,"Surtada - Remix Brega Funk","Dadá Boladão",974907,https://open.spotify.com/track/5F8ffc8KWKNawllr5WsW0r
61,"Tiro Certo - Ao Vivo","Zé Felipe",971420,https://open.spotify.com/track/5MArTXEVyKBwoodjdy04fk
62,"Segunda Taça - Ao Vivo","João Bosco & Vinicius",970491,https://open.spotify.com/track/23zmMwD99ROi9yhxqMxWil
63,"Amor de Que","Pabllo Vittar",960847,https://open.spotify.com/track/7vpGKEUPrA4UEsS4o4W1tP
64,"SICKO MODE","Travis Scott",955829,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
65,"Erro Antigo - Ao Vivo","Diego & Victor Hugo",950904,https://open.spotify.com/track/7qpXCkcr3Zj4LDvdiWryns
66,"On & On",Alok,940767,https://open.spotify.com/track/7sYAS4CpbV90oSemgaEQat
67,"Say So","Doja Cat",914492,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
68,"Dois Lados","Wesley Safadão",907041,https://open.spotify.com/track/3vSXPjfcebTt5mB8DXHWM6
69,"Vou Ter Que Superar - Ao Vivo","Matheus & Kauan",897356,https://open.spotify.com/track/6sRLrSetyIwIKhW1eMlUNP
70,"Para, Pensa e Volta (feat. Marília Mendonça) - Ao Vivo","Yasmin Santos",881723,https://open.spotify.com/track/2rRA0VNb8RcaUMAmgWFoCL
71,Falling,"Trevor Daniel",878095,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
72,Physical,"Dua Lipa",860387,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
73,"Certo e Duvidoso (feat. Gaab) - Ao Vivo","Marcos & Belutti",859009,https://open.spotify.com/track/7ArNH109yIfwIquJ535fsi
74,Girassol,"Priscilla Alcantara",855220,https://open.spotify.com/track/22rcaYTa2UgcLCbeO0NoNj
75,"choque térmico - ao vivo","Luan Santana",853419,https://open.spotify.com/track/159ntSAEWJ9zIMOSXmQ530
76,"Tchau Brigado - Ao Vivo","Humberto & Ronaldo",852484,https://open.spotify.com/track/2TR917wkDeRvwTE5cSfZFf
77,"Mil Anos - Recorded At Mosh Studios, São Paulo","Jorge & Mateus",849994,https://open.spotify.com/track/4UUtssVRs2aQTLQCAAtZg1
78,Tentativas,"Marília Mendonça",831716,https://open.spotify.com/track/5STHFaWYO1KeyITjvB4hR8
79,"Lose Control",MEDUZA,827138,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
80,"Hear Me Tonight",Alok,824861,https://open.spotify.com/track/0v8OKUrqZGoEbgEUXScRSQ
81,Complicado,Vitão,810673,https://open.spotify.com/track/6toDZSoqG5QUitFsoxavRy
82,"HIGHEST IN THE ROOM","Travis Scott",797669,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
83,"Someone You Loved","Lewis Capaldi",794717,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
84,Amoreco,"Simone & Simaria",794035,https://open.spotify.com/track/15Dl8e6gdR0I1IQn0M4SGi
85,Señorita,"Shawn Mendes",792358,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
86,Pupila,ANAVITÓRIA,788030,https://open.spotify.com/track/7Gk5OrMYaMRtT2JmgJVAfk
87,"áudio de desculpas","Manu Gavassi",779210,https://open.spotify.com/track/1JP3iGUerYKKYQwXGQGYks
88,"Todo Mundo Vai Sofrer - Ao Vivo","Marília Mendonça",776872,https://open.spotify.com/track/4E6RdcCWMiHTu7zy1VTNDo
89,"Kenny G",Matuê,770093,https://open.spotify.com/track/3MkdA6vwF0ifRl86yzTlJW
90,Paredão,"MC Kevinho",766606,https://open.spotify.com/track/5FFpRbsH9WDYNoLauRAHpj
91,"Chama Ela (feat. Pedro Sampaio)",Lexa,756076,https://open.spotify.com/track/14kRWkCWBYfQqILflEcpSJ
92,"Algo Mais (Amante) - Ao Vivo","Xand Avião",739237,https://open.spotify.com/track/4jGzR5Vri06Y5T9SxM7m5P
93,"Some que ele vem atrás",Anitta,735658,https://open.spotify.com/track/2qD7VoDYcrAPY0cVEfpsR5
94,"Gaiola É o Troco","MC Du Black",734680,https://open.spotify.com/track/3Uq45ipGutypFPmETfaoaH
95,"Piece Of Your Heart - Alok Remix",MEDUZA,731173,https://open.spotify.com/track/6iW38RGqdDGOofmz2HeXLW
96,Tusa,"KAROL G",729287,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
97,"Tão Linda","Atitude 67",724471,https://open.spotify.com/track/59WWulo1LM0njpIkcduCMn
98,"Dois Enganados","Murilo Huff",709838,https://open.spotify.com/track/7McCAKExE8KsI2q4Y8wx4U
99,"Meu Abrigo",Melim,707826,https://open.spotify.com/track/5U28PY9MekLyCBYtLHGQpe
