,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Oh Juliana",Niack,4644543,https://open.spotify.com/track/4xWzZmX4K1yyrdtRfbUvjt
2,"Desce Pro Play (PA PA PA)","Mc Zaac",4346550,https://open.spotify.com/track/4zGtfOglDBfVUypabBwIjQ
3,"Na Raba Toma Tapão",Niack,3539438,https://open.spotify.com/track/0AGS6ZRgzobrazmCi6pYMe
4,"Investe Em Mim","Jonas Esticado",3271440,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
5,"Poesia Acústica #9: Melhor Forma","Pineapple StormTv",3249281,https://open.spotify.com/track/2fmeSswdyVq4wcqhY41UHk
6,"Volta por Baixo - Ao Vivo","Henrique & Juliano",2845559,https://open.spotify.com/track/7o9LwQmTuIDm4LyyHFIWul
7,Ranking,"Jorge & Mateus",2837559,https://open.spotify.com/track/0RaIjuKU5hudMteEXwr4RS
8,"Graveto - Ao Vivo","Marília Mendonça",2768738,https://open.spotify.com/track/3tc8Z4lGzOIwmIVftsxO6o
9,"Vai Ter Que Aguentar","Mc Don Juan",2756406,https://open.spotify.com/track/5GAdMAL3tRJkVN1HtwohK2
10,"Tudo Aconteceu","MC Du Black",2659706,https://open.spotify.com/track/67mqU3FeErlvWwsxnMfvQo
11,"Barzinho Aleatório - Ao Vivo","Zé Neto & Cristiano",2643804,https://open.spotify.com/track/3WjSkl7VDWY1prwJw7dSG0
12,"Liberdade Provisória - Ao Vivo","Henrique & Juliano",2547639,https://open.spotify.com/track/3Ghyp3X5Ua9ypHnBIgOObI
13,"Quero Você do Jeito Que Quiser","Marília Mendonça",2486516,https://open.spotify.com/track/51uXmhqGR76tT2UeKZyeN6
14,Flores,Vitão,2467045,https://open.spotify.com/track/25gD4PQjxCLnwIY2n23aEl
15,"Tudo no Sigilo (Vytinho NG e Bianca)","Vytinho NG",2424136,https://open.spotify.com/track/60wF0XnX7A0jVpDNA5v8vi
16,"Comprei um Lança","Mc Jacare",2416260,https://open.spotify.com/track/12v6LfkX9YIR3uLefIAAYZ
17,"Litrão - Ao Vivo","Matheus & Kauan",2390199,https://open.spotify.com/track/4DngRKOpRPrkbzImUB0zgh
18,"Te Prometo","Dennis DJ",2359600,https://open.spotify.com/track/7Ac3BmqTQoLdAt7HtZyfgN
19,"Deus é por nós","MC Marks",2245039,https://open.spotify.com/track/6jcGoHrqfRW6fI2I6xtwBQ
20,"A Gente Fez Amor - Ao Vivo","Gusttavo Lima",2241338,https://open.spotify.com/track/3tv697PZNnaQN0Mn2zGhS5
