,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"A Gente Fez Amor - Ao Vivo","Gusttavo Lima",4444193,https://open.spotify.com/track/3tv697PZNnaQN0Mn2zGhS5
2,BRABA,"Luísa Sonza",3790211,https://open.spotify.com/track/2WlZuBDgLfT7Kc0admhFdg
3,"Liberdade Provisória - Ao Vivo","Henrique & Juliano",3443117,https://open.spotify.com/track/3Ghyp3X5Ua9ypHnBIgOObI
4,"Don't Start Now","Dua Lipa",3315153,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
5,"Rave de Favela (feat. BEAM)","Major Lazer",3155537,https://open.spotify.com/track/1K7WzjKDcDdVbKNGrB0gej
6,"Graveto - Ao Vivo","Marília Mendonça",2922747,https://open.spotify.com/track/3tc8Z4lGzOIwmIVftsxO6o
7,"Litrão - Ao Vivo","Matheus & Kauan",2790501,https://open.spotify.com/track/5W1kqz2l1lDX77DXBMeXZg
8,"S de Saudade","Luíza & Maurílio",2539616,https://open.spotify.com/track/3J5Pu25BODMex4Jpy4l6FL
9,"Te Prometo","Dennis DJ",2434959,https://open.spotify.com/track/7Ac3BmqTQoLdAt7HtZyfgN
10,"Tudo no Sigilo (Vytinho NG e Bianca)","Vytinho NG",2285968,https://open.spotify.com/track/60wF0XnX7A0jVpDNA5v8vi
11,"Bebi Minha Bicicleta (Coração Falido) - Ao Vivo","Zé Neto & Cristiano",2253937,https://open.spotify.com/track/2Q9TaUXNM4mNSCgJjbmsJe
12,Ranking,"Jorge & Mateus",2168940,https://open.spotify.com/track/0RaIjuKU5hudMteEXwr4RS
13,"Supera - Ao Vivo","Marília Mendonça",2150447,https://open.spotify.com/track/3GmJxfnUDrIs1iCfKUELFz
14,SENTADÃO,"Pedro Sampaio",2148407,https://open.spotify.com/track/4lKuzrdZrJuCAedbIslF3A
15,"Dance Monkey","Tones And I",2103042,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
16,"Cheirosa - Ao Vivo","Jorge & Mateus",2089425,https://open.spotify.com/track/2PWjKmjyTZeDpmOUa3a5da
17,"Com ou Sem Mim - Ao Vivo","Gustavo Mioto",2074163,https://open.spotify.com/track/5L8ZEyIdZ2KE4Wf51SsuOF
18,BALANÇA,"WC no Beat",1966739,https://open.spotify.com/track/4p8pEdPYOQLzJUKYrLOacy
19,"Volta por Baixo - Ao Vivo","Henrique & Juliano",1941744,https://open.spotify.com/track/7o9LwQmTuIDm4LyyHFIWul
20,"água com açúcar - ao vivo","Luan Santana",1940100,https://open.spotify.com/track/6nI98wtHOJAYSASq22TCYu
21,"Roses - Imanbek Remix","SAINt JHN",1938795,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
22,"3 Batidas - Ao Vivo","Guilherme & Benuto",1903207,https://open.spotify.com/track/1uryupl9hqVZYurJwH4G9k
23,"Vem Me Satisfazer","MC Ingryd",1900696,https://open.spotify.com/track/63SHcJzckFykS8faA5zojY
24,"Barzinho Aleatório - Ao Vivo","Zé Neto & Cristiano",1693426,https://open.spotify.com/track/3WjSkl7VDWY1prwJw7dSG0
25,"Tijolão - Ao Vivo","Jorge & Mateus",1679826,https://open.spotify.com/track/6QwFUcPc5nhsqZuhXUYtV7
26,"Combatchy (feat. MC Rebecca)",Anitta,1629557,https://open.spotify.com/track/2bPtwnrpFNEe8N7Q85kLHw
27,"Blinding Lights","The Weeknd",1627674,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
28,"Break My Heart","Dua Lipa",1625549,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
29,"death bed (coffee for your head)",Powfu,1590500,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
30,"Mentira - Ao Vivo","Felipe Araújo",1587183,https://open.spotify.com/track/146Vb458Y5RbqEa0fYFPzm
31,"menina solta","Giulia Be",1558838,https://open.spotify.com/track/2MOq63fxuFLYQM3CsDcFs1
32,"Tudo Ok","Thiaguinho MT",1543930,https://open.spotify.com/track/4HUZBG98TYbxSR9V1V2DWS
33,"Serenata - Ao Vivo","Marília Mendonça",1510261,https://open.spotify.com/track/5fY9bVl1Wj4PIM3wnduWop
34,"Aí Eu Bebo - Ao Vivo","Maiara & Maraisa",1473196,https://open.spotify.com/track/6lK3nCiigk34SGqEjpQoqO
35,"The Box","Roddy Ricch",1465854,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
36,"Briga Feia - Ao Vivo","Henrique & Juliano",1450105,https://open.spotify.com/track/4j2bK4fnc2s6GyVmhJsJhk
37,"Carreira Solo - Ao Vivo","Gusttavo Lima",1422901,https://open.spotify.com/track/1MmS7UIy3J1BTxfGCRvVqN
38,"Áudio - Ao Vivo em Brasília","Diego & Victor Hugo",1339544,https://open.spotify.com/track/2PqPSf3gtTED79rWGwVtYg
39,"Lençol Dobrado","João Gustavo e Murilo",1335136,https://open.spotify.com/track/72xB2J9ZeBl0Rzxq2XmzdY
40,"Quarta Cadeira - Ao Vivo","Matheus & Kauan",1330452,https://open.spotify.com/track/5q0NlM6Pm8Pp3orq7zGiRn
41,"Toosie Slide",Drake,1329529,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y
42,"Surtada - Remix Brega Funk","Dadá Boladão",1325269,https://open.spotify.com/track/5F8ffc8KWKNawllr5WsW0r
43,"Amor de Que","Pabllo Vittar",1285540,https://open.spotify.com/track/7vpGKEUPrA4UEsS4o4W1tP
44,"Neném - Ao Vivo","Gabi Martins",1268875,https://open.spotify.com/track/2Yz14TQlxNXHmnkml4TyDL
45,"Eterna Sacanagem","MC JottaPê",1204547,https://open.spotify.com/track/1AfNdxHdE4OLcnQUyC6j3i
46,"Quem Traiu Levou - Ao Vivo","Gusttavo Lima",1195184,https://open.spotify.com/track/17Ryox5vWKp92IDW87C5PI
47,"Relógio Parado (Ao Vivo)","Diego & Arnaldo",1186981,https://open.spotify.com/track/5n8Y78Pl5q8lqS7sJP61qw
48,Physical,"Dua Lipa",1163475,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
49,"Ferida Curada","Zé Neto & Cristiano",1162778,https://open.spotify.com/track/1U3tv41tFRgOfbytpuYQrR
50,"Textão - Ao Vivo","Zé Neto & Cristiano",1113037,https://open.spotify.com/track/2uhBCMHwS3SATOHIgM2KPF
51,"Chama Ela (feat. Pedro Sampaio)",Lexa,1064081,https://open.spotify.com/track/14kRWkCWBYfQqILflEcpSJ
52,"Tiro Certo - Ao Vivo","Zé Felipe",1052907,https://open.spotify.com/track/5MArTXEVyKBwoodjdy04fk
53,"Vou Ter Que Superar - Ao Vivo","Matheus & Kauan",1037617,https://open.spotify.com/track/6sRLrSetyIwIKhW1eMlUNP
54,"Despedida - Ao Vivo","Wesley Safadão",1002088,https://open.spotify.com/track/5LpLYzpV0HWKI2DlPmNywg
55,Falling,"Trevor Daniel",990717,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
56,Amoreco,"Simone & Simaria",985464,https://open.spotify.com/track/15Dl8e6gdR0I1IQn0M4SGi
57,"Amor de Fim de Noite",Orochi,979710,https://open.spotify.com/track/1Nmcs8zk7LfcvHRgLtTM5J
58,Tentativas,"Marília Mendonça",976998,https://open.spotify.com/track/5STHFaWYO1KeyITjvB4hR8
59,"Say So","Doja Cat",958800,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
60,"Todo Mundo Vai Sofrer - Ao Vivo","Marília Mendonça",952714,https://open.spotify.com/track/4E6RdcCWMiHTu7zy1VTNDo
61,"Gaiola É o Troco","MC Du Black",949410,https://open.spotify.com/track/3Uq45ipGutypFPmETfaoaH
