,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Liberdade Provisória - Ao Vivo","Henrique & Juliano",4597015,https://open.spotify.com/track/3Ghyp3X5Ua9ypHnBIgOObI
2,"A Gente Fez Amor - Ao Vivo","Gusttavo Lima",4062706,https://open.spotify.com/track/3tv697PZNnaQN0Mn2zGhS5
3,"Litrão - Ao Vivo","Matheus & Kauan",3376413,https://open.spotify.com/track/5W1kqz2l1lDX77DXBMeXZg
4,"Graveto - Ao Vivo","Marília Mendonça",3339788,https://open.spotify.com/track/3tc8Z4lGzOIwmIVftsxO6o
5,"Rave de Favela (feat. BEAM)","Major Lazer",3311710,https://open.spotify.com/track/1K7WzjKDcDdVbKNGrB0gej
6,SENTADÃO,"Pedro Sampaio",3076552,https://open.spotify.com/track/4lKuzrdZrJuCAedbIslF3A
7,"S de Saudade","Luíza & Maurílio",2916693,https://open.spotify.com/track/3J5Pu25BODMex4Jpy4l6FL
8,"Dance Monkey","Tones And I",2763333,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
9,"Bebi Minha Bicicleta (Coração Falido) - Ao Vivo","Zé Neto & Cristiano",2742820,https://open.spotify.com/track/2Q9TaUXNM4mNSCgJjbmsJe
10,"Vem Me Satisfazer","MC Ingryd",2735756,https://open.spotify.com/track/63SHcJzckFykS8faA5zojY
11,"Tudo Ok","Thiaguinho MT",2733456,https://open.spotify.com/track/4HUZBG98TYbxSR9V1V2DWS
12,"Cheirosa - Ao Vivo","Jorge & Mateus",2716509,https://open.spotify.com/track/2PWjKmjyTZeDpmOUa3a5da
13,Amoreco,"Simone & Simaria",2652565,https://open.spotify.com/track/15Dl8e6gdR0I1IQn0M4SGi
14,"Don't Start Now","Dua Lipa",2612564,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
15,"Com ou Sem Mim - Ao Vivo","Gustavo Mioto",2538947,https://open.spotify.com/track/5L8ZEyIdZ2KE4Wf51SsuOF
16,"3 Batidas - Ao Vivo","Guilherme & Benuto",2402205,https://open.spotify.com/track/1uryupl9hqVZYurJwH4G9k
17,"Volta por Baixo - Ao Vivo","Henrique & Juliano",2333852,https://open.spotify.com/track/7o9LwQmTuIDm4LyyHFIWul
18,"Supera - Ao Vivo","Marília Mendonça",2333189,https://open.spotify.com/track/3GmJxfnUDrIs1iCfKUELFz
19,"Te Prometo","Dennis DJ",2289463,https://open.spotify.com/track/7Ac3BmqTQoLdAt7HtZyfgN
20,"Combatchy (feat. MC Rebecca)",Anitta,2248214,https://open.spotify.com/track/2bPtwnrpFNEe8N7Q85kLHw
21,"Mentira - Ao Vivo","Felipe Araújo",2155613,https://open.spotify.com/track/146Vb458Y5RbqEa0fYFPzm
22,BALANÇA,"WC no Beat",2098898,https://open.spotify.com/track/4p8pEdPYOQLzJUKYrLOacy
23,"Surtada - Remix Brega Funk","Dadá Boladão",2093361,https://open.spotify.com/track/5F8ffc8KWKNawllr5WsW0r
24,"menina solta","Giulia Be",2078376,https://open.spotify.com/track/2MOq63fxuFLYQM3CsDcFs1
25,"Carreira Solo - Ao Vivo","Gusttavo Lima",2049186,https://open.spotify.com/track/1MmS7UIy3J1BTxfGCRvVqN
26,"Aí Eu Bebo - Ao Vivo","Maiara & Maraisa",2038887,https://open.spotify.com/track/6lK3nCiigk34SGqEjpQoqO
27,"Tijolão - Ao Vivo","Jorge & Mateus",2013518,https://open.spotify.com/track/6QwFUcPc5nhsqZuhXUYtV7
28,"Briga Feia - Ao Vivo","Henrique & Juliano",1937667,https://open.spotify.com/track/4j2bK4fnc2s6GyVmhJsJhk
29,Ranking,"Jorge & Mateus",1888430,https://open.spotify.com/track/0RaIjuKU5hudMteEXwr4RS
30,"Chama Ela (feat. Pedro Sampaio)",Lexa,1853570,https://open.spotify.com/track/14kRWkCWBYfQqILflEcpSJ
31,"Quem Traiu Levou - Ao Vivo","Gusttavo Lima",1827408,https://open.spotify.com/track/17Ryox5vWKp92IDW87C5PI
32,"Eterna Sacanagem","MC JottaPê",1714738,https://open.spotify.com/track/1AfNdxHdE4OLcnQUyC6j3i
33,"Lençol Dobrado","João Gustavo e Murilo",1693636,https://open.spotify.com/track/72xB2J9ZeBl0Rzxq2XmzdY
34,"Amor de Que","Pabllo Vittar",1682414,https://open.spotify.com/track/7yYsyXQa2JgbyL9fkEiUNt
35,"Gaiola É o Troco","MC Du Black",1569227,https://open.spotify.com/track/3Uq45ipGutypFPmETfaoaH
36,"The Box","Roddy Ricch",1560373,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
37,Verdinha,Ludmilla,1559788,https://open.spotify.com/track/2RMOwSvOGQyy985Vx4VSGQ
38,"Relógio Parado (Ao Vivo)","Diego & Arnaldo",1550694,https://open.spotify.com/track/5n8Y78Pl5q8lqS7sJP61qw
39,"Serenata - Ao Vivo","Marília Mendonça",1543078,https://open.spotify.com/track/5fY9bVl1Wj4PIM3wnduWop
40,"Quarta Cadeira - Ao Vivo","Matheus & Kauan",1540807,https://open.spotify.com/track/5q0NlM6Pm8Pp3orq7zGiRn
41,"Áudio - Ao Vivo em Brasília","Diego & Victor Hugo",1538176,https://open.spotify.com/track/2PqPSf3gtTED79rWGwVtYg
42,Paredão,"MC Kevinho",1531730,https://open.spotify.com/track/5FFpRbsH9WDYNoLauRAHpj
43,"Hit Contagiante","Felipe Original",1525794,https://open.spotify.com/track/5dKesZwp6deuhEeW8F1UEi
44,"Dois Lados","Wesley Safadão",1524145,https://open.spotify.com/track/3vSXPjfcebTt5mB8DXHWM6
45,"Tiro Certo - Ao Vivo","Zé Felipe",1506155,https://open.spotify.com/track/5MArTXEVyKBwoodjdy04fk
46,"Barzinho Aleatório - Ao Vivo","Zé Neto & Cristiano",1494064,https://open.spotify.com/track/3WjSkl7VDWY1prwJw7dSG0
47,"Mil Anos - Recorded At Mosh Studios, São Paulo","Jorge & Mateus",1387284,https://open.spotify.com/track/4UUtssVRs2aQTLQCAAtZg1
48,"Ferida Curada","Zé Neto & Cristiano",1379991,https://open.spotify.com/track/1U3tv41tFRgOfbytpuYQrR
