,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
20,"Dance Monkey","Tones And I",2892434,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
21,"Ferida Curada","Zé Neto & Cristiano",2851019,https://open.spotify.com/track/1U3tv41tFRgOfbytpuYQrR
22,"Tiro Certo - Ao Vivo","Zé Felipe",2777070,https://open.spotify.com/track/5MArTXEVyKBwoodjdy04fk
23,"Invocada (Participação especial de Léo Santana) - Ao vivo",Ludmilla,2700778,https://open.spotify.com/track/4k20Ie47EcWtS4wMBn8w8S
24,"To Voando Alto","Mc Poze do Rodo",2663331,https://open.spotify.com/track/7HLU2aJTAQfSIgJ2dMASsP
25,"Com ou Sem Mim - Ao Vivo","Gustavo Mioto",2636557,https://open.spotify.com/track/2BU6XXSG8SqiptRuj6EiLA
26,"Sentou e Gostou","MC JottaPê",2626499,https://open.spotify.com/track/6V43u5SCjkfMpxMAXRPifr
27,"Quarta Cadeira - Ao Vivo","Matheus & Kauan",2624852,https://open.spotify.com/track/5q0NlM6Pm8Pp3orq7zGiRn
28,"Bebi Liguei - Ao Vivo","Marília Mendonça",2583292,https://open.spotify.com/track/3RbXsVQr4jeTxvT35Hssq3
29,"Serenata - Ao Vivo","Marília Mendonça",2572022,https://open.spotify.com/track/5fY9bVl1Wj4PIM3wnduWop
30,"quando a bad bater - ao vivo","Luan Santana",2551219,https://open.spotify.com/track/5gvrBqNFFEWcxYPt3mamvJ
31,"Todo Mundo Vai Sofrer - Ao Vivo","Marília Mendonça",2550734,https://open.spotify.com/track/4E6RdcCWMiHTu7zy1VTNDo
32,"menina solta","Giulia Be",2500346,https://open.spotify.com/track/2MOq63fxuFLYQM3CsDcFs1
33,"Quando a vontade bater (Participação especial de PK Delas)",Pk,2463474,https://open.spotify.com/track/26WpOBpHiIMoBuMEIwtOCH
34,"Ela Vem","MC G15",2308511,https://open.spotify.com/track/31yFXM26dazFnWI2eoOM5R
35,"Carreira Solo - Ao Vivo","Gusttavo Lima",2295788,https://open.spotify.com/track/1MmS7UIy3J1BTxfGCRvVqN
36,"Áudio - Ao Vivo em Brasília","Diego & Victor Hugo",2292548,https://open.spotify.com/track/2PqPSf3gtTED79rWGwVtYg
37,"Se Prepara 2","Mc Livinho",2280670,https://open.spotify.com/track/0CgMeXQiNYJxPVQ2EMJxdL
38,"Mil Anos - Recorded At Mosh Studios, São Paulo","Jorge & Mateus",2240698,https://open.spotify.com/track/4UUtssVRs2aQTLQCAAtZg1
39,"choque térmico - ao vivo","Luan Santana",2220969,https://open.spotify.com/track/159ntSAEWJ9zIMOSXmQ530
40,"Para, Pensa e Volta - Ao Vivo","Yasmin Santos",2143252,https://open.spotify.com/track/2KyXyTrp3kp1Fsg7B1osYD
41,"Vou Ter Que Superar - Ao Vivo","Matheus & Kauan",2136948,https://open.spotify.com/track/6sRLrSetyIwIKhW1eMlUNP
