,index,Position,Track Name,Artist,Streams,ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms
173,174,174,Flames,David Guetta,242543,66BjcDhhwWCcQIBxHMpKXh,0.631,0.649,5,-5.892,0,0.0385,0.0817,3.8e-06,0.0934,0.421,93.95,4,194680
174,175,175,Simba,Ernia,241994,69d3X2Nv5AWHUeTktfOqpV,0.752,0.5,1,-7.143,1,0.142,0.038,0.00231,0.11,0.43,97.963,4,199000
175,176,176,Giù da me,Capo Plaza,241773,06VV1e6OgFMG2XSxsnRxxM,0.811,0.728,10,-4.584,0,0.303,0.316,0,0.0947,0.205,132.952,4,180653
176,177,177,scuol4,tha Supreme,241638,6ukVfkwkTlQvfvD477n0qr,0.756,0.622,9,-6.619,0,0.107,0.113,0,0.0196,0.831,102.0,3,170294
177,178,178,Taste (feat. Offset),Tyga,241574,5IaHrVsrferBYDm0bDyABy,0.884,0.559,0,-7.442,1,0.12,0.0236,0,0.101,0.342,97.994,4,232959
178,179,179,El Party,Jake La Furia,240652,19LRRuiMQ8a9jhqSf8jVip,0.672,0.804,6,-5.746,0,0.0344,0.00387,0,0.0577,0.57,123.986,4,211418
179,180,180,Crazy,Lost Frequencies,240178,2hqy4QmpvMeVz6zeolDeLQ,0.7,0.763,2,-5.07,1,0.163,0.432,9.55e-05,0.104,0.449,115.1,4,153391
180,181,181,Sin Pijama,Becky G,237385,2ijef6ni2amuunRoKTlgww,0.791,0.745,11,-3.695,0,0.0464,0.354,2.93e-05,0.104,0.82,94.014,4,188560
181,182,182,REMEDY,Alesso,237114,6jreFSOTUAViWjKyzOC4Kg,0.601,0.775,0,-4.612,1,0.0473,0.269,0,0.0883,0.483,119.964,4,190295
182,183,183,Lucky You (feat. Joyner Lucas),Eminem,236956,60SdxE8apGAxMiRrpbmLY0,0.876,0.786,10,-4.884,0,0.306,0.0627,0,0.127,0.575,153.068,4,244679
183,184,184,We Can Do Better,Matt Simons,236701,1hLjLWrzO18acdCFcccFWk,0.629,0.686,8,-4.851,1,0.0626,0.0365,2.37e-05,0.0709,0.731,91.05,4,179896
184,185,185,Niente da dire,Måneskin,235879,4HfPwYsjGAOWtwVvYPBAad,0.754,0.817,2,-2.28,1,0.181,0.217,0,0.118,0.63,94.853,4,156520
185,186,186,Bastardi Senza Gloria (feat. Noyz Narcos),Guè Pequeno,235019,2ssOc4e6FAIneETAB2fQZK,0.765,0.831,6,-5.088,0,0.202,0.0909,0,0.0647,0.805,87.0,4,156720
186,187,187,Le luci della città,Coez,234900,381VH1JFj9q08V1OMlPU5m,0.582,0.544,7,-6.591,1,0.0362,0.393,2.18e-06,0.135,0.142,129.933,4,177267
187,188,188,Stasera,Ultimo,234185,4LJNZtJg636sRlvUubZ6ra,0.546,0.386,0,-10.284,1,0.0731,0.552,0,0.303,0.301,115.145,4,244423
188,189,189,Nisida,Capo Plaza,231832,4xQKBnkP60odQCJaEEwB1g,0.866,0.448,1,-10.226,1,0.328,0.0492,0,0.0784,0.342,119.974,4,236000
189,190,190,Ulalala,Achille Lauro,231609,2NTxalkIR7Yz1nl5iIFWAz,0.688,0.656,0,-5.487,0,0.0757,0.288,0,0.12,0.57,111.043,4,264971
190,191,191,Sister (Pastiglie),Chadia Rodriguez,231214,3PJFpY6SkQ0juJAn77PZgK,0.743,0.649,2,-6.165,1,0.0768,0.0357,0,0.0834,0.28,149.967,4,227200
191,192,192,Faccio un casino,Coez,231051,6qNXkVk19OYLu4CoqjDfZ0,0.742,0.49,7,-6.482,1,0.0513,0.562,0,0.191,0.509,82.994,4,193624
192,193,193,Perfect,Ed Sheeran,231010,0tgVpDi06FyKpA1z0VMD4v,0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,3,263400
193,194,194,E Fumo Ancora - Acoustic Version,Mostro,228960,13pPMF0wN7r19IU8vV2igc,0.485,0.564,0,-10.308,0,0.438,0.834,0,0.0956,0.282,183.519,4,233858
194,195,195,Ovunque tu sia,Ultimo,225146,5SdYb5G6YbYDgS7jMRqPOQ,0.721,0.533,7,-8.498,1,0.0972,0.476,0,0.109,0.413,115.919,4,199659
195,196,196,L'eternità (Il mio quartiere) (feat. Ultimo),Fabrizio Moro,224340,4VSrTlLWl6jmNHnfa7vWtG,0.534,0.71,0,-6.063,1,0.0344,0.255,0,0.124,0.199,79.874,4,226660
196,197,197,Sabbia,Ultimo,224093,5UepF3Bi2vhTJacaM3a5cO,0.623,0.733,1,-6.28,1,0.377,0.162,0,0.081,0.452,146.267,4,218630
197,198,198,Casa Mia (feat. Luchè & Capo Plaza),Noyz Narcos,223797,6NnO2rbViEDhX6wewADukc,0.465,0.738,1,-7.872,1,0.375,0.142,0,0.335,0.289,188.133,4,162160
198,199,199,Paracetamolo,Calcutta ,223117,4OQ1G3dyVx0SPUzBiWCNat,0.634,0.452,11,-6.387,0,0.0301,0.0642,0,0.236,0.383,143.075,4,178053
199,200,200,Non Ti Dico No,Boomdabash,222880,07Xuc7SQU2GAJY6Gnt93ub,0.658,0.742,8,-6.17,1,0.12,0.0434,0,0.246,0.798,171.939,4,191263
