,index,Position,Track Name,Artist,Streams,ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms
0,1,1,A Un Passo Dalla Luna,Rocco Hunt,3972493,3YNcQUeVOpM3SDmwBeGfMK,0.755,0.78,10,-5.324,1,0.0429,0.39,0,0.34,0.897,121.97,4,167313
1,2,2,Mediterranea,Irama,3056172,47xPl1gvgdx4Z9dNUuloPg,0.711,0.916,11,-4.678,1,0.0587,0.113,0,0.188,0.79,130.013,4,177810
2,3,3,Karaoke,Boomdabash,2966639,0D4GpOPInKiPxEfQMchu4p,0.929,0.625,1,-5.728,1,0.14,0.289,1.2e-06,0.386,0.578,122.03,4,156493
3,4,4,M' Manc (con Geolier & Sfera Ebbasta),Shablo,2894635,0MLu1cFYL4ikdRTdasCQT9,0.703,0.704,6,-6.117,0,0.0641,0.048,0,0.41,0.725,139.933,4,180000
4,5,5,0ffline (feat. bbno$),tha Supreme,2615481,6ZWsKJdmoYu1oFJbzCmtK9,0.558,0.652,10,-5.92,0,0.293,0.0791,0,0.069,0.606,201.765,4,201095
5,6,6,Non mi basta più (feat. Chiara Ferragni),Baby K,2456523,5ZUeBvBEH8hpdLMW3yCmHb,0.828,0.741,7,-4.76,0,0.0561,0.11,0,0.0598,0.966,122.938,4,200976
6,7,7,Paloma (feat. Anitta),Fred De Palma,2407961,0HFkCSXRTUHCYJ148PdD0v,0.724,0.799,6,-5.16,1,0.0482,0.00527,0,0.0527,0.827,99.991,4,141063
7,8,8,Bimbi Per Strada (Children),Fedez,2149178,6KF78W66DcQ9m5YqR0r5Ig,0.642,0.806,5,-5.451,0,0.176,0.0206,0,0.11,0.562,134.002,4,200821
8,9,9,Savage Love (Laxed - Siren Beat),Jawsh 685,2055442,1xQ6trAsedVPCdbtDAmk0c,0.767,0.481,0,-8.52,0,0.0803,0.234,0,0.269,0.761,150.076,4,171375
9,10,10,Superclassico,Ernia,2031537,6Ahg1hncxUdK0ICqU03BCu,0.623,0.663,11,-6.458,1,0.142,0.0624,4.49e-06,0.0922,0.346,149.91,4,172200
10,11,11,Breaking Me,Topic,1912340,3H7ihDc1dqLriiWXwsc2po,0.789,0.72,8,-5.652,0,0.218,0.223,0,0.129,0.664,122.031,4,166794
11,12,12,Sono un bravo ragazzo un po' fuori di testa,Random,1908488,5EXLYWZGnmYC01H53WUAhi,0.75,0.581,5,-9.957,1,0.128,0.167,0,0.203,0.624,121.081,4,170579
12,13,13,Autostop,Shade,1871450,5ZgeeXOHGYUn0K3kuICyw9,0.746,0.871,6,-4.696,1,0.0639,0.128,0,0.0919,0.48,119.895,4,187375
13,14,14,Chico (feat. Rose Villain & Luchè),Guè Pequeno,1854960,3Xhl7OqWAFgVxQKrWhyVVO,0.778,0.819,0,-3.873,0,0.0531,0.164,0,0.111,0.637,144.953,4,201931
14,15,15,Spigoli,Carl Brave,1840722,1XQvMjA9IiIx1lAiTHSxQi,0.718,0.703,0,-5.886,0,0.0537,0.145,0,0.104,0.668,132.987,4,256788
15,16,16,MAMACITA,Black Eyed Peas,1818636,24IgCW19L8lXKyFZwzFtD3,0.88,0.626,2,-7.062,1,0.0473,0.19,0.000755,0.094,0.441,105.01,4,251429
16,17,17,"Ciclone (feat. Elodie, Mariah, Gipsy Kings, Nicolás Reyes, Tonino Baliardo)",Takagi & Ketra,1785086,2YGqtxaGdML9aM5jCwgRw9,0.728,0.868,2,-5.961,0,0.0503,0.0709,0,0.23,0.669,119.99,4,194100
17,18,18,Good Times,Ghali,1707742,5165XjbVxwq9dQDxNk7hmf,0.719,0.736,4,-6.32,0,0.0776,0.0315,0,0.0988,0.593,109.028,4,163073
18,19,19,Guaranà,Elodie,1673411,1KXpcoggYmNTPCRXIz2m9Z,0.79,0.875,8,-3.59,0,0.131,0.0358,3.37e-05,0.162,0.581,116.964,4,194346
19,20,20,ROCKSTAR (feat. Roddy Ricch),DaBaby,1447465,7ytR5pFWmSjzHJIeQkgog4,0.746,0.69,11,-7.956,1,0.164,0.247,0,0.101,0.497,89.977,4,181733
20,21,21,"TesTa TrA Le NuVoLE, pT. 2",Alfa,1373348,04UtYEP1Jc0GRxbvH1B6Nk,0.568,0.512,3,-7.809,1,0.0735,0.0236,1.16e-05,0.117,0.604,118.947,4,180000
21,22,22,Dorado (feat. Sfera Ebbasta & Feid),Mahmood,1359867,1kI7mZAziaRfBeAOraRW1i,0.821,0.762,11,-3.276,0,0.0569,0.501,0.00117,0.162,0.645,99.981,4,178045
22,23,23,Il bacio di Klimt,Emanuele Aloia,1326090,3E1FgPTXX203rgBTD5nlKF,0.685,0.764,9,-4.503,1,0.0664,0.45,0,0.227,0.315,80.037,4,177000
23,24,24,2 TIRI (feat. tha Supreme),Lazza,1288131,3TwMhXQ6O1KGPfiYV5mxGN,0.804,0.723,11,-4.611,0,0.246,0.0308,0,0.108,0.478,85.006,4,162983
24,25,25,Hypnotized,Purple Disco Machine,1251283,0vWUhCPxpJOJR5urYbZypB,0.69,0.813,11,-5.084,0,0.0997,0.0968,0.000324,0.109,0.704,108.078,4,195658
25,26,26,Nena (feat. Geolier & Andry The Hitmaker),Boro Boro,1236411,6TEPwGCSq4XGWu3hnZkC5m,0.78,0.771,6,-4.99,0,0.0538,0.0469,0,0.1,0.355,102.952,4,149126
26,27,27,Caramelo,Ozuna,1189127,3gD4J3RUHy4OUuZ3qAiaiG,0.728,0.806,6,-3.766,1,0.0623,0.0531,0.000301,0.153,0.698,168.084,4,217547
27,28,28,Portofino,Il Pagante,1155929,6xc77qJbTNh3yQzSopZEuw,0.884,0.758,0,-6.171,0,0.0973,0.117,0,0.091,0.591,124.004,4,165605
28,29,29,Como Llora,Juanfran,1140097,52zq2a71SGs3f1vJuv59ui,0.827,0.629,6,-3.966,0,0.185,0.183,0,0.084,0.486,88.064,4,187500
29,30,30,Watermelon Sugar,Harry Styles,1103855,6UelLqGlWMcVH1E5c4H7lY,0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,4,174000
30,31,31,TKN (feat. Travis Scott),ROSALÍA,1084337,4w47S36wQGBhGg073q3nt7,0.776,0.509,0,-6.266,0,0.467,0.192,1.49e-06,0.115,0.485,94.634,4,129371
31,32,32,ALYX (feat. Capo Plaza),Lazza,1077210,5ifarM7jfplX1EqkqMHlDq,0.804,0.605,6,-6.338,0,0.157,0.248,0,0.109,0.665,127.991,4,183028
32,33,33,ELEGANTE (feat. Sfera Ebbasta),DrefGold,1045236,7qADAhkEs9vv3ll4hP8ybC,0.794,0.567,6,-6.487,0,0.035,0.399,3.77e-06,0.0919,0.299,105.98,4,220896
33,34,34,Una voglia assurda,J-AX,1020367,0jaYrOJVG8KcDh9qrU2TU8,0.833,0.697,10,-7.399,1,0.0677,0.0217,0,0.0421,0.769,109.967,4,174646
34,35,35,Djadja (feat. Maluma) - Remix,Aya Nakamura,1017196,6AzKhCHOms83jvNVLsz0Bt,0.791,0.682,5,-7.328,1,0.158,0.175,0,0.0926,0.672,98.031,4,166851
35,36,36,Roses - Imanbek Remix,SAINt JHN,998389,2Wo6QQD1KMDWeFkkjLqwx5,0.785,0.721,8,-5.457,1,0.0506,0.0149,0.00432,0.285,0.894,121.962,4,176219
36,37,37,"Bam Bam Twist (feat. Gow Tribe, Frenetik&Orang3)",Achille Lauro,941431,3Oc9ywNtQuuutK3ovrYIfe,0.573,0.886,2,-4.322,1,0.054,0.00391,0.000447,0.152,0.487,159.975,4,174638
37,38,38,Ridere,Pinguini Tattici Nucleari,936910,5LZVK19ieaV8Mk9FsqTL3F,0.713,0.902,9,-3.009,1,0.0378,0.0493,0,0.0781,0.72,116.909,4,214733
38,39,39,Ti volevo dedicare (feat. J-AX & Boomdabash),Rocco Hunt,909825,00GxbkrW4m1Tac5xySEJ4M,0.754,0.725,8,-6.058,1,0.0661,0.0104,0,0.192,0.271,120.002,4,208133
39,40,40,Kings & Queens,Ava Max,908607,76nqCfJOcFFWBJN32PAksn,0.638,0.688,1,-4.056,0,0.0407,0.00775,0,0.126,0.434,129.856,4,162399
40,41,41,Hollywood,LA Vision,907603,1XdMp6v9Q3N80WnKSbGfl4,0.744,0.793,7,-6.02,0,0.0291,0.00851,0.000231,0.363,0.325,116.0,4,199655
41,42,42,Tusa,KAROL G,890842,7k4t7uLgtOxPwTpFmtJNTY,0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,4,200960
42,43,43,LA ISLA,Giusy & Elettra,883506,0T1QQTMx8jTbtOEeBKe43I,0.78,0.672,10,-7.868,0,0.156,0.0208,0,0.0561,0.754,94.998,4,155468
43,44,44,Chega,Gaia,858421,76w5oLSdgYvA0Bt4dTUe0Z,0.838,0.563,9,-6.415,0,0.114,0.583,2.58e-06,0.134,0.764,140.037,4,184707
44,45,45,Jerusalema (feat. Nomcebo Zikode) - Edit,Master KG,842646,2R7gA9dAHTjASKU0wiTJok,0.903,0.545,1,-6.896,1,0.05,0.0226,8.2e-06,0.0571,0.87,124.011,4,188987
45,46,46,In Your Eyes,The Weeknd,828084,7szuecWAPwGoV1e5vGu8tl,0.667,0.719,7,-5.371,0,0.0346,0.00285,8.1e-05,0.0736,0.717,100.021,4,237520
46,47,47,Una volta ancora (feat. Ana Mena),Fred De Palma,826919,6swHvavSroD4ur3Q18MjYz,0.771,0.638,8,-5.342,1,0.0622,0.0848,0,0.104,0.591,124.039,4,174291
47,48,48,Capo,Geolier,817719,7A9lnmpkWR2tPkcPWGbMqo,0.54,0.47,8,-6.364,1,0.39,0.473,0.000228,0.616,0.101,119.025,3,150968
48,49,49,Auto Blu,Shiva,807992,2chEq24EHjyw9Zjmwq0hlS,0.82,0.783,5,-6.146,0,0.0621,0.0158,0,0.0938,0.653,130.015,4,166087
49,50,50,Break My Heart,Dua Lipa,806945,017PF4Q3l4DBUiWoXk4OWT,0.73,0.729,4,-3.434,0,0.0883,0.167,1.39e-06,0.349,0.467,113.013,4,221820
50,51,51,SLIME (feat. Rondodasosa),Lazza,727632,13Iu4OXlnP5vUQ0rgXR6e3,0.724,0.446,6,-8.521,0,0.0742,0.1,0,0.122,0.33,124.142,4,208234
51,52,52,Rain On Me (with Ariana Grande),Lady Gaga,707736,7ju97lgwC2rKQ6wwsf9no9,0.672,0.855,9,-3.764,1,0.0397,0.021,0,0.323,0.646,123.056,4,182200
52,53,53,death bed (coffee for your head),Powfu,704143,7eJMfftS33KTjuF7lTsMCx,0.726,0.431,8,-8.765,0,0.135,0.731,0,0.696,0.348,144.026,4,173333
53,54,54,blun7 a swishland,tha Supreme,701663,7HwvPmK74MBRDhCIyMXReP,0.692,0.792,7,-5.984,1,0.245,0.13,0,0.255,0.566,129.883,4,167760
54,55,55,Fiori di Chernobyl,Mr.Rain,674333,54PxYcGpSUCmlpGdFGTaYR,0.486,0.619,0,-9.114,1,0.118,0.327,0,0.188,0.32,159.815,4,175612
55,56,56,Te lo prometto,Il Tre,671532,72aqCNAdOo6H4nrPyAivSV,0.804,0.841,10,-5.106,0,0.195,0.144,0,0.248,0.637,121.949,4,184968
56,57,57,Louboutin,Vale pain,662518,7fzaDe7qR6IX2w275uX4Th,0.771,0.611,10,-6.433,0,0.203,0.0317,1.03e-06,0.112,0.479,144.057,4,240000
57,58,58,Ride It,Regard,650902,2tnVG71enUj33Ic2nFN6kZ,0.88,0.751,7,-4.258,0,0.0874,0.177,6.43e-05,0.106,0.884,117.948,4,157606
58,59,59,"DEFUERA (feat. Ghali, Madame & Marracash)",DRD,645067,2512VtkrcUHav23oV66xqf,0.726,0.858,1,-3.065,0,0.0553,0.0639,0.000741,0.222,0.556,97.039,4,199946
59,60,60,Musica (E Il Resto Scompare),Elettra Lamborghini,642304,3Nc7IorgrSffzaQrQWVw4L,0.779,0.835,0,-4.04,1,0.134,0.0217,0,0.393,0.922,114.987,4,194606
60,61,61,Balla Per Me,Tiziano Ferro,638545,6my3pKZ8QxxI5ZezQVR0wf,0.688,0.879,7,-5.231,1,0.2,0.624,0,0.173,0.265,124.904,4,205027
61,62,62,Polvere (feat. Capo Plaza),Tedua,631367,0ZzXPo0gS5h718w7WErG44,0.482,0.483,5,-8.993,0,0.283,0.118,9.43e-06,0.104,0.139,181.945,3,252992
62,63,63,Blinding Lights,The Weeknd,620027,0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,4,200040
63,64,64,Scat Men (feat. Ghali & Gemitaiz),Achille Lauro,619669,4cb65MgCXA2JNEhJW6A57j,0.698,0.88,1,-5.158,0,0.0464,0.147,0,0.0834,0.396,124.045,4,225957
64,65,65,Moncler,Geolier,614028,4QHaWdrl7bdAhz72rb36rO,0.822,0.655,10,-6.773,0,0.0603,0.129,0.00428,0.12,0.551,114.004,4,220000
65,66,66,Jerusalema (feat. Nomcebo Zikode),Master KG,607157,2MlOUXmcofMackX3bxfSwi,0.88,0.483,1,-7.012,1,0.0504,0.0185,8.75e-06,0.0607,0.827,124.009,4,342613
