,index,Position,Track Name,Artist,Streams,ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,genre
0,1,1,Tout oublier,Angèle,1325308,06O3hxudc6V0BOuoCFSy71,0.692,0.542,11,-7.9,0,0.197,0.493,2.75e-06,0.247,0.285,105.005,4,202120,none
1,2,2,Madrina,Maes,1253877,4miiqu2dxOhBguQDHtqssH,0.736,0.797,11,-5.168,0,0.0579,0.178,0.0192,0.36,0.713,122.984,4,220213,none
2,3,3,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,1221555,4w8niZpiMy6qz1mntFA5uM,0.842,0.801,8,-4.167,0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,4,212500,none
3,4,4,Sale mood,Bramsito,1112665,7oxSh7uiB74lWGVIv2Qtlm,0.685,0.761,11,-4.556,0,0.0641,0.297,0.0,0.234,0.726,159.929,4,216326,none
4,5,5,1000°C,Lomepal,1084236,6l7PqWKsgm4NLomOE7Veou,0.706,0.553,3,-8.056,0,0.112,0.263,3.44e-05,0.111,0.392,102.996,4,235907,none
5,6,6,Copines,Aya Nakamura,1034165,1Bhm5HNO1cq8olDbBmokyL,0.701,0.787,8,-3.941,0,0.0855,0.27,0.0,0.105,0.904,180.027,4,171720,none
6,7,7,Jaloux,Dadju,971441,0QnEGWGECQUPuE3m8L6hdT,0.558,0.797,8,-3.89,0,0.0739,0.193,0.0,0.399,0.368,139.992,4,233986,none
7,8,8,Ramenez la coupe à la maison,Vegedream,929765,1m0UFnuTktOkksvjbF9z0m,0.808,0.661,0,-6.237,0,0.0395,0.0358,0.0,0.138,0.804,107.992,4,235556,none
8,9,9,La dot,Aya Nakamura,894626,3aRgAfrt6aQW8IimLq2aVG,0.448,0.513,0,-6.108,1,0.163,0.203,0.0,0.0947,0.751,82.451,4,201720,none
9,10,10,Rêves bizarres (feat. Damso),Orelsan,867238,7lhuM9WUqdThw72dCBRmQW,0.816,0.652,10,-6.157,0,0.231,0.11,0.0,0.0957,0.736,143.995,4,212609,none
