,Unnamed: 0,index,Position,Track Name,Artist,Streams,ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,genre,release date
45,45,46,46,ily (i love you baby) (feat. Emilee),Surf Mesa,769801,62aP9fBQKYKxi7PDXwcUAS,0.674,0.774,11,-7.567,0,0.0892,0.0686,0.0018800000000000002,0.39299999999999996,0.33,112.05,4,176547,Dance,2019-11-26
46,46,47,47,Ridere,Pinguini Tattici Nucleari,760494,5LZVK19ieaV8Mk9FsqTL3F,0.713,0.902,9,-3.009,1,0.0378,0.0493,0.0,0.0781,0.72,116.90899999999999,4,214733,Pop,2020-02-07
47,47,48,48,Per sentirmi vivo,Fasma,758725,20v9X8TV0AgwNGFT71OX3w,0.579,0.718,2,-5.05,1,0.293,0.16699999999999998,0.0,0.114,0.21100000000000002,168.27900000000002,4,177880,Hip-Hop/Rap,2020-02-28
48,48,49,49,NEON - Le Ali (feat. Elisa),Marracash,748975,76cEI7LczlKZ1yLAHIoPBJ,0.703,0.47600000000000003,1,-6.157,0,0.0387,0.256,0.0,0.0938,0.292,129.967,4,207084,Hip-Hop/Rap,2020-03-27
49,49,50,50,Chiasso,Random,745671,76B3Xb8EqIY4NJF5xoNrCH,0.72,0.45,6,-13.285,0,0.196,0.24600000000000002,0.0,0.10099999999999999,0.45399999999999996,91.984,4,182229,Hip-Hop/Rap,2020-06-05
50,50,51,51,Bando,ANNA,726805,0kzGjSRHGVcaWxagzQwAyD,0.97,0.7390000000000001,10,-4.917,0,0.295,0.155,0.0,0.111,0.414,120.061,4,168000,Christmas,2020-01-31
51,51,52,52,TKN (feat. Travis Scott),ROSALÍA,718830,4w47S36wQGBhGg073q3nt7,0.7759999999999999,0.509,0,-6.266,0,0.467,0.192,1.49e-06,0.115,0.485,94.634,4,129371,Pop,2020-05-28
52,52,53,53,Boss Bitch,Doja Cat,699763,78qd8dvwea0Gosb6Fe6j3k,0.7070000000000001,0.955,10,-4.593,0,0.222,0.127,0.0,0.20199999999999999,0.575,125.98899999999999,4,134240,Pop,2020-01-23
53,53,54,54,Sailor Moon,Tedua,695091,33Ld05DGJs5DihWM3EH91g,0.654,0.596,0,-8.792,1,0.273,0.18899999999999997,0.0,0.121,0.317,120.699,4,235000,Hip-Hop/Rap,2020-06-12
54,54,55,55,Vita Vera,Tedua,692427,16j7FamXFr5OeQPhHwkRqj,0.591,0.6659999999999999,5,-6.126,0,0.33899999999999997,0.0109,0.0,0.0986,0.537,80.613,4,165703,Hip-Hop/Rap,2020-06-05
55,55,56,56,El Efecto,Rauw Alejandro,671958,4SJHHpKhcuXwDsCsPqshXj,0.8490000000000001,0.7809999999999999,0,-4.635,0,0.159,0.406,0.0,0.0801,0.893,84.041,4,217143,Urbano latino,2019-03-15
56,56,57,57,Break My Heart,Dua Lipa,669248,017PF4Q3l4DBUiWoXk4OWT,0.73,0.7290000000000001,4,-3.4339999999999997,0,0.0883,0.16699999999999998,1.39e-06,0.349,0.467,113.01299999999999,4,221820,Pop,2020-03-27
57,57,58,58,Cacao (feat. Pyrex),Ghali,668484,0lAzr7LGHV1sdcYJfEKNmu,0.915,0.51,1,-5.33,1,0.096,0.0226,0.0,0.304,0.327,124.02799999999999,3,113831,Hip-Hop/Rap,2020-05-29
58,58,59,59,Pour Toujours (feat. Ghali e Dargen D'Amico),Tedua,667401,1MIVKNoJo0nxQpgMMmGvML,0.873,0.672,1,-7.04,0,0.322,0.0654,1.12e-06,0.198,0.354,97.47399999999999,4,240939,Hip-Hop/Rap,2020-06-05
59,59,60,60,Sultant' a mia,Rocco Hunt,650724,0oa20Wmd4liIjOKS4y5TKB,0.8109999999999999,0.483,5,-9.942,0,0.335,0.47600000000000003,0.0,0.18600000000000003,0.687,149.994,4,148782,Hip-Hop/Rap,2020-06-03
