,index,Position,Track Name,Artist,Streams,ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,genre
0,1,1,Shape of You,Ed Sheeran,3036711,7qiZfU4dY1lWllzX7mPBI3,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,4,233713,Pop
1,2,2,You Don't Know Me - Radio Edit,Jax Jones,2321578,00lNx0OcTJrS3MKHcB80HY,0.876,0.669,11,-6.054,0,0.138,0.163,0,0.185,0.682,124.007,4,213947,Alternative
2,3,3,It Ain't Me (with Selena Gomez),Kygo,2233341,3eR23VReFzcdmS7TYCrhCe,0.64,0.533,0,-6.596,1,0.0706,0.119,0,0.0864,0.515,99.968,4,220781,Pop
3,4,4,Tuesday,Burak Yeter,2167037,7abpmGpF7PGep2rDU68GBR,0.841,0.639,9,-6.052,0,0.0688,0.0156,0.0654,0.0545,0.675,99.002,4,241875,Dance
4,5,5,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,2096924,6kex4EBAj0WHXDKZMEJaaF,0.696,0.817,1,-3.862,1,0.109,0.075,0,0.187,0.782,98.064,4,216409,Pop
5,6,6,Galway Girl,Ed Sheeran,2035357,0afhq8XCExXpqazXczTSve,0.624,0.876,9,-3.374,1,0.1,0.0735,0,0.327,0.781,99.943,4,170827,Pop
6,7,7,Something Just Like This,The Chainsmokers,2008437,6RUKPb4LETWmmr3iAEQktW,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,4,247160,Dance
7,8,8,Nummer 1,Zuna,1762513,3sgGmPQD2J6aQduN36RDBO,0.823,0.514,4,-7.969,0,0.421,0.231,3.82e-06,0.186,0.515,111.24,4,211351,Hip-Hop/Rap
8,9,9,Stay (with Alessia Cara),Zedd,1622924,0dA2Mk56wEzDgegdC6R17g,0.679,0.634,5,-5.024,0,0.0654,0.232,0,0.115,0.498,102.013,4,210091,Dance
9,10,10,Mask Off,Future,1532172,3rOSwuTsUlJp0Pu0MkN8r8,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,4,204600,Hip-Hop/Rap
10,11,11,Scared to Be Lonely,Martin Garrix,1476846,3ebXMykcMXOcLeJ9xZ17XH,0.584,0.54,1,-7.786,0,0.0576,0.0895,0,0.261,0.195,137.972,4,220883,Dance
11,12,12,Passionfruit,Drake,1463691,7hDc8b7IXETo14hHIHdnhd,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,4,298941,Hip-Hop/Rap
12,13,13,Symphony (feat. Zara Larsson),Clean Bandit,1461314,1x5sYLZiu9r5E43kMlt9f8,0.707,0.629,0,-4.581,0,0.0563,0.259,1.6e-05,0.138,0.457,122.863,4,212459,Dance
13,14,14,Paris,The Chainsmokers,1426770,72jbDTw1piOOj770jWNeaG,0.653,0.658,2,-6.428,1,0.0304,0.0215,1.66e-06,0.0939,0.219,99.99,4,221507,Dance
14,15,15,Solo Dance,Martin Jensen,1384268,6HUnnBwYZqcED1eQztxMBN,0.744,0.836,6,-2.396,0,0.0507,0.0435,0,0.194,0.36,114.965,4,174933,Dance
15,16,16,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1250900,3NdDpSvN911VPGivFlV5d0,0.735,0.451,0,-8.374,1,0.0585,0.0631,1.3e-05,0.325,0.0862,117.973,4,245200,Soundtrack
16,17,17,Loin (feat. Dany Synthé & soFLY & Nius) - Pilule violette,Maître Gims,1236066,3up1uPuvL5vkfJ6aOeSRtD,0.83,0.765,7,-4.205,0,0.101,0.0232,0.0159,0.0754,0.367,102.028,4,188040,Hip-Hop/Rap
17,18,18,Despacito (Featuring Daddy Yankee),Luis Fonsi,1189895,4aWmUDTfIPGksMNLV2rQP2,0.66,0.786,2,-4.757,1,0.17,0.209,0,0.112,0.846,177.833,4,228200,Pop
18,19,19,Slide (feat. Frank Ocean & Migos),Calvin Harris,1155152,7tr2za8SQg2CI8EDgrdtNl,0.736,0.795,1,-3.299,0,0.0545,0.498,1.21e-06,0.254,0.511,104.066,4,230813,Dance
19,20,20,Believer,Imagine Dragons,1143404,0CcQNd8CINkwQfe1RDtGV6,0.779,0.787,10,-4.305,0,0.108,0.0524,0,0.14,0.708,124.982,4,204347,Alternative
20,21,21,Weak,AJR,1126995,3E2Zh20GDCR9B1EYjfXWyv,0.673,0.637,5,-4.518,1,0.0429,0.137,0,0.184,0.678,123.98,4,201160,Alternative
21,22,22,Green Light,Lorde,1115244,0gbBzIqrECJOEPvQJIBFs5,0.616,0.714,9,-7.792,1,0.0982,0.0162,1.23e-05,0.0817,0.24,128.924,4,234653,Alternative
22,23,23,All Time Low,Jon Bellion,1082735,1CnPYaKxTVb4LWOtiGOm0m,0.617,0.567,0,-4.188,1,0.0828,0.0584,0,0.0933,0.505,90.246,4,217603,Pop
23,24,24,Call On Me - Ryan Riback Extended Remix,Starley,1082692,78rIJddV4X0HkNAInEcYde,0.67,0.838,0,-4.031,1,0.0362,0.0604,0.000611,0.159,0.717,104.998,4,222041,Dance
24,25,25,Castle on the Hill,Ed Sheeran,1073828,6PCUP3dWmTjcTtXY02oFdT,0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,4,261154,Pop
25,26,26,Ohne mein Team,Bonez MC,1071142,05Mp2UJulSttxQ4E6hQPH3,0.766,0.8,1,-6.062,0,0.0938,0.16,1.6e-05,0.0744,0.635,129.999,4,188504,none
26,27,27,Chained To The Rhythm,Katy Perry,1046470,6520aj0B4FSKGVuKNsOCOi,0.448,0.801,0,-5.363,1,0.165,0.0733,0,0.146,0.462,189.798,4,237734,Pop
27,28,28,Issues,Julia Michaels,1025374,1sXUWdKx03aP9Gmzft58rt,0.683,0.427,8,-6.827,1,0.0777,0.368,0,0.0604,0.426,113.634,4,176347,Pop
28,29,29,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),Major Lazer,1005141,0fg8CqpjdojMyXLNzM2PaJ,0.803,0.743,1,-3.602,0,0.0681,0.105,2.12e-06,0.099,0.674,108.005,4,203180,Electronic
29,30,30,Skin,Rag'n'Bone Man,991657,6y2Kaz9QI01XBKJ8mTb7Pf,0.565,0.745,0,-7.733,1,0.31,0.265,0,0.147,0.352,170.654,4,239627,Alternative
30,31,31,Für die Gang,Ufo361,936283,5TKIutymE7YA4mTcLa9eAQ,0.764,0.536,11,-9.177,0,0.263,0.0487,2.76e-06,0.221,0.315,129.054,4,200930,Hip-Hop/Rap
31,32,32,Bis hier und noch weiter,Adel Tawil,929983,5y2qTBdWUFNgSPOygSWOMe,0.745,0.872,8,-2.629,1,0.203,0.134,0,0.253,0.525,90.983,4,228053,Rock
32,33,33,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,907870,5knuzwU65gJK7IF5yJsuaW,0.72,0.763,9,-4.068,0,0.0523,0.406,0,0.18,0.742,101.965,4,251088,Dance
33,34,34,That's What I Like,Bruno Mars,870518,0KKkJNfGyhkQ5aFogxQAPU,0.853,0.56,1,-4.961,1,0.0406,0.013,0,0.0944,0.86,134.066,4,206693,Pop
34,35,35,Two Princes - Radio Mix,Fake Pictures,861081,1iTKkkgXj8kJkGdjGGBFqL,0.747,0.803,2,-5.314,1,0.0345,0.0139,5.48e-05,0.0668,0.814,118.019,4,181000,Pop
35,36,36,HUMBLE.,Kendrick Lamar,856398,7KXjTSCq5nL1LoYtL7XAwS,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,4,177000,Hip-Hop/Rap
36,37,37,September Song,JP Cooper,854844,0FuTx2s3YH1ppmtiM6l0zI,0.623,0.654,0,-5.675,0,0.0372,0.0545,0,0.0838,0.401,95.921,4,220291,Singer/Songwriter
37,38,38,Mehr als ein Job,Kontra K,816233,6hyQOWD7kUVEJTjIHtJXdM,0.542,0.819,1,-7.683,0,0.329,0.115,0,0.113,0.464,191.898,4,190529,Hip-Hop/Rap
38,39,39,Cold,Maroon 5,804887,5NNlUMcOEOdoOIwwaWXv0k,0.703,0.715,9,-6.285,0,0.114,0.139,0,0.0456,0.497,99.924,4,234308,Pop
39,40,40,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,803128,40UroIGvsMPLPBYwH8rMNA,0.779,0.671,9,-5.829,1,0.0814,0.153,1.12e-05,0.115,0.718,104.953,4,177095,Pop
40,41,41,Way down We Go,KALEO,781193,0y1QJc3SJVPKJ1OvFmFqe6,0.489,0.505,10,-8.022,0,0.117,0.579,0.000333,0.104,0.337,163.255,4,213707,Alternative
41,42,42,Happier,Ed Sheeran,749140,2RttW7RAu5nOAfq6YFvApB,0.522,0.385,0,-7.355,1,0.0288,0.536,0,0.135,0.236,89.792,4,207520,Pop
42,43,43,Chasing Highs,ALMA,732848,6fTsxhIosAU6zXTAhSaemI,0.782,0.764,2,-4.591,0,0.0572,0.303,1.17e-05,0.433,0.526,111.968,4,195678,Electronic
