,Unnamed: 0,index,Position,Track Name,Artist,Streams,ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,genre,release date
166,166,167,167,Boy With Luv (feat. Halsey),BTS,301319,5KawlOMHjWeUjQtnuRs22c,0.645,0.862,11,-4.757,0,0.0965,0.0923,0.0,0.192,0.7979999999999999,119.991,4,229773,K-Pop,2019-04-12
167,167,168,168,scuol4,tha Supreme,301007,6ukVfkwkTlQvfvD477n0qr,0.7559999999999999,0.622,9,-6.619,0,0.107,0.113,0.0,0.0196,0.831,102.0,3,170294,Hip-Hop/Rap,2018-06-08
168,168,169,169,Just You and I,Tom Walker,299247,03x2rVJRFUrvwlfxoHd9Mo,0.5670000000000001,0.696,9,-5.416,1,0.301,0.456,0.0,0.113,0.544,92.061,4,174983,Singer/Songwriter,2019-03-01
169,169,170,170,11 PM,Maluma,298201,7KbF6AdprOXEEHlsq11Z6d,0.777,0.7120000000000001,10,-4.84,1,0.27699999999999997,0.217,0.0,0.091,0.68,95.69200000000001,4,175733,Urbano latino,2019-05-17
170,170,171,171,I Don't Belong In This Club,Why Don't We,296311,45ZGEdLxCZvdMX9jWlsAAx,0.797,0.5429999999999999,11,-5.744,1,0.0439,0.0202,0.0,0.0726,0.16399999999999998,115.036,4,222621,Pop,2019-03-20
171,171,172,172,"No New Friends (feat. Sia, Diplo, and Labrinth)",Sia,289240,6Dma0t0hOe6Bd6u5YRKF3n,0.725,0.703,7,-4.641,1,0.0466,0.0632,0.000251,0.14,0.638,106.03200000000001,4,175827,Pop,2019-04-12
172,172,173,173,Verte Ir,DJ Luian,288645,4lzxJ4jCuFDXXGkE1LmpKR,0.857,0.647,11,-4.152,0,0.0984,0.391,1.2e-06,0.0842,0.5529999999999999,95.98200000000001,4,267500,Urbano latino,2019-03-28
173,173,174,174,Como Te (feat. Emis Killa),Geolier,288212,7dX7Vn3NP5sa5nTQg4oKMN,0.64,0.7879999999999999,5,-7.494,0,0.0412,0.073,0.0,0.17800000000000002,0.456,131.937,4,218182,Hip-Hop/Rap,2019-03-22
174,174,175,175,Boogie Nights (feat. Ghali),Rkomi,288138,4MmTsaYqv9QR3yzbMeiNS5,0.885,0.601,3,-7.02,0,0.218,0.10099999999999999,0.0,0.157,0.77,114.031,4,180520,Hip-Hop/Rap,2019-03-22
175,175,176,176,Wow.,Post Malone,287513,6MWtB6iiXyIwun0YzU6DFP,0.833,0.539,11,-7.399,0,0.17800000000000002,0.163,2.1000000000000002e-06,0.10099999999999999,0.385,99.947,4,149520,Hip-Hop/Rap,2018-12-24
176,176,177,177,bury a friend,Billie Eilish,286172,4SSnFejRGlZikf02HLewEF,0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,4,193143,Alternative,2019-03-29
177,177,178,178,Giovane fuoriclasse,Capo Plaza,281171,60muwbD6E61lEYQSnEYlLc,0.715,0.703,1,-5.01,1,0.15,0.507,0.0,0.0855,0.0972,133.116,4,221973,Hip-Hop/Rap,2018-04-20
178,178,179,179,Domani ci passa,Ludwig,277381,3elLXGwE5zaREuOzWdlRJ2,0.708,0.736,11,-4.391,1,0.0398,0.0399,0.0,0.44799999999999995,0.7490000000000001,129.959,4,145463,Dance,2019-04-05
179,179,180,180,Not Ok,Kygo,277310,6aoGtdWXBkYQ2O2wnyIz2x,0.618,0.66,11,-8.14,0,0.0372,0.0292,2.07e-06,0.325,0.408,105.0,4,210944,Dance,2019-05-23
180,180,181,181,Italiana,J-AX,277180,0ptaq4BSl6jrXfGyLzJjYE,0.6859999999999999,0.7440000000000001,5,-7.122000000000001,0,0.111,0.0302,0.0,0.0486,0.637,121.839,4,174173,Hip-Hop/Rap,2018-05-04
181,181,182,182,Fotografia (feat. Francesca Michielin & Fabri Fibra),Carl Brave,276970,3fw3W15QK6a9UxJGgndtYu,0.7070000000000001,0.539,0,-5.321000000000001,0,0.16899999999999998,0.0438,0.0,0.0959,0.423,167.125,4,221413,Pop,2018-05-11
182,182,183,183,Chic,Izi,275432,7jUJ2RmT4PFHHq4goMWqm3,0.47100000000000003,0.628,2,-6.197,0,0.187,0.26899999999999996,0.0,0.195,0.19,129.996,4,212640,Hip-Hop/Rap,2016-05-13
183,183,184,184,Stanza Singola (feat. Tommaso Paradiso),Franco126,272803,23hpOtox5sIuRqVBVVJxsO,0.6759999999999999,0.47,10,-7.831,1,0.0582,0.599,0.0,0.209,0.5429999999999999,129.916,4,196615,Pop,2019-01-25
184,184,185,185,Pazzo Di Te,Mecna,272484,5pMOVW1tYXXXvY2BxKezJ1,0.67,0.7090000000000001,9,-6.986000000000001,1,0.242,0.154,2.37e-05,0.19699999999999998,0.7040000000000001,166.063,4,180723,Hip-Hop/Rap,2019-06-05
185,185,186,186,Sunset Lover,Petit Biscuit,269688,3WRQUvzRvBDr4AxMWhXc5E,0.785,0.525,6,-7.556,1,0.042,0.669,0.439,0.114,0.251,90.853,4,238907,Electronic,2017-11-10
186,186,187,187,Settimana Bianca,Il Pagante,269430,5BqUbKq9rCMrCkRtAiz8XA,0.695,0.898,2,-1.635,0,0.0907,0.0785,1.9699999999999998e-05,0.21,0.55,126.046,4,160476,Electronic,2018-09-21
187,187,188,188,Sixteen,Ellie Goulding,268203,4PkIDTPGedm0enzdvilLNd,0.669,0.8009999999999999,8,-5.445,1,0.136,0.268,0.0,0.0594,0.541,109.919,4,201072,Pop,2019-04-12
188,188,189,189,Sempre In Due,Carl Brave x Franco126,266853,6ElWuGFrYbsf2mdHWUoGCk,0.596,0.758,9,-7.0489999999999995,0,0.0802,0.0835,0.0,0.147,0.551,77.47399999999999,4,190452,Hip-Hop/Rap,2018-02-16
189,189,190,190,Senza Pagare VS T-Pain (feat. T-Pain),J-AX,265919,0YOUE1TlkgSbkNvWkZkEVp,0.679,0.625,6,-6.667999999999999,1,0.0405,0.0296,0.0,0.106,0.489,96.035,4,210099,Hip-Hop/Rap,2017-07-11
190,190,191,191,Barking,Ramz,265059,2JbO1rep5Um3RAKB8szQrR,0.534,0.563,7,-7.845,0,0.312,0.18100000000000002,0.0,0.0525,0.29100000000000004,102.999,4,204827,Hip-Hop/Rap,2019-05-17
191,191,192,192,MIA (feat. Drake),Bad Bunny,262568,116H0KvKr2Zl4RPuVBruDO,0.8170000000000001,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.06200000000001,4,210368,Latino,2018-10-11
192,192,193,193,7 rings,Ariana Grande,262282,6ocbgoVGwYJhOv1GgI9NsF,0.778,0.317,1,-10.732000000000001,0,0.33399999999999996,0.5920000000000001,0.0,0.0881,0.327,140.048,4,178627,Pop,2019-02-08
193,193,194,194,Rolls Royce (feat. Boss Doms & Frenetik&Orang3),Achille Lauro,261659,0xXt39nrPLKPdLma3Ce1Vk,0.642,0.922,9,-3.907,1,0.0649,0.0058200000000000005,0.0,0.643,0.307,141.91299999999998,4,173333,Hip-Hop/Rap,2019-04-12
194,194,195,195,"Thoiry Remix (Samba Trap Vol. 3 - Mitraglia Rec) (feat. Gemitaiz, Quentin40 & Puritano)",Achille Lauro,259633,2l9XbXBbKoEfc1JdCvSz4n,0.685,0.8340000000000001,7,-3.782,1,0.233,0.0419,0.0,0.332,0.601,123.89200000000001,4,174920,Hip-Hop/Rap,2018-06-22
195,195,196,196,Cupido (feat. Quavo),Sfera Ebbasta,259208,0dLToDou8YHYJpQltj3Ijy,0.8029999999999999,0.695,4,-5.164,0,0.0413,0.0622,0.0,0.105,0.45799999999999996,119.978,4,210107,Hip-Hop/Rap,2018-01-19
196,196,197,197,Sopra,Gazzelle,258384,3Cbaa4ZmODhKEGSkMsbkOO,0.5820000000000001,0.7170000000000001,2,-4.186,1,0.0274,0.0965,1.42e-05,0.39799999999999996,0.22699999999999998,116.975,4,193573,Alternative,2018-11-30
197,197,198,198,Te Quemas (feat. MC G15),Elettra Lamborghini,256327,0iGTe07mvUHd85Iic76KJ6,0.7509999999999999,0.838,9,-6.497000000000001,1,0.0702,0.00020800000000000001,0.0444,0.349,0.818,126.985,4,160630,Urbano latino,2019-06-14
198,198,199,199,Shopping,Gallagher,256063,2KuNAzXbFciqRDSwcTyOqH,0.633,0.546,7,-9.663,0,0.0549,0.485,0.0,0.17300000000000001,0.528,74.971,4,172800,Hip-Hop/Rap,2019-06-14
199,199,200,200,Fuerte,Elettra Lamborghini,252727,3mEknUDIZDmVPxDWP5ZCG0,0.7829999999999999,0.77,1,-5.284,0,0.0509,0.0696,0.0,0.222,0.564,92.995,4,157242,Urbano latino,2019-06-14
