,Unnamed: 0,Unnamed: 0.1,index,Position,Track Name,Artist,Streams,ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,genre,release date
168,168,168,169,169,Calma - Remix,Pedro Capó,260406,5iwz1NiezX7WWjnCgY5TH4,0.826,0.773,11,-4.218,0,0.0524,0.32299999999999995,0.0,0.14300000000000002,0.7609999999999999,126.899,4,238200,Pop Latino,2018-10-05
169,169,169,170,170,D'estate non vale (feat. Ana Mena),Fred De Palma,260229,5IbiQAbMBe5T2K67mCAIx3,0.6609999999999999,0.765,2,-6.015,1,0.16,0.0867,0.0,0.0858,0.723,180.00799999999995,4,157933,Hip-Hop/Rap,2019-09-13
170,170,170,171,171,All Around The World (La La La),R3HAB,259233,02itaCXOdC54J0ISjqqFAp,0.733,0.8590000000000001,9,-5.03,0,0.033,0.479,0.0645,0.105,0.52,124.948,4,147840,Dance,2019-04-05
171,171,171,172,172,China,Anuel AA,258824,2ksOAxtIxY8yElEWw8RhgK,0.7859999999999999,0.8079999999999999,7,-3.702,1,0.0882,0.0846,0.00028900000000000003,0.0822,0.609,105.027,4,301714,Urbano latino,2019-07-19
172,172,172,173,173,Look Back at It (feat. CAPO PLAZA),A Boogie Wit da Hoodie,258740,34Jnbbi34tPtYdutY5Pd6G,0.7859999999999999,0.552,1,-8.189,1,0.0944,0.423,0.0,0.0873,0.551,96.025,4,225541,Hip-Hop/Rap,2019-06-07
173,173,173,174,174,HO PAURA DI USCIRE 2 - prod. Mace,MACHETE,256973,0nFCpnM7nistUWXRZpzOWM,0.838,0.853,4,-5.126,1,0.28300000000000003,0.168,0.0,0.545,0.6920000000000001,119.939,4,177036,Hip-Hop/Rap,2019-07-05
174,174,174,175,175,Fuori E Dentro (feat. tha Supreme),Gemitaiz,256663,34UHhwlly3SHryWuVfMOJm,0.919,0.5820000000000001,2,-7.2010000000000005,1,0.119,0.111,0.0,0.118,0.5379999999999999,123.947,4,170000,Hip-Hop/Rap,2019-09-19
175,175,175,176,176,I Tuoi Particolari,Ultimo,256500,0psAGFzUF64N2Ae4gMExzu,0.659,0.588,0,-5.682,1,0.063,0.632,0.0,0.124,0.297,135.884,4,219939,Pop,2019-04-05
176,176,176,177,177,sw1n6o - feat. Salmo,tha Supreme,254778,0I26eEAwEoii0wHuFqwhYO,0.569,0.828,0,-5.5539999999999985,0,0.0857,0.122,7.05e-06,0.785,0.7859999999999999,169.982,4,184037,Hip-Hop/Rap,2019-11-15
177,177,177,178,178,Don't Call Me Up,Mabel,253429,5WHTFyqSii0lmT9R21abT8,0.674,0.8809999999999999,9,-2.853,1,0.147,0.29600000000000004,3.01e-06,0.0793,0.234,98.994,4,178480,Pop,2019-01-18
178,178,178,179,179,Chance (feat. Capo Plaza),Shiva,252801,7CQwJNaHvxUPye0X7bTh7g,0.6679999999999999,0.6809999999999999,9,-6.555,1,0.405,0.14400000000000002,0.0,0.27,0.3,86.35799999999998,4,182400,Hip-Hop/Rap,2020-01-31
179,179,179,180,180,On Gang,Thelonious B.,250394,4NR1cjgeRzp0KSTwqiJfWj,0.723,0.6409999999999999,2,-5.734,1,0.195,0.568,0.0,0.0882,0.505,104.02,4,154904,Hip-Hop/Rap,2020-01-27
180,180,180,181,181,BUTTERFLY EFFECT,Travis Scott,249296,6xcJyGpfZbuuiequtnlKt4,0.764,0.628,11,-5.851,1,0.0503,0.053,0.0,0.114,0.196,140.963,4,190557,Hip-Hop/Rap,2018-08-02
181,181,181,182,182,MARYLEAN (feat. Marracash) - prod. Low Kidd,MACHETE,247645,28fRkU3vhqAJdl9i9458pQ,0.722,0.6459999999999999,2,-6.7429999999999986,0,0.31,0.0776,0.0,0.594,0.6609999999999999,136.955,4,144097,Hip-Hop/Rap,2019-07-05
182,182,182,183,183,Amici,Massimo Pericolo,247267,7aVX95NjONZszSeb8vJZF3,0.618,0.715,1,-4.966,1,0.254,0.395,0.0,0.13699999999999998,0.457,140.355,4,180950,Hip-Hop/Rap,2019-04-12
183,183,183,184,184,Brivido,Guè Pequeno,247084,7fH13hSOyNoeiDGbjEnTUC,0.628,0.69,7,-6.273,0,0.338,0.237,0.0,0.0899,0.431,82.285,4,227693,Hip-Hop/Rap,2013-01-01
184,184,184,185,185,Sole a mezzanotte,Gio Montana,247063,41wB7yyQG8YR284muocSv0,0.7609999999999999,0.586,1,-6.8039999999999985,1,0.0888,0.136,0.0,0.214,0.366,124.03,4,134214,Hip-Hop/Rap,2019-02-14
185,185,185,186,186,bad guy,Billie Eilish,245833,2Fxmhks0bxGSBdJ92vM42m,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,4,194088,Alternative,2019-03-29
186,186,186,187,187,La musica non c'è,Coez,240252,7MMJa7cjMadOSR6CFWvB1x,0.747,0.498,0,-6.674,1,0.0353,0.381,0.0,0.7120000000000001,0.53,135.91899999999998,4,222787,Pop/Rock,2017-05-05
187,187,187,188,188,oh 9od - feat. Nayt,tha Supreme,238873,5Qy9jtZdxUnFXmgPp3u5VZ,0.7609999999999999,0.7140000000000001,0,-5.312,0,0.134,0.155,8.58e-06,0.256,0.737,143.016,4,204468,Hip-Hop/Rap,2019-11-15
188,188,188,189,189,POLKA,Rosa Chemical,238601,20jG7WodtS52iOnWyGE1l4,0.787,0.7170000000000001,11,-5.465,1,0.174,0.278,0.0,0.266,0.8290000000000001,129.903,4,170851,Hip-Hop/Rap,2020-03-06
189,189,189,190,190,C'est la vie,Achille Lauro,238151,6qrzETcLAmhkNW5PbkwcJI,0.452,0.51,11,-8.199,0,0.0397,0.16699999999999998,0.0,0.106,0.54,73.02199999999998,4,193147,Pop,2019-04-12
190,190,190,191,191,Be Kind (with Halsey),Marshmello,237150,3Z8FwOEN59mRMxDCtb8N0A,0.63,0.633,4,-7.087999999999999,1,0.0457,0.007759999999999999,0.0,0.0541,0.452,93.995,4,172762,Dance,2020-05-01
191,191,191,192,192,Holly & Benji (feat. Capo Plaza & Shiva),AVA,236419,4tchNSV4eZQ9vG4GNA4iJa,0.42,0.787,11,-6.206,0,0.266,0.0129,0.0,0.107,0.498,78.44,4,220127,Holiday,2019-12-13
192,192,192,193,193,Girasoli,Emanuele Aloia,234463,3lumKk7Mrt6KhFDZURTv0t,0.66,0.619,6,-5.567,1,0.0333,0.7809999999999999,0.0,0.155,0.519,120.069,4,166000,Pop,2019-10-28
193,193,193,194,194,MITRA,Sapobully,233070,1sTdhkO7yde0DZc5F9cUMs,0.7809999999999999,0.8390000000000001,4,-5.93,0,0.17,0.0573,0.00102,0.0974,0.421,96.045,4,135000,Hip-Hop/Rap,2020-04-23
194,194,194,195,195,STARGAZING,Travis Scott,231770,7wBJfHzpfI3032CSD7CE2m,0.487,0.789,8,-3.69,1,0.044,0.00947,4.05e-06,0.189,0.0564,150.007,4,270715,Hip-Hop/Rap,2018-08-03
195,195,195,196,196,Non Abbiamo Età,Luche,230914,0NwuXciw6eQc4edjwSBnV3,0.3720000000000001,0.6890000000000001,6,-4.711,1,0.243,0.0522,0.0,0.154,0.191,193.259,4,181661,Hip-Hop/Rap,2018-06-29
196,196,196,197,197,La Mia Hit (feat. Max Pezzali),J-AX,229692,4bMfWDvKPCFQ2df7Qf2UTs,0.6890000000000001,0.853,8,-6.11,1,0.0742,0.0623,0.0,0.26,0.701,100.078,4,212640,Pop,2020-01-24
197,197,197,198,198,Na Na Na,Holden,229221,3arKLum0IMREFOSq3OkpaF,0.496,0.632,10,-7.94,0,0.276,0.393,0.0,0.359,0.532,53.808,4,126569,Dance,2019-10-26
198,198,198,199,199,FIORI,Giaime,229218,500c6DLy4ag8gFAnkuzTxP,0.85,0.5670000000000001,4,-8.738999999999999,0,0.199,0.136,0.0,0.115,0.161,99.99,4,168000,Hip-Hop/Rap,2019-07-18
199,199,199,200,200,Shallow,Lady Gaga,229006,2VxeLyX666F8uXCJ0dZF8B,0.5720000000000001,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.32299999999999995,95.799,4,215733,Soundtrack,2018-10-05
