,Unnamed: 0,index,Position,Track Name,Artist,Streams,ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,genre,release date
0,0,1,1,JAMBO,Takagi & Ketra,3259638,4H5arInh2BLVz94mIibTrv,0.74,0.777,7,-5.425,0,0.163,0.0399,0.0,0.0835,0.767,129.98,4,157024,Pop,2019-05-24
1,1,2,2,"Calipso (with Dardust) (feat. Sfera Ebbasta, Mahmood & Fabri Fibra)",Charlie Charles,3231320,45zJRuzK9e6AO527NOW7Fy,0.775,0.6609999999999999,6,-6.178,0,0.183,0.0261,2.09e-05,0.11199999999999999,0.467,112.029,4,190700,R&B/Soul,2019-04-26
2,2,3,3,Ostia Lido,J-AX,3067956,2J9TGb5CRT4omfAgnKmXn5,0.8740000000000001,0.7859999999999999,9,-5.723,1,0.18600000000000003,0.114,0.0,0.10800000000000001,0.688,108.944,4,172945,Hip-Hop/Rap,2019-05-17
3,3,4,4,Dove e quando,Benji & Fede,3002884,5BAJMdCQqax0oBQigQTl5h,0.763,0.6920000000000001,1,-6.1579999999999995,1,0.0381,0.0931,0.0,0.0644,0.691,124.99799999999999,4,190409,Sports,2019-05-31
4,4,5,5,Una volta ancora (feat. Ana Mena),Fred De Palma,2923541,6gaeewGjNiQhWOUkWRSLTa,0.7709999999999999,0.638,8,-5.3420000000000005,1,0.0622,0.0848,0.0,0.10400000000000001,0.591,124.039,4,174291,Hip-Hop/Rap,2019-06-04
5,5,6,6,Mambo Salentino,Boomdabash,2833749,7piIo15vVy3ULGXSpFs5xc,0.9059999999999999,0.662,3,-6.707000000000001,0,0.319,0.248,0.0,0.067,0.863,100.035,4,155414,Pop,2019-06-07
6,6,7,7,Lento,Boro Boro,2429083,0iRKVjfQzpr41T3WsU7shl,0.6509999999999999,0.8640000000000001,8,-5.7989999999999995,0,0.225,0.37799999999999995,0.0,0.22699999999999998,0.812,181.93599999999998,4,162363,Hip-Hop/Rap,2019-06-07
7,7,8,8,Señorita,Shawn Mendes,2038621,0TK2YIli7K1leLovkQiNik,0.759,0.54,9,-6.039,0,0.0287,0.037000000000000005,0.0,0.0945,0.75,116.947,4,190960,Pop,2019-06-21
8,8,9,9,I Don't Care (with Justin Bieber),Ed Sheeran,1941035,3HVWdVOQ0ZA45FuZGSfvns,0.7979999999999999,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.8420000000000001,101.956,4,219947,Pop,2019-05-10
9,9,10,10,Playa,Baby K,1840342,7bBIBrSmHvdMlTC7b9p8Vq,0.8370000000000001,0.5770000000000001,2,-5.854,1,0.168,0.0403,0.0,0.0721,0.73,109.904,4,192000,Pop,2019-05-31
10,10,11,11,Look Back at It (feat. CAPO PLAZA),A Boogie Wit da Hoodie,1791962,34Jnbbi34tPtYdutY5Pd6G,0.7859999999999999,0.552,1,-8.189,1,0.0944,0.423,0.0,0.0873,0.551,96.025,4,225541,Hip-Hop/Rap,2019-06-07
11,11,12,12,Veleno 7,Gemitaiz,1790107,3fV9z98dnQLSIPIMMJXCm7,0.8059999999999999,0.843,6,-6.237,0,0.0601,0.156,1.24e-05,0.363,0.327,132.991,4,173371,Hip-Hop/Rap,2019-06-07
12,12,13,13,Piece Of Your Heart,MEDUZA,1769167,1DFD5Fotzgn6yYXkYsKiGs,0.677,0.7440000000000001,10,-6.806,0,0.0295,0.0404,0.00016,0.07400000000000001,0.631,124.08,4,152913,Dance,2019-02-01
13,13,14,14,bad guy,Billie Eilish,1690678,2Fxmhks0bxGSBdJ92vM42m,0.701,0.425,7,-10.965,1,0.375,0.32799999999999996,0.13,0.1,0.562,135.128,4,194088,Alternative,2019-03-29
14,14,15,15,Arrogante,Irama,1657822,14lgKkkbNsJl9fItqnEfpV,0.722,0.772,11,-5.71,1,0.0458,0.154,0.0,0.337,0.687,102.009,4,196471,Pop,2019-05-24
15,15,16,16,Corazón Morado (feat. Sfera Ebbasta),Elettra Lamborghini,1597472,6stctriNY7UC7KyHcG7ZBH,0.73,0.8029999999999999,1,-4.57,1,0.0438,0.0171,7.72e-06,0.142,0.483,92.98700000000001,4,211589,Urbano latino,2019-06-14
16,16,17,17,Con Calma,Daddy Yankee,1507365,5w9c2J52mkdntKOmRLeM2m,0.737,0.86,8,-2.6519999999999997,0,0.0593,0.11,1.94e-06,0.0574,0.6559999999999999,93.98899999999999,4,193227,Urbano latino,2019-01-24
17,17,18,18,Maradona y Pelé,Thegiornalisti,1474022,3xALgUxUFNYIrbMew1sbnC,0.6829999999999999,0.823,9,-4.885,0,0.23,0.0867,0.0,0.406,0.6679999999999999,119.905,4,201985,Pop,2019-05-17
18,18,19,19,So cosa fare,Capo Plaza,1448513,2bN0p91LZmBKmgmpIGu5RI,0.7659999999999999,0.635,9,-5.489,1,0.146,0.115,1.85e-06,0.0781,0.491,146.06799999999998,4,175068,Hip-Hop/Rap,2019-06-20
