,Unnamed: 0,index,Position,Track Name,Artist,Streams,ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,genre,release date
0,0,1,1,SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),Marracash,5501880,020wG4EHTwBy5h2rbpxqvK,0.6559999999999999,0.6609999999999999,9,-5.888,1,0.0602,0.0686,0.0,0.125,0.509,140.95600000000002,4,223045,Hip-Hop/Rap,2019-10-31
1,1,2,2,CRUDELIA - I nervi,Marracash,3631839,1OeIJITrlUR4qss2kywMEn,0.547,0.5539999999999999,7,-7.563,1,0.102,0.149,0.0,0.344,0.0702,82.178,3,230923,Hip-Hop/Rap,2019-10-31
2,2,3,3,Dance Monkey,Tones And I,3078034,1rgnBhdG2JDFTbYkYRZAku,0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.07799999999999,4,209755,Alternative,2019-05-10
3,3,4,4,APPARTENGO - Il sangue (feat. Massimo Pericolo),Marracash,2771875,2tpfOljBdskx8G331TjRps,0.782,0.637,3,-5.892,0,0.0911,0.198,0.0,0.171,0.8009999999999999,129.981,4,255449,Hip-Hop/Rap,2019-10-31
4,4,5,5,QUELLI CHE NON PENSANO - Il cervello (feat. Coez),Marracash,2650722,6l1Jnqfu7GAOV4MDgA2bNP,0.623,0.684,11,-4.832,0,0.294,0.21100000000000002,0.0,0.354,0.46,177.99,4,190187,Hip-Hop/Rap,2019-10-31
5,5,6,6,QUALCOSA IN CUI CREDERE - Lo scheletro (feat. Guè Pequeno),Marracash,2533265,39hRcGieqFaKfZ7LN91Vy5,0.6459999999999999,0.8740000000000001,9,-4.313,1,0.22,0.23199999999999998,0.0,0.177,0.319,79.58800000000001,4,212316,Hip-Hop/Rap,2019-10-31
6,6,7,7,MADAME - L'anima (feat. Madame),Marracash,2487491,2wL96n9ToLGhekNTFrPhxj,0.747,0.6509999999999999,0,-8.33,1,0.0304,0.39899999999999997,7.21e-06,0.0907,0.145,107.99,4,221632,Hip-Hop/Rap,2019-10-31
7,7,8,8,Ti volevo dedicare (feat. J-AX & Boomdabash),Rocco Hunt,2406685,00GxbkrW4m1Tac5xySEJ4M,0.754,0.725,8,-6.058,1,0.0661,0.0104,0.0,0.192,0.271,120.00200000000001,4,208133,Hip-Hop/Rap,2019-08-30
8,8,9,9,BRAVI A CADERE - I polmoni,Marracash,2372623,4SpV49wwekArulAVjEez3i,0.608,0.693,5,-5.676,0,0.10300000000000001,0.163,0.0,0.10400000000000001,0.276,95.005,4,200214,Hip-Hop/Rap,2019-10-31
9,9,10,10,SPORT - I muscoli (feat. Luchè),Marracash,2247361,3HVm4g9bZHo0aMsjzGS7Ro,0.88,0.723,10,-6.004,0,0.255,0.332,0.0,0.203,0.387,125.023,4,202339,Hip-Hop/Rap,2019-10-31
10,10,11,11,BODY PARTS - I denti,Marracash,2135383,4WOXQYfq3fYVRMcaXuHBAD,0.695,0.7490000000000001,7,-5.978,1,0.172,0.185,0.0,0.17800000000000002,0.38299999999999995,105.89299999999999,3,156715,Hip-Hop/Rap,2019-10-31
11,11,12,12,NON SONO MARRA - La pelle (feat. Mahmood),Marracash,2082728,0pl6P6vTEB9pNABaD53SgS,0.813,0.715,1,-7.013999999999999,1,0.218,0.244,2.49e-06,0.561,0.599,106.036,4,188842,Hip-Hop/Rap,2019-10-31
12,12,13,13,Pookie (feat. Capo Plaza) - Remix,Aya Nakamura,2046009,6h5nbfvIJHRNH3oGrNWJwn,0.841,0.62,1,-6.91,1,0.0959,0.0584,0.0,0.0988,0.519,98.023,4,188401,R&B/Soul,2019-10-25
13,13,14,14,G.O.A.T. - Il cuore,Marracash,1956868,50c3vq2uUkSV8QrcbcPWW3,0.401,0.787,7,-6.709,0,0.332,0.166,0.0,0.136,0.235,117.76799999999999,4,210183,Hip-Hop/Rap,2019-10-31
14,14,15,15,RITMO (Bad Boys For Life),Black Eyed Peas,1905906,6cy3ki60hLwimwIje7tALf,0.721,0.716,10,-7.037000000000001,0,0.0657,0.0334,0.00084,0.237,0.667,104.994,4,221714,Pop,2019-10-12
15,15,16,16,POCO DI BUONO - Il fegato,Marracash,1760785,4ykwdc532KqgY4z8CJcUwO,0.621,0.785,7,-6.239,1,0.282,0.316,0.0,0.133,0.541,127.775,4,185686,Hip-Hop/Rap,2019-10-31
16,16,17,17,Chiasso,Random,1698960,4UJoAdTMnqxQHKWKLLQpvK,0.721,0.451,6,-13.285,0,0.192,0.24600000000000002,0.0,0.10099999999999999,0.46,91.999,4,182229,Hip-Hop/Rap,2019-05-27
