,Unnamed: 0,Unnamed: 0.1,index,Position,Track Name,Artist,Streams,ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,genre,release date
0,0,0,1,1,Auto Blu,Shiva,1943187,2chEq24EHjyw9Zjmwq0hlS,0.82,0.7829999999999999,5,-6.146,0,0.0621,0.0158,0.0,0.0938,0.653,130.015,4,166087,Hip-Hop/Rap,2020-03-26
1,1,1,2,2,Fiori di Chernobyl,Mr.Rain,1669963,54PxYcGpSUCmlpGdFGTaYR,0.486,0.619,0,-9.114,1,0.118,0.327,0.0,0.188,0.32,159.815,4,175612,Hip-Hop/Rap,2020-03-13
2,2,2,3,3,Good Times,Ghali,1586244,6GpvHaqp0Yybx9P6YnodRD,0.7190000000000001,0.736,4,-6.32,0,0.0779,0.0315,0.0,0.0988,0.595,109.028,4,163073,Pop,2020-02-21
3,3,3,4,4,Roses - Imanbek Remix,SAINt JHN,1401262,24Yi9hE78yPEbZ4kxyoXAI,0.77,0.7240000000000001,8,-5.484,1,0.0495,0.0167,0.0107,0.353,0.898,121.975,4,176840,Dance,2019-10-09
4,4,4,5,5,death bed (coffee for your head),Powfu,1371880,7eJMfftS33KTjuF7lTsMCx,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,4,173333,Hip-Hop/Rap,2020-02-08
5,5,5,6,6,Bando,ANNA,1250063,0kzGjSRHGVcaWxagzQwAyD,0.97,0.7390000000000001,10,-4.917,0,0.295,0.155,0.0,0.111,0.414,120.061,4,168000,Christmas,2020-01-31
6,6,6,7,7,Blinding Lights,The Weeknd,1217119,0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,4,200040,R&B/Soul,2020-03-20
7,7,7,8,8,Cioilflow (feat. Salmo) - prod. Strage,Dani Faiv,1122367,5ChFLb70vqPgcH5zRbQ6h3,0.861,0.542,7,-8.349,0,0.439,0.7070000000000001,4.9e-05,0.0965,0.866,157.089,4,186160,Hip-Hop/Rap,2020-04-17
8,8,8,9,9,blun7 a swishland,tha Supreme,1092016,7HwvPmK74MBRDhCIyMXReP,0.6920000000000001,0.792,7,-5.984,1,0.245,0.13,0.0,0.255,0.5660000000000001,129.88299999999998,4,167760,Hip-Hop/Rap,2019-11-15
9,9,9,10,10,Boogieman (feat. Salmo),Ghali,1038775,10Q5VqDAAbwExYkNha3VKH,0.8,0.7240000000000001,1,-7.843,1,0.07,0.0853,0.00024900000000000004,0.0922,0.35100000000000003,112.049,4,159911,Hip-Hop/Rap,2020-02-21
10,10,10,11,11,Per sentirmi vivo,Fasma,1033431,20v9X8TV0AgwNGFT71OX3w,0.579,0.718,2,-5.05,1,0.293,0.16699999999999998,0.0,0.114,0.211,168.27900000000002,4,177880,Hip-Hop/Rap,2020-02-28
11,11,11,12,12,Rapide,Mahmood,994708,2cf1g08CvDuhwXFqxjetQi,0.442,0.557,0,-7.77,1,0.0711,0.35700000000000004,0.0,0.11,0.124,119.48,4,243625,Pop,2020-01-16
12,12,12,13,13,Nena (feat. Geolier & Andry The Hitmaker),Boro Boro,980912,6TEPwGCSq4XGWu3hnZkC5m,0.78,0.7709999999999999,6,-4.99,0,0.0538,0.0469,0.0,0.1,0.355,102.952,4,149126,Hip-Hop/Rap,2020-04-09
13,13,13,14,14,Dilemme (with tha Supreme & Mara Sattei),Lous and The Yakuza,957827,1Whf2ZaesM1gXlU0z3Fslt,0.8590000000000001,0.54,5,-6.775,0,0.0825,0.0329,0.0,0.0976,0.5539999999999999,145.02,4,231333,Music Documentaries,2020-04-02
14,14,14,15,15,Le Feste Di Pablo (con Fedez),CARA,933602,73x0EIT2YyIxTs3Rpd3n5T,0.7240000000000001,0.66,5,-6.835,1,0.157,0.0294,0.0,0.275,0.5589999999999999,102.036,4,193041,Pop,2020-04-09
15,15,15,16,16,Tusa,KAROL G,917107,7k4t7uLgtOxPwTpFmtJNTY,0.8029999999999999,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,4,200960,Urbano latino,2019-11-07
16,16,16,17,17,Toosie Slide,Drake,915045,127QTOFJsJQp5LbJbu3A1y,0.8340000000000001,0.454,1,-9.75,0,0.201,0.321,6.15e-06,0.114,0.8370000000000001,81.618,4,247059,Hip-Hop/Rap,2020-04-03
17,17,17,18,18,Ringo Starr,Pinguini Tattici Nucleari,879325,5yfE6GXTuJaAlepKoE0wJE,0.754,0.925,4,-2.912,0,0.0512,0.304,0.0,0.313,0.857,114.077,4,183333,Pop,2020-02-07
18,18,18,19,19,Ma lo vuoi capire?,Tommaso Paradiso,854082,4Veqf07wBQY58QVqNGA1M7,0.429,0.7040000000000001,0,-5.093,1,0.0518,0.00146,1.05e-06,0.126,0.51,164.13,4,241378,Pop,2020-04-16
19,19,19,20,20,Ora che ti guardo bene,Gazzelle,833551,25rH6l9UjJaLu4Ckxku8XT,0.672,0.464,0,-5.7570000000000014,1,0.0407,0.217,0.000129,0.103,0.289,79.99600000000002,4,172836,Alternative,2020-04-15
20,20,20,21,21,Musica (E Il Resto Scompare),Elettra Lamborghini,751077,3Nc7IorgrSffzaQrQWVw4L,0.779,0.835,0,-4.04,1,0.134,0.0217,0.0,0.393,0.922,114.987,4,194606,Urbano latino,2020-02-07
21,21,21,22,22,Dance Monkey,Tones And I,749306,1rgnBhdG2JDFTbYkYRZAku,0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.078,4,209755,Alternative,2019-05-10
22,22,22,23,23,Chega,Gaia,726394,0XdjGLxXQhiPkOqXtAyEZ9,0.836,0.565,0,-6.436,1,0.121,0.596,2.47e-06,0.139,0.7290000000000001,140.037,4,184576,Pop,2020-03-20
23,23,23,24,24,Falling,Trevor Daniel,726137,2rRJrJEo19S2J82BDsQ3F7,0.784,0.43,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.087,4,159382,Pop,2020-03-26
24,24,24,25,25,Boss Bitch,Doja Cat,721557,78qd8dvwea0Gosb6Fe6j3k,0.7070000000000001,0.955,10,-4.593,0,0.222,0.127,0.0,0.202,0.575,125.989,4,134240,Pop,2020-01-23
25,25,25,26,26,Fai rumore,Diodato,703823,2ZwcnFDvQueNemTt89qCom,0.417,0.626,6,-6.055,1,0.0366,0.218,0.0,0.0805,0.14400000000000002,143.358,4,216140,Pop,2020-02-14
26,26,26,27,27,Snitch E Impicci (con FSK SATELLITE),DrefGold,698922,6HDdOPc6FWpMfjC8ebzdRC,0.89,0.555,1,-5.6320000000000014,1,0.125,0.0631,0.0,0.111,0.265,126.032,4,202381,Hip-Hop/Rap,2020-02-27
27,27,27,28,28,Ti volevo dedicare (feat. J-AX & Boomdabash),Rocco Hunt,678947,00GxbkrW4m1Tac5xySEJ4M,0.754,0.725,8,-6.058,1,0.0661,0.0104,0.0,0.192,0.271,120.002,4,208133,Hip-Hop/Rap,2019-08-30
28,28,28,29,29,BRAVI A CADERE - I polmoni,Marracash,676998,3me7fQdjgO8NHscb3xPaBa,0.608,0.693,5,-5.676,0,0.103,0.163,0.0,0.104,0.276,95.005,4,200214,Hip-Hop/Rap,2020-03-27
29,29,29,30,30,fuck 3x,tha Supreme,674736,5YxP1CkunbhUQVvctFOHa7,0.655,0.8140000000000001,5,-5.472,0,0.0823,0.0698,0.0,0.107,0.69,180.082,4,161266,Hip-Hop/Rap,2019-11-15
30,30,30,31,31,Viceversa,Francesco Gabbani,666145,04ldF8QeASSyJLMtZJJfqA,0.529,0.7170000000000001,4,-4.776,1,0.0336,0.0348,0.0,0.0751,0.551,147.84,4,215267,Pop,2020-02-14
