,index,Position,Track Name,Artist,Streams,ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,genre
0,1,1,Stamm Fort (feat. Sfera Ebbasta),Luche,4210036,7iTTQvztpfrDneVSX9IGBD,0.78,0.521,0,-5.094,1,0.123,0.0983,0.000125,0.0967,0.643,160.087,4,171375,Hip-Hop/Rap
1,2,2,È sempre bello,Coez,2574404,18LXrvm337xqvFxpaB9Puj,0.692,0.63,8,-6.792,1,0.164,0.0732,0.0,0.0865,0.499,110.919,5,203872,Pop
2,3,3,IL CIELO NELLA STANZA (feat. NSTASIA),Salmo,2399401,2fkVZYFv9hOejIsLzZy8ad,0.755,0.501,1,-9.551,1,0.189,0.0867,1.45e-06,0.146,0.267,134.998,4,186213,Hip-Hop/Rap
3,4,4,Calma - Remix,Pedro Capó,2057791,5iwz1NiezX7WWjnCgY5TH4,0.826,0.773,11,-4.218,0,0.0524,0.323,0.0,0.143,0.761,126.899,4,238200,Pop Latino
4,5,5,Happy Birthday,Sfera Ebbasta,1590144,7Cw97917dvg5xm6XMAA4Y2,0.792,0.777,8,-4.402,0,0.0454,0.0455,5.34e-05,0.293,0.696,137.05,4,170707,Hip-Hop/Rap
5,6,6,Supernova (feat. Emis Killa),MadMan,1460760,3gr1Ghb0F4QKWQsiseWORj,0.697,0.783,9,-5.234,0,0.114,0.133,0.0,0.197,0.532,80.053,4,226704,Hip-Hop/Rap
6,7,7,7 rings,Ariana Grande,1348691,14msK75pk3pA33pzPVNtBF,0.725,0.321,1,-10.744,0,0.323,0.578,0.0,0.0884,0.319,70.142,4,178640,Pop
7,8,8,90MIN,Salmo,1271165,3Ls9yKzshQye18Tx2AvOb6,0.549,0.765,1,-5.138,1,0.309,0.0253,0.0,0.855,0.513,122.002,4,231920,Hip-Hop/Rap
8,9,9,Torna a casa,Måneskin,1269415,3590AAEoqH50z4UmhMIY85,0.425,0.638,1,-3.184,0,0.0759,0.426,0.0,0.177,0.45,81.396,4,230667,Pop
9,10,10,Giornate vuote (feat. Gemitaiz),Frenetik&Orang3,1239475,1sZX1kdlVK3DbcuJXBnlqY,0.643,0.729,8,-6.164,0,0.217,0.412,0.0,0.137,0.491,93.163,4,205161,Hardcore
10,11,11,Cambiare Adesso,Dark Polo Gang,1193243,01MJgnPL3AuwmYQ4EbHzD7,0.666,0.777,5,-3.143,0,0.0587,0.279,1.47e-06,0.197,0.588,79.999,4,228975,Hip-Hop/Rap
11,12,12,Hola (I Say) (feat. Tom Walker),Marco Mengoni,1173269,42LrSpEHmXHfjEH8NeiQQi,0.533,0.669,2,-4.875,1,0.0465,0.244,0.0,0.0965,0.141,145.721,4,227467,Pop
12,13,13,Senza Di Me (feat. Venerus & Franco126),Gemitaiz,1159186,3xGD5KhnizETt7KQwxtUAc,0.698,0.636,8,-5.844,1,0.034,0.167,0.0,0.125,0.313,107.282,3,201961,Hip-Hop/Rap
13,14,14,La fine del mondo,Anastasio,1149464,3FhWEh7VTAOYK4edZqNWNB,0.683,0.622,1,-5.895,0,0.175,0.0165,0.0,0.12,0.328,159.946,4,183000,Pop
14,15,15,Cascare nei tuoi occhi,Ultimo,1143500,60oJSn5MTG2VNvCJKwd65M,0.732,0.46,0,-8.629,1,0.104,0.541,0.0,0.0896,0.405,67.983,4,226160,Pop
15,16,16,oh 9od,tha Supreme,1100130,0UuqwLM3UFmwcXSJgfFHvr,0.786,0.483,0,-11.302,0,0.216,0.15,4.32e-05,0.0903,0.671,143.06,4,205594,Hip-Hop/Rap
16,17,17,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,1099782,4w8niZpiMy6qz1mntFA5uM,0.842,0.801,8,-4.167,0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,4,212500,Dance
17,18,18,Stanza Singola (feat. Tommaso Paradiso),Franco126,1090704,0PCvaT4vuW1auRtjN6nZta,0.676,0.47,10,-7.831,1,0.0582,0.599,0.0,0.209,0.543,129.916,4,196615,Pop
18,19,19,Happier,Marshmello,1030641,2dpaYNEQHiRxtZbfNsse99,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.015,4,214290,Dance
19,20,20,MIA (feat. Drake),Bad Bunny,995268,116H0KvKr2Zl4RPuVBruDO,0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,4,210368,Latino
20,21,21,Fuoco e benzina,Emis Killa,980934,4Fs1sEg9Mwn6vykFD89xvc,0.682,0.711,5,-5.781,1,0.112,0.0497,0.0,0.0986,0.515,79.92,4,209180,Hip-Hop
21,22,22,MALA,6ix9ine,977950,0LQ1J0BCzA2qnAgp9MkkNE,0.719,0.825,5,-3.627,0,0.0424,0.689,0.0,0.103,0.789,100.006,4,206550,Hip-Hop/Rap
22,23,23,CABRIOLET (feat. Sfera Ebbasta),Salmo,950694,7wC76LWyNxaP3hjGzbWOcN,0.548,0.531,0,-7.436,1,0.264,0.15,1.05e-05,0.0919,0.309,150.058,4,185573,Hip-Hop/Rap
23,24,24,STAI ZITTO (feat. Fabri Fibra),Salmo,931250,2rgOAX5Cj3pk8JFnaPwJbd,0.705,0.796,6,-5.214,1,0.295,0.0917,0.0,0.335,0.909,100.196,4,202573,Hip-Hop/Rap
24,25,25,Posso (feat. Max Gazzé),Carl Brave,924732,5N0nmOmc0MqPZTYKw4fVV6,0.736,0.878,0,-5.307,1,0.224,0.17,2.04e-05,0.0913,0.854,163.948,4,238000,Hip-Hop/Rap
25,26,26,Holding out for You (feat. Zara Larsson),Fedez,903568,4EZhkTdGDdlLoHI6NsYSX5,0.7,0.711,6,-6.292,0,0.0747,0.137,0.00278,0.134,0.767,109.936,4,181747,Hip-Hop/Rap
26,27,27,Sweet but Psycho,Ava Max,884012,25sgk305KZfyuqVBQIahim,0.719,0.704,1,-4.724,1,0.0476,0.0691,0.0,0.166,0.628,133.002,4,187436,Pop
27,28,28,WANNABE VOL.2,Highsnob,762779,3WVv0HHGgdpbaMAPRgO4bz,0.879,0.685,10,-6.175,0,0.253,0.0268,0.0,0.0685,0.57,139.989,4,154576,Hip-Hop/Rap
28,29,29,Bella e rovinata,Irama,760413,5uPQRVuGquShCnqzuOTq4B,0.549,0.646,10,-6.586,1,0.0428,0.258,0.0,0.0847,0.444,156.012,4,200869,Pop
29,30,30,Pianeti,Ultimo,758995,2w5wtWq30yTkNSG9YjMFvW,0.55,0.488,8,-9.425,1,0.196,0.281,0.0,0.372,0.108,80.112,4,224000,Pop
30,31,31,Los Angeles,Luna,755267,44oZqBLSPMKbxB0bOuUrEN,0.615,0.819,0,-4.677,0,0.0372,0.00648,0.0,0.168,0.366,135.947,4,210221,Classical
31,32,32,Baila Baila Baila,Ozuna,753107,7uH27oIt4a6cIFCA8ZPcyG,0.816,0.754,11,-2.75,0,0.111,0.0361,0.0,0.217,0.533,99.966,4,158400,Urbano latino
32,33,33,High Hopes,Panic! At The Disco,750025,1rqqCSm0Qe4I9rUvWncaom,0.579,0.904,5,-2.729,1,0.0618,0.193,0.0,0.064,0.681,82.014,4,190947,Alternative
33,34,34,Vertigini,Tedua,749669,1Oou7m2VuxCDSOdqsu07TU,0.579,0.774,5,-6.34,0,0.164,0.164,0.0,0.131,0.476,133.722,4,203040,Hip-Hop/Rap
34,35,35,LUNEDI',Salmo,727387,1VNARx6Sm6ZYAsDMCGiU1B,0.571,0.762,10,-8.225,1,0.46,0.425,7.55e-06,0.114,0.467,124.382,4,205267,Hip-Hop/Rap
35,36,36,Bling Bling (Oro),Guè Pequeno,702367,11AXfsh0V6zCCU7Po6kQiY,0.693,0.731,10,-6.149,0,0.0372,0.0412,0.000119,0.0812,0.419,97.959,4,208507,Hip-Hop/Rap
36,37,37,Poesia senza veli,Ultimo,674360,3f2b204xj4jZdoHjo9wj0W,0.739,0.519,8,-7.461,0,0.125,0.752,0.0,0.222,0.255,81.991,4,218167,Pop
37,38,38,Toradol,Gemitaiz,661190,3Rmv3h4ovgt9xVgWOfMlLx,0.701,0.623,2,-5.271,1,0.0493,0.00804,0.013,0.498,0.471,158.891,4,136118,Hip-Hop/Rap
38,39,39,Davide (feat. Coez),Gemitaiz,652376,1Lq5ApqhIWUXzlryFX2K6J,0.797,0.63,5,-7.601,1,0.0763,0.136,4.86e-06,0.207,0.761,126.006,4,206212,Hip-Hop/Rap
39,40,40,Non Abbiamo Età,Luche,640277,0NwuXciw6eQc4edjwSBnV3,0.372,0.689,6,-4.711,1,0.243,0.0522,0.0,0.154,0.191,193.259,4,181661,Hip-Hop/Rap
40,41,41,SPARARE ALLA LUNA (feat. Coez),Salmo,630155,4spkZ6gRKh827yp6JI6TN1,0.732,0.681,4,-7.665,0,0.259,0.381,0.000177,0.111,0.151,85.041,4,211667,Hip-Hop/Rap
41,42,42,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,620897,2LskIZrCeLxRvCiGP8gxlh,0.703,0.723,9,-5.45,0,0.0412,0.0302,2.06e-06,0.126,0.288,104.969,4,198903,Hip-Hop/Rap
42,43,43,Without Me,Halsey,620136,5p7ujcrUXASCNwRaWNHR1C,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,4,201661,Alternative
43,44,44,Fumo Da Solo,Izi,609182,4sYbBt781iAS2S76IeMwIG,0.724,0.605,7,-8.14,0,0.0544,0.0626,0.0,0.108,0.52,140.091,4,221571,Hip-Hop/Rap
44,45,45,Tesla (feat. Sfera Ebbasta & DrefGold),Capo Plaza,603212,093RgZ7RXHZwIrxZhZYX4Q,0.854,0.626,11,-5.14,1,0.0618,0.316,0.0,0.0961,0.377,140.05,4,185147,Hip-Hop/Rap
45,46,46,Bohemian Rhapsody - 2011 Mix,Queen,602072,7tFiyTwD0nx5a1eklYtX2J,0.392,0.402,0,-9.961,0,0.0536,0.288,0.0,0.243,0.228,143.883,4,354320,Rock
46,47,47,Popstar,Sfera Ebbasta,595560,1fIuF52zouQWN13q3X9FHk,0.832,0.685,9,-6.333,1,0.0612,0.311,0.0,0.106,0.79,146.044,4,183307,Urbano latino
47,48,48,Ti dedico il silenzio,Ultimo,594141,6GLmGfALwjzCaOiHwgfU7g,0.661,0.443,8,-9.303,1,0.0688,0.175,0.0,0.177,0.147,80.0,4,234250,Pop
48,49,49,Vaina Loca,Ozuna,577954,48zFZh27QU5qsrBjn4C2FA,0.754,0.805,6,-4.249,1,0.0752,0.315,0.0,0.203,0.555,93.982,4,176133,Urbano latino
49,50,50,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",Imagine Dragons,577541,2bzitsPcImYC6DZWvvLCQi,0.634,0.662,6,-7.543,1,0.0325,0.000479,0.00142,0.111,0.244,90.011,4,210933,Alternative
50,51,51,Wow.,Post Malone,575750,6MWtB6iiXyIwun0YzU6DFP,0.833,0.539,11,-7.399,0,0.178,0.163,2.1e-06,0.101,0.385,99.947,4,149520,Hip-Hop/Rap
51,52,52,Prima di ogni cosa,Fedez,567961,0juSegsrO7siAAjlNATKV2,0.617,0.476,5,-7.086,1,0.0446,0.643,0.0,0.316,0.429,131.683,3,186832,Hip-Hop/Rap
52,53,53,Ngopp'A Luna,Rocco Hunt,563911,5290vWQUgvvVu9TtFRSSjw,0.443,0.56,5,-9.265,0,0.478,0.243,0.0,0.0621,0.151,170.992,4,136744,Hip-Hop/Rap
53,54,54,Cherofobia,Martina Attili,552502,2TfcMUAZ4vH4fTA9eF53v2,0.504,0.586,9,-4.496,0,0.227,0.717,0.0,0.076,0.497,76.55,4,171711,Pop
