,index,Position,Track Name,Artist,Streams,ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,genre
0,1,1,Dance Monkey,Tones And I,41681147,1rgnBhdG2JDFTbYkYRZAku,0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.078,4,209755,Alternative
1,2,2,HIGHEST IN THE ROOM,Travis Scott,36969014,3eekarcy7kvN4yt5ZFzltW,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,4,175721,Hip-Hop/Rap
2,3,3,Circles,Post Malone,30261278,21jGcNKet2qwijlDFuPiPb,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,4,215280,House
3,4,4,Señorita,Shawn Mendes,29495255,6v3KW9xbzN5yKLt9YKDYA2,0.759,0.548,9,-6.049,0,0.029,0.0392,0.0,0.0828,0.749,116.967,4,190800,Pop
4,5,5,Lights Up,Harry Styles,26362706,2plLJpUcYPFrl1sW2pMG63,0.585,0.62,3,-8.09,0,0.0327,0.0426,0.00224,0.15,0.281,101.939,4,172227,Pop
5,6,6,Memories,Maroon 5,25945762,2b8fOow8UzyDFAE27YhOZM,0.764,0.32,11,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,91.019,4,189486,Pop
6,7,7,Someone You Loved,Lewis Capaldi,23578385,7qEHsqek33rTcFNT9PFqLf,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,4,182161,Alternative
7,8,8,"10,000 Hours (with Justin Bieber)",Dan + Shay,21921243,2wrJq5XKLnmhRXHIAf9xBa,0.654,0.63,10,-4.644,1,0.0259,0.153,0.0,0.111,0.43,89.991,4,167693,Country
8,9,9,Beautiful People (feat. Khalid),Ed Sheeran,20189078,70eFcWOvlMObDhURTqT4Fv,0.64,0.647,5,-8.114,0,0.186,0.124,0.0,0.0801,0.546,92.979,4,197867,Pop
9,10,10,Lalala,Y2K,18725653,51Fjme0JiitpyXKuyQiCDo,0.843,0.391,2,-7.899,1,0.0845,0.181,0.0,0.137,0.496,129.972,4,160627,Hip-Hop/Rap
10,11,11,How Do You Sleep?,Sam Smith,18682385,6b2RcmUt1g9N9mQ3CbjX2Y,0.477,0.682,1,-4.931,0,0.0925,0.153,0.0,0.0763,0.345,110.567,5,202205,Pop
11,12,12,hot girl bummer,blackbear,18401355,7aiClxsDWFRQ0Kzk5KI5ku,0.778,0.559,6,-7.109,0,0.0776,0.128,0.0,0.399,0.678,129.989,1,185093,Pop
12,13,13,China,Anuel AA,18301594,2ksOAxtIxY8yElEWw8RhgK,0.786,0.808,7,-3.702,1,0.0882,0.0846,0.000289,0.0822,0.609,105.027,4,301714,Urbano latino
13,14,14,bad guy,Billie Eilish,17228300,2Fxmhks0bxGSBdJ92vM42m,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,4,194088,Alternative
14,15,15,Goodbyes (Feat. Young Thug),Post Malone,16593684,6vBdBCoOhKHiYDDOcorfNo,0.58,0.653,5,-3.818,1,0.0745,0.447,0.0,0.111,0.175,150.231,4,174960,Hip-Hop/Rap
15,16,16,Bandit (with YoungBoy Never Broke Again),Juice WRLD,16565956,6Gg1gjgKi2AK4e0qzsR7sd,0.474,0.631,5,-5.884,0,0.343,0.0687,0.0,0.132,0.425,180.051,4,189323,Hip-Hop/Rap
16,17,17,Ransom,Lil Tecca,16417875,1lOe9qE0vR9zwWQAOk6CoO,0.745,0.642,7,-6.257,0,0.287,0.0204,0.0,0.0658,0.226,179.974,4,131240,Hip-Hop/Rap
17,18,18,I Don't Care (with Justin Bieber),Ed Sheeran,15896932,0hVXuCcriWRGvwMV1r5Yn9,0.798,0.676,6,-5.041,1,0.0442,0.0902,0.0,0.0894,0.843,101.956,4,219947,Pop
18,19,19,Ride It,Regard,14540787,2tnVG71enUj33Ic2nFN6kZ,0.88,0.751,7,-4.258,0,0.0874,0.177,6.43e-05,0.106,0.884,117.948,4,157606,Dance
19,20,20,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,14264662,0RiRZpuVRbi7oqRdSMwhQY,0.755,0.522,2,-4.368,1,0.0575,0.533,0.0,0.0685,0.925,89.96,4,157560,Hip-Hop/Rap
20,21,21,Panini,Lil Nas X,13579386,1000nHvUdawXuUHgBod4Wv,0.703,0.594,5,-6.146,0,0.0752,0.342,0.0,0.123,0.475,153.848,4,114893,Hip-Hop/Rap
21,22,22,Liar,Camila Cabello,13163183,7LzouaWGFCy4tkXDOOnEyM,0.74,0.498,11,-6.684,0,0.0456,0.0169,0.00282,0.319,0.652,98.016,4,207039,Pop
22,23,23,Truth Hurts,Lizzo,12996714,5qmq61DAAOUaW8AUo8xKhh,0.715,0.624,4,-3.046,0,0.114,0.11,0.0,0.123,0.412,158.087,4,173325,Dance
23,24,24,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,12640740,6osaMSJh9NguagEDQcZaKx,0.694,0.758,11,-2.986,1,0.218,0.278,1.34e-06,0.102,0.371,192.091,4,185195,Latino
24,25,25,Saint-Tropez,Post Malone,12534817,05mDaV9Vb3wrzjF6OPZnhq,0.617,0.684,0,-3.618,1,0.0439,0.0545,0.0,0.104,0.295,132.113,4,150867,Hip-Hop/Rap
25,26,26,Adicto (with Anuel AA & Ozuna),Tainy,12490280,3jbT1Y5MoPwEIpZndDDwVq,0.734,0.836,10,-4.803,0,0.0735,0.017,1.64e-05,0.179,0.623,80.002,4,270741,Latino
26,27,27,Callaita,Bad Bunny,12469498,2TH65lNHgvLxCKXM3apjxI,0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.243,0.244,176.169,4,250534,Urbano latino
27,28,28,LA CANCIÓN,J Balvin,12244977,0fea68AdmYNygeTGI4RC18,0.754,0.646,7,-5.795,1,0.317,0.152,1.85e-05,0.108,0.429,176.089,4,242573,Urbano latino
28,29,29,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),Ariana Grande,12229319,3NkJNL3WqO1Lqc3uNDxvCN,0.643,0.721,1,-5.248,1,0.0449,0.00268,6.51e-06,0.0898,0.317,102.914,4,190107,Soundtrack
29,30,30,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,12085532,7CZyCXKG6d5ALeq41sLzbw,0.499,0.8,1,-2.665,0,0.0502,0.0906,0.0,0.147,0.272,139.919,4,229573,Hip-Hop/Rap
30,31,31,Old Town Road - Remix,Lil Nas X,12013877,2YpeDb67231RjR0MgVLzsG,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.113,0.639,136.041,4,157067,Country
31,32,32,No Me Conoce - Remix,Jhay Cortez,11914140,4R8BJggjosTswLxtkw8V7P,0.806,0.786,10,-3.831,0,0.0741,0.145,0.0,0.0935,0.58,91.973,4,309120,Urbano latino
32,33,33,Graveyard,Halsey,11586260,6V9fHiv84WlVTg7CSnIVY2,0.667,0.583,11,-5.127,0,0.0747,0.231,4.48e-05,0.181,0.187,92.043,4,181806,Alternative
33,34,34,Tutu,Camilo,11332243,1nocRtwyNPVtGcIJqfgdzZ,0.731,0.832,9,-2.592,1,0.0503,0.273,0.0,0.0665,0.94,146.013,4,178613,Urbano latino
34,35,35,It's You,Ali Gatie,11049737,6moU77g9RQyMzHNuKEaQKq,0.732,0.463,11,-6.972,0,0.0287,0.374,0.0,0.194,0.397,95.971,4,212607,R&B/Soul
